 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30, 
 支付的其他与经营活动有关的现金(万元),4501,3300,1141,3335,5968,4746,2204,803,1863,1150,601,2107,2380,1624,790,1833,2196,930,313,1378,2118,1460,751,963,1893,1231,536,2517,3111,2343,1076,3098,2100,1361,923,2193,2553,1476,647,2388,2025,1125,541,2314,1506, 
 经营活动现金流出小计(万元),8142,5958,2756,14281,11641,8980,5512,6697,4616,3109,1593,6723,5503,3759,2072,5997,5309,3015,1383,5497,4920,3395,1817,5573,4590,2923,1434,6300,5470,3814,1828,6447,4469,2955,1667,5884,5264,3333,1758,5511,4402,2545,1203,6583,3238, 
 经营活动产生的现金流量净额(万元),-1875,-1690,-837,-3023,-4361,-3737,-2999,4390,580,389,160,446,549,-364,-527,4282,333,265,192,1380,820,610,275,3122,3123,1757,641,3060,1081,722,29,117,349,113,70,2272,1770,1598,588,2857,908,1089,763,1210,1182, 
 收回投资所收到的现金(万元),500,500,--,--,--,--,--,--,--,--,--,12200,--,--,--,6185,6500,6500,--,2315,2000,2000,2000,4050,--,--,--,0,--,--,--,--,--,--,--,3,--,0,--,0,--,0,0,0,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,14,--,--,--,422,100,100,--,51,--,0,--,1418,--,--,--,2,--,--,--,4,--,--,--,--,--,0,--,10,--,0,0,0,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,15,14,1,--,4,4,--,--,--,--,0,--,--,--,--,--,120,--,--,--,0,--,--,--,--,--,0,--,0,1000,0,0,577,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 投资活动现金流入小计(万元),500,500,0,0,0,0,0,0,0,0,0,12229,14,1,0,6611,6604,6600,0,2366,2000,2000,2000,5468,0,0,0,122,0,--,--,4,--,0,--,3,--,0,--,10,1000,0,0,577,--, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),95,83,70,110,92,48,2,502,67,52,13,808,545,432,379,11897,10233,9452,12,480,251,242,83,1200,1007,887,80,625,150,74,37,227,272,217,53,207,207,190,84,623,419,390,359,4875,608, 
 投资所支付的现金(万元),500,500,500,--,--,--,--,--,--,--,--,12200,--,--,--,--,--,--,--,6500,6500,6500,6500,6050,--,--,--,0,--,--,--,510,510,510,--,--,--,0,--,0,--,0,0,0,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,10,10,10,0,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 投资活动现金流出小计(万元),595,583,570,110,92,48,2,502,67,52,13,13008,545,432,379,11897,10233,9452,12,6980,6751,6742,6583,7250,1007,887,80,625,150,74,37,737,782,727,53,207,207,190,84,623,429,400,369,4875,608, 
 投资活动产生的现金流量净额(万元),-95,-83,-570,-110,-92,-48,-2,-502,-67,-52,-13,-779,-531,-431,-379,-5286,-3629,-2852,-12,-4613,-4751,-4742,-4583,-1782,-1007,-887,-80,-503,-150,-74,-37,-733,-782,-727,-53,-205,-207,-190,-84,-613,571,-400,-369,-4299,-608, 
 吸收投资收到的现金(万元),--,--,--,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28749,28749,24321,--,--,--,0,--,--,--,--,--,4000,4000,4000,--,26280,14000,14000,--,--,--,0,--,0,--,0,0,13300,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,8000,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,97,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 筹资活动现金流入小计(万元),0,0,0,40,0,0,0,8000,0,0,0,0,0,0,0,28749,28749,24321,0,0,0,0,0,0,0,0,0,4097,4000,4000,--,26280,14000,14000,--,--,--,0,--,0,--,0,0,13300,--, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,4010,4010,3987,407,20149,15400,15400,500,2000,1500,1000,500,1400,900,400,200,600,400,200,200,21155,11075,10675,--,1405,1405,1405,705,1220,1400,705,665,7754,4, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,896,896,847,426,1853,1423,988,511,1702,1086,553,245,1110,870,599,303,1246,934,614,297,1080,764,480,249,920,615,405,169,916,695,473,243,920,679,454,231,1952,266, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,4956,4956,4956,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,6000,6000,5500,0,--,--,--,--,1680,0,--,--,--,0,--,0,--,0,0,150,162, 
 筹资活动现金流出小计(万元),0,0,0,4956,4956,4956,0,896,896,847,426,5863,5433,4975,918,21851,16486,15953,745,3110,2370,1599,803,2646,7834,7014,5997,1680,1164,680,449,22075,13370,11080,169,2321,2100,1878,948,2140,2079,1159,896,9857,432, 
 筹资活动产生的现金流量净额(万元),0,0,0,-4916,-4956,-4956,0,7104,-896,-847,-426,-5863,-5433,-4975,-918,6898,12263,8368,-745,-3110,-2370,-1599,-803,-2646,-7834,-7014,-5997,2417,2836,3320,-449,4205,630,2920,-169,-2321,-2100,-1878,-948,-2140,-2079,-1159,-896,3443,-432, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,0,--,--,--,--,--,--,--,-1,--,--,--,-0,--,--,--,-0,--,0,--,3,--,--,--,1,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 现金及现金等价物净增加额(万元),-1970,-1774,-1407,-8049,-9410,-8741,-3002,10992,-382,-510,-279,-6196,-5415,-5770,-1824,5894,8966,5781,-565,-6343,-6301,-5731,-5111,-1302,-5717,-6144,-5436,4975,3767,3968,-457,3588,196,2305,-152,-254,-537,-471,-445,104,-600,-470,-502,354,142, 
 加:期初现金及现金等价物余额(万元),4086,4086,4086,12135,12135,12135,12135,1143,1143,1143,1143,7340,7340,7340,7340,1445,1445,1445,1445,7789,7789,7789,7789,9090,9090,9090,9090,4115,4115,4115,4115,527,533,527,527,781,781,781,781,678,678,678,678,323,323, 
 期末现金及现金等价物余额(万元),2116,2312,2679,4086,2725,3394,9134,12135,761,633,865,1143,1924,1570,5516,7340,10411,7227,880,1445,1488,2057,2678,7789,3373,2947,3654,9090,7882,8083,3659,4115,729,2832,375,527,244,310,336,781,78,208,176,678,465, 
 净利润(万元),--,-349,--,559,--,201,--,6971,--,-1053,--,-44953,--,-1548,--,349,--,-292,--,-2547,--,-681,--,282,--,-405,--,417,--,-722,--,-2404,--,-788,0,353,0,-375,--,189,-641,-432,-186,-13784,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 资产减值准备(万元),--,-4,--,60,--,49,--,49,--,12,--,5147,--,10,--,-1243,--,-160,--,440,--,291,--,26,--,155,--,-7,--,15,--,835,--,19,--,39,--,5,--,44,21,26,14,6559,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,2,--,1,--,0,--,2009,--,1036,--,2189,--,1095,--,1787,--,751,--,2054,--,1026,--,1836,--,911,--,1280,--,1007,--,2064,--,1030,0,2044,0,1019,--,1898,1414,941,468,1791,--, 
 无形资产摊销(万元),--,3,--,9,--,4,--,7,--,4,--,7,--,4,--,9,--,6,--,8,--,3,--,8,--,5,--,11,--,5,--,9,--,5,--,8,--,4,--,6,5,3,2,3,--, 
 长期待摊费用摊销(万元),--,16,--,5,--,1,--,105,--,26,--,198,--,25,--,23,--,10,--,42,--,7,--,18,--,9,--,18,--,9,--,18,--,9,--,18,--,9,--,18,13,9,4,86,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,-9,0,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,114,0,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--,--,-22410,--,--,--,5,--,--,--,91,--,--,--,26,--,--,--,--,--,--,--,-93,--,0,--,-0,--,--,--,-435,--,0,--,0,--,0,0,30,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,3,--,0,--,--,--,2,--,--,--,--,--,1,--,0,--,8,--,--,--,0,--,--,--,0,--,--,--,1,--,0,--,67,--,0,0,6036,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,738,--, 
 财务费用(万元),--,--,--,--,--,--,--,916,--,847,--,1853,--,988,--,1702,--,553,--,1110,--,599,--,1246,--,614,--,1060,--,480,--,967,--,405,--,916,--,473,--,920,686,445,231,1080,--, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,-14,--,--,--,-422,--,-415,--,-51,--,-660,--,-1418,--,-0,--,-2,--,--,--,51,--,--,--,0,--,0,--,0,--,0,0,0,--, 
 递延所得税资产减少(万元),--,--,--,-6,--,--,--,-2,--,--,--,--,--,--,--,--,--,--,--,268,--,--,--,-17,--,--,--,-19,--,--,--,--,--,--,--,98,--,111,--,-30,--,0,0,-104,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,--,0,--,0,0,0,--, 
 存货的减少(万元),--,44,--,-156,--,-106,--,-202,--,5,--,15,--,4,--,12,--,6,--,-1,--,8,--,-21,--,-3,--,12,--,10,--,-6,--,4,--,-9,--,2,--,4,-11,11,9,-37,--, 
 经营性应收项目的减少(万元),--,2,--,-1088,--,643,--,-970,--,-96,--,296,--,-802,--,1472,--,5725,--,52,--,-4612,--,743,--,-6126,--,856,--,943,--,-1666,--,-154,0,393,0,-121,--,-750,-527,-530,-284,-83,--, 
 经营性应付项目的增加(万元),--,-1405,--,-2520,--,-4530,--,742,--,-393,--,35703,--,-141,--,357,--,-6026,--,-36,--,4630,--,70,--,6463,--,-1212,--,-1025,--,248,--,-417,0,-1170,0,471,--,512,-51,616,399,-1102,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--, 
 其他(万元),--,--,--,113,--,--,--,17170,--,--,--,--,--,--,--,--,--,--,--,15,--,--,--,--,--,-5,--,1,--,--,--,1,--,--,--,16,--,0,--,-23,--,0,0,-1,--, 
 经营活动产生现金流量净额(万元),--,-1690,--,-3023,--,-3737,--,4390,--,389,--,446,--,-364,--,4282,--,265,--,1380,--,610,--,3122,--,1757,--,3060,--,722,--,117,--,113,--,2272,--,1598,--,2857,908,1089,763,1210,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--, 
 现金的期末余额(万元),2116,2312,2679,4086,2725,3394,9134,12135,761,633,865,1143,1924,1570,5516,7340,10411,7227,880,1445,1488,2057,2678,7789,3373,2947,3654,9090,7882,8083,3659,4115,729,2832,375,527,244,310,336,781,78,208,176,678,465, 
 现金的期初余额(万元),4086,4086,4086,12135,12135,12135,12135,1143,1143,1143,1143,7340,7340,7340,7340,1445,1445,1445,1445,7789,7789,7789,7789,9090,9090,9090,9090,4115,4115,4115,4115,527,533,527,527,781,781,781,781,678,678,678,678,323,323, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,--, 
 现金及现金等价物的净增加额(万元),-1970,-1774,-1407,-8049,-9410,-8741,-3002,10992,-382,-510,-279,-6196,-5415,-5770,-1824,5894,8966,5781,-565,-6343,-6301,-5731,-5111,-1302,-5717,-6144,-5436,4975,3767,3968,-457,3588,196,2305,-152,-254,-537,-471,-445,104,-600,-470,-502,354,142, 

