 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2011-12-31,2010-12-31, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,783,--,--,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),0,0,0,0,0,0,0,0,0,0,0,1532,5270,5270,0,0,0,0, 
 筹资活动产生的现金流量净额(万元),0,0,0,0,0,0,0,0,0,0,0,4960,2502,2435,6431,210,43,37, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-147,-119,-152,168,9,5,10,-133,-127,-117,-108,1163,1127,1146,807,135,1,-0, 
 加:期初现金及现金等价物余额(万元),1335,1335,1335,1167,1167,1167,1167,1300,1300,1300,1300,137,137,137,137,2,--,--, 
 期末现金及现金等价物余额(万元),1188,1216,1183,1335,1175,1171,1177,1167,1173,1183,1192,1300,1264,1283,944,137,--,--, 
 净利润(万元),--,-226,--,-520,--,-158,--,-437,--,-246,--,-1493,--,-316,--,157,-3766,-3862, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,-12,--,-12,--,-50,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,--,26,26, 
 无形资产摊销(万元),--,1,--,1,--,1,--,1,--,1,--,1,--,--,--,--,425,425, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3273,3357, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营性应收项目的减少(万元),--,-0,--,8,--,3,--,27,--,35,--,28,--,-972,--,-610,--,--, 
 经营性应付项目的增加(万元),--,106,--,678,--,158,--,276,--,94,--,-2306,--,12,--,429,-0,18, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-119,--,168,--,5,--,-132,--,-116,--,-3782,--,-1288,--,-75,-42,-37, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),1188,1216,1183,1335,1175,1171,1177,1167,1173,1183,1192,1300,1264,1283,944,137,3,2, 
 现金的期初余额(万元),1335,1335,1335,1167,1167,1167,1167,1300,1300,1300,1300,137,137,137,137,2,2,2, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-147,-119,-152,168,9,5,10,-133,-127,-117,-108,1163,1127,1146,807,135,1,-0, 

