 报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 经营活动现金流入小计(万元),121446,495988,303126,127856,63486,502350,274319,189974,78711,355406,297945,157539,62286,262380,171340,139149,58954,270303,168209,105733,60187,225560,144041,99062,34785,227392,158303,120622,52230,192412,105363,69281,32800,164333,121334,76097,25044, 
 购买商品、接受劳务支付的现金(万元),109686,240905,184919,89156,52442,238434,156954,109609,62067,227924,202443,103633,50359,145089,101495,76945,47770,113017,87503,59714,39083,111715,76753,48740,14880,110164,81517,57752,21806,95725,44009,29887,14104,57266,45628,28238,11466, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),11848,33799,25166,16463,9212,27219,19314,13190,8292,26817,19218,12551,7381,25929,17949,12181,7526,21705,14253,9204,5065,17675,12067,7732,4521,18726,12562,8433,4728,15209,10693,7570,4315,11406,8157,4960,3524, 
 支付的各项税费(万元),49434,57560,47772,43414,10530,35925,32950,26857,6106,24699,44020,27002,11018,21550,32355,24535,13152,25047,22385,14047,6166,19436,23778,14577,6615,22913,27051,19912,7165,16835,15500,9495,3452,13653,15061,8986,4552, 
 支付的其他与经营活动有关的现金(万元),10553,15276,16810,14490,7728,13221,24658,33738,13410,7751,1445,1092,5882,11307,17902,11865,3899,9694,16050,816,3899,5211,8172,768,4208,15410,30065,8367,12147,9727,15003,13427,4752,24845,16234,11723,2915, 
 经营活动现金流出小计(万元),181521,347541,274667,163523,79911,314798,233875,183395,89875,287191,267126,144279,74640,203875,169702,125527,72346,169463,140192,83781,54213,154038,120770,71817,30225,167213,151195,94464,45846,137496,85205,60378,26623,107170,85080,53907,22457, 
 经营活动产生的现金流量净额(万元),-60076,148447,28458,-35668,-16425,187552,40444,6580,-11164,68215,30820,13260,-12355,58505,1638,13622,-13392,100840,28017,21952,5974,71522,23271,27245,4560,60179,7108,26158,6383,54916,20158,8903,6176,57163,36254,22190,2587, 
 收回投资所收到的现金(万元),10708,33929,34140,34140,767,18164,23059,22216,749,22235,2201,1639,1639,1315,4958,653,647,4630,5006,3814,1849,21248,8349,5011,152,4443,9460,7403,0,14686,16322,10563,9645,27435,--,--,--, 
 取得投资收益所收到的现金(万元),107,2480,779,428,395,22897,1416,395,5534,6793,12310,6343,4505,15091,7845,6759,3836,13710,8453,5759,415,4938,15518,10821,3758,17240,14506,9164,183,39651,10082,7962,6493,3648,964,379,47, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,21054,60,26745,19,9218,806,406,3,773,28,6,--,31,40,24,5,25,8,24,3,22,27,25,2,65,42,39,29,14,1202,1202,2,1530,8,1,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,43062,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),2536,68492,18284,13490,--,6511,--,--,--,--,--,--,--,1175,--,--,--,324,--,--,--,--,--,--,--,--,0,--,70,--,--,--,--,122,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),13354,169016,53263,74804,1181,56790,25282,23017,6286,29801,14539,7988,6144,17612,12843,7436,4487,18688,13467,9597,2267,26209,23894,15857,3912,21747,24008,16606,282,54351,27606,19728,16141,32734,972,380,47, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4996,14834,30404,13906,10776,37359,30438,15610,5834,46908,39538,23181,8048,76062,58856,36249,15892,24757,11301,13173,19138,32724,31293,8685,17995,162478,142061,136337,3582,29992,20704,17644,6654,33117,23217,15908,9238, 
 投资所支付的现金(万元),22000,29923,32923,13600,13600,40720,133920,39920,720,80508,17000,--,--,60535,60535,24918,24502,419,261,187,144,203,105,--,--,41585,32960,68777,142022,4622,3876,934,11824,12461,500,500,4000, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,35000,--,--,--,93200,--,--,--,125,--,--,--,5610,8466,--,--,8645,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),26996,79757,63327,27506,24376,171279,164358,55530,6554,127541,56538,23181,8048,142207,127857,61167,40394,33821,11562,13360,19282,32927,31398,8685,17995,204064,175022,205114,145604,34614,24580,18578,18478,45577,23717,16408,13238, 
 投资活动产生的现金流量净额(万元),-13642,89259,-10064,47297,-23195,-114488,-139076,-32513,-267,-97740,-41999,-15193,-1904,-124595,-115013,-53731,-35906,-15132,1905,-3763,-17015,-6718,-7504,7172,-14083,-182316,-151014,-188508,-145321,19736,3025,1150,-2337,-12843,-22744,-16028,-13190, 
 吸收投资收到的现金(万元),--,2000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8349,--,--,--,15967,15967,--,--,60600,38505,49665,9010,105105,245,245,--,1991,2000,2000,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,2000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8349,--,--,--,--,--,--,--,--,0,--,0,--,--,245,--,--,2000,2000,--, 
 取得借款收到的现金(万元),44000,313059,183359,110000,--,469669,404525,284762,--,7381,--,69,--,7620,1500,1500,1500,47180,30000,30000,30000,100000,80000,--,--,172500,172500,172500,172500,236248,226248,106248,231000,138400,138400,13400,120000, 
 发行债券收到的现金(万元),--,--,100000,100000,--,--,--,--,--,--,--,--,--,70000,70000,70000,70000,130000,--,130000,--,--,--,--,--,200000,199200,--,0,--,--,120000,--,--,--,120000,--, 
 收到其他与筹资活动有关的现金(万元),3841,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,130000,--,--,--,--,--,--,--,0,--,37,--,133,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),47841,315059,283359,210000,0,469669,404525,284762,0,7381,0,69,0,77620,71500,71500,71500,185529,160000,160000,30000,115967,95967,--,--,433100,410205,222165,181547,341353,226626,226493,231000,140391,140400,135400,120000, 
 偿还债务支付的现金(万元),--,327430,228930,175571,70000,449880,270000,170307,--,15680,11980,11980,500,3000,3000,3000,--,100000,100000,100000,50000,230000,200000,--,--,302500,302500,130000,120000,231000,231000,222000,220000,134100,132100,115700,115700, 
 分配股利、利润或偿付利息所支付的现金(万元),2512,42851,32136,9985,4436,78103,72338,10694,3801,53860,52033,12607,3987,40962,38590,5198,--,35590,35090,20243,644,15672,15024,33,9,9817,3030,3158,86,4490,1318,1309,4771,30364,31809,31066,4359, 
 其中：子公司支付给少数股东的股利、利润(万元),--,6567,--,--,--,--,--,--,--,4498,--,--,--,3447,--,--,--,3233,--,--,--,4303,--,--,--,--,0,--,0,3309,--,--,--,3736,2720,2369,--, 
 支付其他与筹资活动有关的现金(万元),--,44629,--,--,--,165,--,--,--,--,--,--,--,674,657,630,737,1503,1170,1170,--,52,--,--,--,--,0,--,0,507,--,--,--,--,480,480,480, 
 筹资活动现金流出小计(万元),2512,414909,261066,185556,74436,528148,342338,181001,3801,69540,64013,24587,4487,44636,42247,8828,737,137093,136260,121413,50644,245724,215024,33,9,312317,305530,133158,120086,235997,232318,223309,224771,164464,164389,147246,120539, 
 筹资活动产生的现金流量净额(万元),45328,-99850,22293,24444,-74436,-58479,62187,103760,-3801,-62159,-64013,-24518,-4487,32984,29253,62672,70763,48436,23740,38587,-20644,-129757,-119057,-33,-9,120783,104675,89007,61461,105356,-5692,3184,6229,-24073,-23989,-11846,-539, 
 汇率变动对现金及现金等价物的影响(万元),-1,7,0,2,1,-93,-15,-13,-0,44,38,37,71,-33,105,107,63,12,-12,-4,-0,1,-1,-0,-0,-42,-10,-9,-5,-23,-14,-11,-5,-92,41,32,--, 
 现金及现金等价物净增加额(万元),-28390,137862,40688,36076,-114056,14491,-36460,77813,-15232,-91640,-75155,-26414,-18674,-33140,-84018,22670,21528,134156,53650,56772,-31686,-64951,-103291,34384,-9532,-1396,-39240,-73352,-77481,179985,17478,13226,10063,20155,-10439,-5652,-11142, 
 加:期初现金及现金等价物余额(万元),349315,208403,198049,198049,198049,183366,183605,183605,183605,275006,275148,275148,275148,308145,308208,308208,308208,173989,173992,173992,173992,238940,238940,238940,238940,240336,240336,240336,240336,60351,60351,60351,60674,40196,40135,40196,40135, 
 期末现金及现金等价物余额(万元),320925,346265,238736,234124,83993,197857,147145,261418,168373,183366,199993,248734,256473,275006,224190,330878,329736,308145,227643,230764,142306,173989,135649,273324,229409,238940,201096,166984,162855,240336,77829,73577,70738,60351,29697,34544,28993, 
 净利润(万元),--,131611,--,63122,--,73080,--,32014,--,61085,--,30454,--,50743,--,27591,--,68530,--,29789,--,49797,--,26090,0,48998,0,27274,0,66977,--,24351,--,46280,--,27337,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,2675,--,96,--,65,--,141,--,36,--,76,--,-28,--,111,--,358,--,54,--,-13,--,148,--,-110,0,14,0,-60,--,2,--,85,--,161,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,12194,--,6232,--,12947,--,6406,--,12829,--,6442,--,13453,--,4888,--,16291,--,8505,--,15168,--,6786,0,14040,0,5224,0,15034,--,7607,--,13816,--,6590,--, 
 无形资产摊销(万元),--,5444,--,2147,--,4551,--,2331,--,4548,--,3620,--,4692,--,3620,--,3628,--,1761,--,3331,--,1674,--,3440,0,1723,0,3440,--,1723,--,3443,--,1667,--, 
 长期待摊费用摊销(万元),--,524,--,260,--,548,--,265,--,530,--,253,--,534,--,279,--,443,--,294,--,421,--,66,--,218,0,104,0,391,--,3,--,39,--,24,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-16109,--,-9,--,-5708,--,-12,--,-31,--,-3,--,124,--,-4,--,569,--,-1,--,41,--,0,--,93,0,0,0,155,--,0,--,63,--,11,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,2,--,--,--,--,--,22,--,--,--,--,0,--,0,16,--,1,--,95,--,2,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,--,-291,--,-291,--,677,0,441,0,-387,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,3458,--,1800,--,10629,--,5167,--,10504,--,5451,--,8870,--,4045,--,4020,--,1621,--,7172,--,4728,--,8255,0,4507,0,3845,--,2099,--,4057,--,1849,--, 
 投资损失(万元),--,-59053,--,-31352,--,-20235,--,-19085,--,-24824,--,-8422,--,-12994,--,-6695,--,-34933,--,-7414,--,-16755,--,-12683,--,-18398,0,-13918,0,-40312,--,-8408,--,-8036,--,-2894,--, 
 递延所得税资产减少(万元),--,-1485,--,4,--,-207,--,-60,--,-139,--,235,--,-54,--,234,--,7480,--,35,--,-1,--,185,--,155,0,188,0,-352,--,-87,--,-1464,--,57,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-1,--,--,--,73,0,-70,0,9144,0,70,--,--,--,11819,--,--,--, 
 存货的减少(万元),--,8197,--,19053,--,-44697,--,-9070,--,-16738,--,-11296,--,10598,--,-9650,--,18563,--,24945,--,-4434,--,-195,--,-14795,0,-5912,0,1519,--,-893,--,5231,--,-937,--, 
 经营性应收项目的减少(万元),--,-54331,--,-26443,--,-34687,--,-21490,--,-31285,--,-22586,--,1415,--,14344,--,-3327,--,-10281,--,-16287,--,-12646,0,4187,0,-10020,0,699,--,-6150,--,248675,--,-10290,--, 
 经营性应付项目的增加(万元),--,115324,--,-70578,--,191267,--,9971,--,51699,--,9035,--,-18847,--,-25142,--,19218,--,-27365,--,33350,--,13311,0,13490,0,7389,0,3882,--,-11344,--,-266941,--,-1388,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,148447,--,-35668,--,187552,--,6580,--,68215,--,13260,--,58505,--,13622,--,100840,--,21952,--,71522,--,27245,--,60179,0,26158,0,54916,--,8903,--,57163,--,22190,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),320925,346265,238736,234124,83993,197857,147145,261418,168373,183366,199993,248734,256473,275006,224190,330878,329736,308145,227643,230764,142306,173989,135649,273324,229409,238940,201096,166984,162855,240336,77829,73577,70738,60351,29697,34544,28993, 
 现金的期初余额(万元),349315,208403,198049,198049,198049,183366,183605,183605,183605,275006,275148,275148,275148,308145,308208,308208,308208,173989,173992,173992,173992,238940,238940,238940,238940,240336,240336,240336,240336,60351,60351,60351,60674,40196,40135,40196,40135, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-28390,137862,40688,36076,-114056,14491,-36460,77813,-15232,-91640,-75155,-26414,-18674,-33140,-84018,22670,21528,134156,53650,56772,-31686,-64951,-103291,34384,-9532,-1396,-39240,-73352,-77481,179985,17478,13226,10063,20155,-10439,-5652,-11142, 

