 报告日期,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 取得借款收到的现金(万元),126210,77410,33000,51400,35400,21600,18600,66000,47950,28400,14731,54460,42460,26500,16300,49900,33700,17800,15155, 
 发行债券收到的现金(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),15000,10000,--,6873,6600,16109,16109,7943,1058,1058,4854,9800,8940,0,0,1568,368,105,2, 
 筹资活动现金流入小计(万元),141349,87410,33000,58273,42000,37709,34709,73943,49008,29458,19584,64260,51400,26500,16300,51468,34068,17905,15157, 
 偿还债务支付的现金(万元),63480,29280,18650,54040,38290,36340,21600,66800,47850,26500,16000,62056,46846,26070,15270,59100,39300,22500,16655, 
 分配股利、利润或偿付利息所支付的现金(万元),6765,4194,956,5447,4308,3005,936,6723,5280,3866,1378,7047,5646,3947,2186,6527,4694,3747,1078, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,0,--,--,--,--,1158,0,138,0,1220,0,--,--,1160,--,--, 
 支付其他与筹资活动有关的现金(万元),5500,960,--,4000,91,--,--,13800,1454,0,200,2049,1151,44,44,180,100,4,2, 
 筹资活动现金流出小计(万元),75745,34434,19606,63487,42689,39345,22536,87323,54584,30366,17578,71152,53643,30062,17500,65807,44094,26250,17735, 
 筹资活动产生的现金流量净额(万元),65604,52976,13394,-5214,-689,-1636,12173,-13379,-5576,-908,2007,-6892,-2243,-3562,-1200,-14339,-10026,-8345,-2578, 
 汇率变动对现金及现金等价物的影响(万元),--,-0,--,-0,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--, 
 现金及现金等价物净增加额(万元),-12158,-5404,-5795,17807,20223,15962,14586,2962,2774,8578,970,5268,7041,-1805,-1689,-799,167,-6680,-3714, 
 加:期初现金及现金等价物余额(万元),35168,35168,35168,17361,17361,17361,17361,14399,14399,14399,14399,9132,9132,9132,9132,9930,9930,9930,9930, 
 期末现金及现金等价物余额(万元),23010,29764,29373,35168,37584,33323,31947,17361,17173,22977,15370,14399,16172,7327,7442,9132,10097,3250,6217, 
 净利润(万元),--,6596,--,9307,--,4305,0,4750,--,2147,--,5098,--,715,0,6048,--,1294,--, 
 少数股东损益(万元),--,--,--,0,--,--,--,--,--,0,--,2401,--,0,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 资产减值准备(万元),--,43,--,967,--,267,--,223,--,33,--,1097,--,1,0,509,--,-3,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,6451,--,11245,--,5367,0,10604,--,5494,--,10742,--,5429,0,10853,--,6215,--, 
 无形资产摊销(万元),--,103,--,127,--,60,--,117,--,57,--,255,--,95,0,255,--,91,--, 
 长期待摊费用摊销(万元),--,3,--,5,--,3,--,2,--,1,--,2,--,1,0,2,--,1,--, 
 待摊费用的减少(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,1325,--,1667,--,56,--,178,--,-68,--,440,--,7,0,249,--,-25,--, 
 固定资产报废损失(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 预计负债(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 财务费用(万元),--,2014,--,4427,--,2051,--,5707,--,3080,--,5258,--,2683,0,4722,--,2347,--, 
 投资损失(万元),--,10,--,461,--,66,--,-12,--,-99,--,-166,--,46,0,124,--,52,--, 
 递延所得税资产减少(万元),--,0,--,62,--,-160,--,-14,--,-28,--,-168,--,24,0,-159,--,50,--, 
 递延所得税负债增加(万元),--,--,--,0,--,--,0,--,--,0,--,0,--,-220,0,--,--,-220,--, 
 存货的减少(万元),--,-12091,--,10661,--,1791,--,-6821,--,119,--,-3114,--,-6051,0,-679,--,-5300,--, 
 经营性应收项目的减少(万元),--,-11242,--,-7474,--,-7234,0,12734,--,-4669,--,-17508,--,-2170,0,-53,--,-9353,--, 
 经营性应付项目的增加(万元),--,5330,--,-3049,--,11953,0,-13058,--,3754,--,9352,--,2771,0,-6542,--,7658,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 其他(万元),--,202,--,2254,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-1257,--,30661,--,18524,--,14412,--,9821,--,13687,--,2929,0,15330,--,2807,--, 
 债务转为资本(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--, 
 现金的期末余额(万元),23010,29764,29373,35168,37584,33323,31947,17361,17173,22977,15370,14399,16172,7327,7442,9132,10097,3250,6217, 
 现金的期初余额(万元),35168,35168,35168,17361,17361,17361,17361,14399,14399,14399,14399,9132,9132,9132,9132,9930,9930,9930,9930, 
 现金等价物的期末余额(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-12158,-5404,-5795,17807,20223,15962,14586,2962,2774,8578,970,5268,7041,-1805,-1689,-799,167,-6680,-3714, 

