 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2013-06-30,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,2,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),54,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),55,2,0,1574,1386,956,391,1072,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9,8,4,185,73,87,19,381,146,153,6,433,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 投资所支付的现金(万元),--,--,--,1530,1348,927,407,1068,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,4,6,--,6,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),9,8,4,1719,1427,1013,431,1450,146,153,6,433,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 投资活动产生的现金流量净额(万元),46,-6,-4,-146,-41,-58,-40,-377,-146,-153,-6,-433,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),40,20,20,335,335,--,--,792,867,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,1,1,1,1,4,4,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),40,20,20,336,336,1,1,796,871,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 偿还债务支付的现金(万元),1001,885,768,488,385,129,65,265,200,200,50,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),45,45,45,148,122,74,50,149,128,67,38,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,7,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,84,80,11,2,7,7,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),1046,930,813,720,587,215,117,420,335,267,88,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 筹资活动产生的现金流量净额(万元),-1006,-910,-793,-383,-251,-214,-116,376,536,-267,-88,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 汇率变动对现金及现金等价物的影响(万元),0,-0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-1326,-1388,-1336,-1447,-2767,-2431,-1278,-3450,-4275,-4366,-2966,4744,0,0,0,--,0,0,0,0,0,0,0,-0,-0,1,1,0,-0,0,-0, 
 加:期初现金及现金等价物余额(万元),1508,1508,1508,2955,2955,2955,2949,6405,6405,6405,6405,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0, 
 期末现金及现金等价物余额(万元),182,120,172,1508,188,524,1671,2955,2130,2039,3439,4744,--,--,0,--,--,0,0,--,--,--,0,0,0,1,2,0,0,0,0, 
 净利润(万元),--,451,--,2989,--,1602,--,6162,--,1664,979,175295,-4677,-5554,--,-5547,--,--,--,-5542,--,--,0,-5533,--,--,--,-5543,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,--,--,50,--,-169,--,15,--,6,--,6,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,111,--,179,--,44,--,201,--,131,33,9,--,135,--,135,--,--,--,135,--,--,0,135,--,--,--,135,--,--,--, 
 无形资产摊销(万元),--,14,--,16,--,4,--,6,--,3,1,0,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 长期待摊费用摊销(万元),--,30,--,66,--,29,--,31,--,34,24,3,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,5,--,4,--,--,--,-140,--,6,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,22,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 财务费用(万元),--,46,--,227,--,103,--,149,--,2,3,11,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 投资损失(万元),--,--,--,-29,--,-18,--,-17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,--,--,48,--,116,--,-168,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-3470,--,9608,--,2417,--,-9462,--,-3491,5726,-4472,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 经营性应收项目的减少(万元),--,3083,--,-14948,--,-11907,--,-2753,--,-648,-12007,1066,-1,--,--,--,--,--,--,-1137,--,--,0,-33,--,--,--,-42,--,--,--, 
 经营性应付项目的增加(万元),--,-716,--,872,--,5619,--,2528,--,-1855,2345,7943,4678,5419,--,5412,--,--,--,6544,--,--,0,5431,--,--,--,5450,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 其他(万元),--,-25,--,0,--,--,--,--,--,202,--,-174663,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-472,--,-918,--,-2160,--,-3449,--,-3946,-2873,5177,0,--,--,0,--,--,--,--,--,--,0,-0,--,--,--,0,--,--,--, 
 债务转为资本(万元),--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 现金的期末余额(万元),182,120,172,1508,188,524,1671,2955,2130,2039,3439,4744,--,--,0,--,--,0,0,--,--,--,0,0,0,1,2,0,0,0,0, 
 现金的期初余额(万元),1508,1508,1508,2955,2955,2955,2949,6405,6405,6405,6405,--,--,--,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0, 
 现金等价物的期末余额(万元),--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-1326,-1388,-1336,-1447,-2767,-2431,-1278,-3450,-4275,-4366,-2966,4744,0,--,0,--,0,0,0,--,--,--,0,-0,-0,1,1,0,-0,0,-0, 

