 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),14883,7716,3989,9247,25746,21921,1820,27724,23645,14429,3312,31815,25116,10923,3718,522,-11,102,82,17,64,64,50,601,141,7,--,--,7,--,--,15,2,2,2,--,1,1,--,111,--,--,--,0,2,2,75,15,16, 
 经营活动现金流入小计(万元),71965,55718,29030,97686,84642,70105,1837,103583,66550,48003,27154,91259,63256,35206,19128,1054,7,109,105,1031,400,293,197,1142,542,288,161,533,400,275,143,537,386,272,157,505,370,274,161,553,319,212,116,499,334,251,121,393,468, 
 购买商品、接受劳务支付的现金(万元),49687,36389,25477,80287,63355,49959,--,66174,53227,37636,27015,53092,42360,28577,19824,1035,702,640,0,259,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3349,2604,1569,4544,3348,2288,147,4596,3845,2575,1366,4184,2585,1588,1247,175,155,101,65,139,175,117,74,211,160,110,67,190,149,104,62,146,115,85,58,113,88,58,31,91,105,69,33,170,115,95,43,98,92, 
 支付的各项税费(万元),4542,3634,735,5694,4869,4645,--,5634,4485,3964,3575,6258,4821,4159,654,40,33,33,33,67,52,40,25,91,58,42,9,86,62,41,15,55,74,37,9,50,80,60,39,88,85,45,23,50,34,12,1,21,15, 
 支付的其他与经营活动有关的现金(万元),11453,4960,6621,9340,25157,21062,1553,26248,22371,13204,3626,30327,20768,8379,4974,447,313,334,290,341,212,175,109,851,319,176,114,216,166,106,52,439,115,93,29,215,138,99,52,379,114,90,47,273,186,143,77,255,227, 
 经营活动现金流出小计(万元),69030,47589,34401,99865,96730,77954,1700,102652,83927,57379,35582,93861,70534,42703,26699,1698,1203,1108,387,805,439,333,207,1153,537,328,190,492,378,252,129,641,304,214,96,379,305,218,122,559,304,204,104,493,335,250,121,375,333, 
 经营活动产生的现金流量净额(万元),2935,8129,-5371,-2179,-12088,-7849,137,930,-17377,-9376,-8428,-2602,-7278,-7496,-7571,-643,-1196,-999,-282,226,-39,-40,-11,-11,5,-39,-29,42,22,23,13,-104,82,57,61,126,64,56,39,-6,15,8,12,6,-1,2,-0,18,135, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,597,1095,1095,--,849,229,229,--,6270,3500,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,22,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,--,18,18,0,--,95,111,--,--,228,19,--,28,--,--,--,0,3240,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0,-0,-0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,206,--,--,7405,7405,7405,--,--,--,--,0,60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,18,18,0,0,713,1412,1095,0,8481,7653,7634,28,6270,3500,-0,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),505,494,277,686,319,252,10,437,157,100,53,812,225,142,78,2,2,2,0,1,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42,142, 
 投资所支付的现金(万元),--,--,--,--,--,--,300,2000,2649,649,--,850,331,231,2,8496,6668,2000,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,39,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),505,494,277,686,319,252,310,2437,2806,749,91,1661,557,373,80,8498,6670,2002,0,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,42,142, 
 投资活动产生的现金流量净额(万元),-505,-494,-277,-668,-301,-252,-310,-1724,-1395,346,-91,6820,7096,7261,-52,-2228,-3170,-2002,0,3249,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,-42,-142, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,940,10000,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),62200,50700,19700,54000,45100,36000,--,52355,44485,32490,11990,36352,29352,24862,5300,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,84,--,--,--,863,--,68,--,--,--,--,--,10509,10000,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 筹资活动现金流入小计(万元),62200,50700,19700,54084,45100,36000,0,53218,44485,32558,11990,36352,29452,24862,5300,10509,10940,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0, 
 偿还债务支付的现金(万元),69700,52700,23100,49865,40965,36465,--,43480,30980,25490,10990,34100,28038,25438,6800,--,--,--,0,639,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),2439,2078,430,3632,3091,711,--,2896,2512,1833,260,1063,765,529,--,--,--,--,0,2601,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,1715,--,--,288,686,--,705,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 筹资活动现金流出小计(万元),72139,54778,23530,53497,44056,37176,0,48091,33492,27323,11538,35848,28803,26671,6800,0,0,0,0,3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0, 
 筹资活动产生的现金流量净额(万元),-9939,-4078,-3830,588,1044,-1176,0,5127,10993,5235,452,503,649,-1810,-1500,10509,10940,10000,0,-3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0, 
 汇率变动对现金及现金等价物的影响(万元),-0,-0,--,-11,--,--,--,901,--,--,--,-22,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-7510,3556,-9478,-2271,-11346,-9277,-172,5235,-7779,-3795,-8067,4699,467,-2045,-9123,7638,6574,6999,-282,235,-39,-40,-11,-11,5,-39,-29,40,22,23,13,-104,82,57,61,126,64,56,39,-6,15,8,12,6,-1,2,-0,-23,-6, 
 加:期初现金及现金等价物余额(万元),13876,13876,13876,16147,16147,16147,192,10912,12616,10912,10949,6213,6213,6213,14187,337,337,337,337,102,68,68,68,80,80,80,80,39,39,39,39,143,143,143,143,17,1,17,17,23,23,23,23,17,17,17,17,40,47, 
 期末现金及现金等价物余额(万元),6367,17432,4399,13876,4801,6870,20,16147,4837,7117,2882,10912,6680,4168,5064,7974,6911,7336,54,337,29,28,57,68,85,40,51,80,61,62,53,39,225,200,204,143,66,74,56,17,37,31,35,23,17,19,17,17,40, 
 净利润(万元),--,2470,--,8992,--,2133,--,12345,--,4595,--,10640,--,4237,--,65029,64646,65872,--,1779,--,-728,--,-1493,--,-708,--,-1442,--,-658,--,-1559,--,-623,--,-1504,--,-636,--,-686,--,-681,--,-1786,--,-789,--,-1831,-4765, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-489,--,-578,--,-1416,--,1718,--,82,--,405,--,-463,--,-28,-22,-17,--,22,--,--,--,7,--,--,--,7,--,--,--,7,--,--,--,22,--,--,--,-39,--,--,--,146,--,--,--,-33,3159, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,242,--,484,--,243,--,589,--,278,--,603,--,307,--,42,41,40,--,448,--,253,--,512,--,254,--,514,--,254,--,527,--,256,--,534,--,256,--,536,--,257,--,544,--,257,--,560,565, 
 无形资产摊销(万元),--,2,--,3,--,1,--,3,--,1,--,2,--,1,--,--,--,--,--,13,--,9,--,18,--,9,--,18,--,9,--,37,--,9,--,37,--,9,--,37,--,9,--,37,--,9,--,37,37, 
 长期待摊费用摊销(万元),--,46,--,68,--,37,--,57,--,28,--,54,--,24,--,1,1,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,1,--,--,--,13,--,0,--,-43,--,0,--,-13176,-13176,-13176,--,-1826,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,401,--, 
 固定资产报废损失(万元),--,1,--,--,--,0,--,1,--,0,--,--,--,-0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,-42,--,-42,--,-283,--,-274,--,-1,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,865,--,1639,--,707,--,1455,--,598,--,1082,--,565,--,-0,-0,--,--,-0,--,432,--,863,--,432,--,885,--,432,--,1040,--,432,--,1040,--,432,--,1040,--,432,--,1040,--,432,--,1040,1032, 
 投资损失(万元),--,--,--,--,--,--,--,264,--,286,--,191,--,174,--,-1268,-939,-2173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,135,--,145,--,360,--,-441,--,-30,--,-102,--,187,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税负债增加(万元),--,-0,--,-9,--,-0,--,-0,--,-0,--,-21,--,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,1154,--,-8547,--,13021,--,4583,--,2653,--,-2771,--,3611,--,-95,-96,-39,--,87,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营性应收项目的减少(万元),--,18820,--,7012,--,11362,--,-20646,--,-7586,--,-22772,--,-8684,--,-178,308,1,--,-421,--,-4,--,-17,--,-32,--,4,--,-74,--,15,--,-17,--,-22,--,-3,--,48,--,-18,--,-31,--,39,--,852,-1, 
 经营性应付项目的增加(万元),--,-15116,--,-11389,--,-34298,--,1031,--,-10238,--,10412,--,-7182,--,-50971,-51990,-51509,--,74,--,-2,--,98,--,7,--,55,--,61,--,-171,--,0,--,18,--,-2,--,-941,--,10,--,54,--,54,--,-1007,107, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,8129,--,-2179,--,-7849,--,930,--,-9376,--,-2602,--,-7496,--,-643,-1196,-999,--,226,--,-40,--,-11,--,-39,--,42,--,23,--,-104,--,57,--,126,--,56,--,-6,--,8,--,6,--,2,--,18,135, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),6367,17432,4399,13876,4801,6870,20,16147,4837,7117,2882,10912,6680,4168,5064,7974,6911,7336,54,337,29,28,57,68,85,40,51,80,61,62,53,39,225,200,204,143,66,74,56,17,37,31,35,23,17,19,17,17,40, 
 现金的期初余额(万元),13876,13876,13876,16147,16147,16147,192,10912,12616,10912,10949,6213,6213,6213,14187,337,337,337,337,102,68,68,68,80,80,80,80,39,39,39,39,143,143,143,143,17,1,17,17,23,23,23,23,17,17,17,17,40,47, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-7510,3556,-9478,-2271,-11346,-9277,-172,5235,-7779,-3795,-8067,4699,467,-2045,-9123,7638,6574,6999,-282,235,-39,-40,-11,-11,5,-39,-29,40,22,23,13,-104,82,57,61,126,64,56,39,-6,15,8,12,6,-1,2,-0,-23,-6, 

