 报告日期,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,5,0,--,0,--,0,--,0,--,0,--,660,--,0,--,0,--,0,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 投资活动现金流出小计(万元),13724,7672,4854,1727,6722,4804,3471,1706,8482,4822,1983,782,2802,2385,1507,952,3185,1989,1961,1100,6898,2865,1454,917,6965,4455,3558,2624, 
 投资活动产生的现金流量净额(万元),-9475,-3433,-2619,-1714,-4169,-2786,-3460,-1697,-4617,-2492,698,1503,3283,1392,2161,1888,3894,3929,2561,-958,-2256,3759,2170,1904,-6121,-3907,-3099,-2614, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,7685,--,0,--,0,--,0,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 取得借款收到的现金(万元),71875,70410,53540,17790,87180,79180,45800,13500,115600,100700,52400,27800,205800,194900,124700,94400,164520,129520,61810,30510,140656,96236,47366,21210,170243,116993,70423,41247, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 收到其他与筹资活动有关的现金(万元),--,466,--,--,--,--,--,4,--,35,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--, 
 筹资活动现金流入小计(万元),71875,70876,53540,17790,87180,79180,45800,13504,115600,100735,52400,27800,205800,194900,124700,94400,164520,129520,61810,30510,148341,96236,47366,21210,170243,116993,70423,41247, 
 偿还债务支付的现金(万元),92580,82010,55910,18610,108900,97400,62500,23800,135000,120600,60600,32500,215410,202610,127910,97610,165986,123416,65286,28610,148698,104398,56028,29072,165258,116808,68648,37447, 
 分配股利、利润或偿付利息所支付的现金(万元),8782,6718,5531,1284,8481,6585,3046,1269,7768,7200,3070,1328,7071,5206,3621,1842,11131,7904,4823,2125,8188,5877,3549,1978,7886,5998,4143,1809, 
 其中：子公司支付给少数股东的股利、利润(万元),1385,1330,451,--,--,355,250,--,892,892,324,--,600,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,1035,--,--,--,7,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--, 
 筹资活动现金流出小计(万元),101362,88728,61441,19894,117381,105020,65546,25069,142768,127806,63670,33828,222481,207816,131531,99452,177117,131320,70109,30735,156886,110275,59577,31050,173144,122806,72791,39256, 
 筹资活动产生的现金流量净额(万元),-29487,-17852,-7901,-2104,-30201,-25840,-19746,-11565,-27168,-27071,-11270,-6028,-16681,-12916,-6831,-5052,-12597,-1800,-8299,-225,-8545,-14039,-12211,-9840,-2901,-5813,-2368,1991, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 现金及现金等价物净增加额(万元),12540,22211,16534,2295,-6978,-6303,-8027,-11942,937,-199,10434,4984,16616,7482,4851,-662,-350,6217,-2772,696,-4172,-3778,-5264,-8869,1041,-6130,-3783,-879, 
 加:期初现金及现金等价物余额(万元),25648,26813,25648,26813,32626,34085,32626,34085,31689,32545,31689,32545,15073,16248,15073,16248,15423,16825,18464,19433,23605,20852,20852,20852,22564,21135,21135,21135, 
 期末现金及现金等价物余额(万元),38188,49024,42181,29108,25648,27782,24599,22143,32626,32346,42123,37529,31689,23730,19924,15586,15073,23042,15692,20129,19433,17075,15588,11983,--,15005,17352,20256, 
 净利润(万元),37362,--,23354,--,28022,--,17174,--,21906,0,13339,--,12117,--,6108,0,8399,0,6579,--,14451,--,6483,--,--,--,4869,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,839,--,0,--,--,--,0,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 资产减值准备(万元),195,--,-107,--,-75,--,-74,--,340,0,180,--,1760,--,-65,--,1526,--,59,--,2180,--,-3,--,--,--,39,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),7021,--,3500,--,6851,--,3081,--,6691,0,3328,--,7449,--,3719,0,7390,0,4302,--,3470,--,4025,--,--,--,3980,--, 
 无形资产摊销(万元),538,--,269,--,456,--,240,--,486,0,253,--,558,--,255,--,558,--,426,--,964,--,335,--,--,--,908,--, 
 长期待摊费用摊销(万元),91,--,43,--,94,--,31,--,79,0,40,--,186,--,70,--,171,--,268,--,209,--,72,--,--,--,34,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-11,--,-7,--,-618,--,36,--,-2311,0,-1487,--,-2014,--,78,--,-1763,--,0,--,0,--,13,--,--,--,-5,--, 
 固定资产报废损失(万元),111,--,8,--,392,--,--,--,--,0,0,--,0,--,0,--,0,--,20,--,42,--,0,--,--,--,0,--, 
 公允价值变动损失(万元),-616,--,-527,--,70,--,--,--,-301,0,0,--,-188,--,0,--,-787,--,0,--,-2856,--,0,--,--,--,0,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 财务费用(万元),4933,--,2721,--,5335,--,2747,--,5447,0,2825,--,6501,--,3479,--,9510,--,4636,--,7867,--,3826,--,--,--,3729,--, 
 投资损失(万元),-5387,--,-3478,--,-5397,--,-2890,--,-3997,0,-2908,--,-3087,--,-1960,--,-3586,--,-111,--,-5972,--,-2430,--,--,--,-1703,--, 
 递延所得税资产减少(万元),-792,--,-1782,--,-367,--,-3,--,-453,0,-15,--,47,--,-18,--,-470,--,-183,--,-924,--,-33,--,--,--,0,--, 
 递延所得税负债增加(万元),68,--,65,--,15,--,--,--,51,0,-65,--,-3632,--,0,0,842,0,0,--,-2926,--,-765,--,--,--,0,--, 
 存货的减少(万元),-9179,--,6041,--,3703,--,6494,--,-27872,0,-12189,--,1801,--,8163,--,-1914,--,-2501,--,-5310,--,1329,--,--,--,3063,--, 
 经营性应收项目的减少(万元),5867,--,-26215,--,-16496,--,-27704,--,28930,0,-5910,--,556,--,-14928,0,-12776,0,-18349,--,-7900,--,-11573,--,--,--,-16683,--, 
 经营性应付项目的增加(万元),11522,--,22017,--,5113,--,15422,--,4330,0,24662,--,7643,--,4058,0,1253,0,7818,--,2494,--,3498,--,--,--,3452,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 其他(万元),-220,--,1153,--,294,--,625,--,-604,0,-1049,--,318,--,560,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 经营活动产生现金流量净额(万元),51502,--,27053,--,27391,--,15179,--,32721,0,21006,--,30014,--,9521,--,8353,--,2966,--,6628,--,4777,--,--,--,1684,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 现金的期末余额(万元),38188,49024,42181,29108,25648,27782,24599,22143,32626,32346,42123,37529,31689,23730,19924,15586,15073,23042,15692,20129,19433,17075,15588,11983,0,15005,17352,20256, 
 现金的期初余额(万元),25648,26813,25648,26813,32626,34085,32626,34085,31689,32545,31689,32545,15073,16248,15073,16248,15423,16825,18464,19433,23605,20852,20852,20852,22564,21135,21135,21135, 
 现金等价物的期末余额(万元),0,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 现金等价物的期初余额(万元),0,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 现金及现金等价物的净增加额(万元),12540,22211,16534,2295,-6978,-6303,-8027,-11942,937,-199,10434,4984,16616,7482,4851,-662,-350,6217,-2772,696,-4172,-3778,-5264,-8869,1041,-6130,-3783,-879, 

