 报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 财务费用(万元),--,14819,--,42314,--,18362,--,42142,--,22570,0,53090,0,21977,0,32600,--,13461,--,19952,--,9912,--, 
 投资损失(万元),--,--,--,--,--,--,--,-100,--,-100,0,-300,0,--,0,-800,--,-400,--,535,--,98,--, 
 递延所得税资产减少(万元),--,-1,--,112,--,-476,--,7188,--,2,0,-6093,0,413,0,1929,--,-252,--,-302,--,-683,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--, 
 存货的减少(万元),--,10346,--,-84540,--,-97047,--,58711,--,92956,0,40113,0,-167995,0,-46187,--,-9598,--,-2550,--,16870,--, 
 经营性应收项目的减少(万元),--,-50842,--,105465,--,22038,--,175575,--,140184,0,24511,0,34083,0,-119523,--,-39300,--,-37529,--,-64036,--, 
 经营性应付项目的增加(万元),--,-27315,--,33068,--,-28679,--,-160786,--,-125199,0,-209480,0,1410,0,68885,--,-13147,--,-87301,--,15818,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 其他(万元),--,330,--,-86,--,242,--,589,--,8031,0,-2,0,16751,0,0,--,13101,--,0,--,1190,--, 
 经营活动产生现金流量净额(万元),--,22938,--,221239,--,34,--,229606,--,139702,0,66671,0,30814,0,168954,--,74654,--,74373,--,58724,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 现金的期末余额(万元),52495,69668,112454,143239,69179,73026,94001,79159,73323,148338,108918,72165,164193,141501,303661,122932,68130,92673,82585,89468,95353,109253,82497, 
 现金的期初余额(万元),143239,143239,143239,79159,79159,79159,79159,72165,72165,72165,72165,122932,122932,122932,122932,89468,89468,89468,89468,92195,88843,88843,88843, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 现金及现金等价物的净增加额(万元),-90744,-73571,-30785,64080,-9979,-6133,14842,6994,1158,76173,36753,-50767,41261,18570,180729,33464,-21338,3205,-6883,-2727,6510,20409,-6347, 

