 报告日期,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-03-31, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 支付保单红利的现金(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 支付给职工以及为职工支付的现金(万元),36805,22772,66290,47487,35494,21613,62421,40370,27010,15339,54600,37080,26482,13606,53659,29912,22172,12665,54352,36033,15311, 
 支付的各项税费(万元),60936,41491,71330,56960,39268,28227,65306,50175,39990,25610,58705,42046,34799,22645,54163,41594,29544,22577,45325,34943,16525, 
 支付的其他与经营活动有关的现金(万元),56594,36766,91962,83382,42401,34559,75165,60788,41219,25817,72306,254624,47671,64364,62308,265425,37786,115348,82347,103203,22255, 
 经营活动现金流出小计(万元),839562,497997,1291071,968894,672716,422652,1040709,788934,573860,335802,940506,897673,573832,361663,852278,846631,449432,352050,924209,807061,318090, 
 经营活动产生的现金流量净额(万元),44373,44502,166401,98870,65497,27656,126966,79637,31449,11108,111810,64198,40474,30023,102546,33833,30874,21307,90062,44357,15366, 
 收回投资所收到的现金(万元),67500,36401,79505,15165,12220,826,7306,7010,1109,--,5419,524,0,0,7260,6902,6390,250,34776,33496,--, 
 取得投资收益所收到的现金(万元),141,31113,5472,17491,538,15,3111,3381,419,289,2532,3791,2502,1367,364,519,239,3930,75,81,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,356,60,23,10,--,149,86,0,0,1402,98,51,1,127,45,32,11,2822,597,128, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,0,--,1535,--,--,--,--,--,--,0,585,--,0,0,0,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,0,0,8076,0,7,979,--,3, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 投资活动现金流入小计(万元),67648,67871,85037,32680,12768,841,12101,10476,1529,290,9353,4413,2553,1369,8336,15542,6662,4198,38652,34174,131, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),26551,1410,67192,9258,7455,3056,44167,33197,31343,25170,30979,21055,15055,9904,45578,21735,23239,17806,53243,36675,8533, 
 投资所支付的现金(万元),--,--,5984,18684,18665,24068,535,--,--,0,65911,68321,22282,1349,192697,83487,83362,0,14992,15121,1000, 
 质押贷款净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,18595,18595,18595,--,0,--,--,0,24356,--,--,--,38398,--,0,0,0,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,0,--,0,--,--,0,--,7046,0,--,0,151582,151581,0,51555,50503,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 投资活动现金流出小计(万元),26551,1410,91771,46537,44715,27124,44702,33197,31343,25170,121247,96422,37337,11253,276673,256804,258181,17806,119790,102300,9533, 
 投资活动产生的现金流量净额(万元),41096,66461,-6734,-13857,-31947,-26283,-32601,-22721,-29814,-24880,-111894,-92009,-34784,-9884,-268337,-241261,-251520,-13608,-81138,-68126,-9401, 
 吸收投资收到的现金(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--, 
 取得借款收到的现金(万元),372000,296280,765125,644000,533000,152020,949000,760000,600000,249000,816890,527044,345401,55576,577363,434949,361156,72000,227925,187707,17200, 
 发行债券收到的现金(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,100000, 
 筹资活动现金流入小计(万元),372000,296280,765125,644000,533000,152020,949000,760000,600000,249000,816890,527044,345401,55576,577363,434950,361156,72000,227925,187707,117200, 
 偿还债务支付的现金(万元),413940,325000,798170,670210,537250,149820,974000,731000,558000,214000,798783,483423,371679,62768,395159,231356,178786,14600,234225,189692,124100, 
 分配股利、利润或偿付利息所支付的现金(万元),10848,8706,40601,38198,22763,17336,36642,34289,20125,9622,39836,18642,15594,4045,43368,32030,3841,1617,24837,21951,1859, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,10372,--,0,--,94,--,0,--,--,--,--,--,7232,--,0,--,0,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,100,100,100,--,20,--,0,55,--,--,--,0,23,5,0,102863,305,520,457, 
 筹资活动现金流出小计(万元),424788,333706,838871,708508,560113,167156,1010662,765289,578125,223677,838619,502065,387272,66813,438550,263391,182627,119081,259367,212164,126417, 
 筹资活动产生的现金流量净额(万元),-52788,-37426,-73746,-64508,-27113,-15136,-61662,-5289,21875,25323,-21729,24979,-41872,-11237,138813,171559,178529,-47081,-31442,-24457,-9217, 
 汇率变动对现金及现金等价物的影响(万元),-1,-1,-3,13,-1,-0,-0,-0,-0,-0,21,46,45,26,8,36,3,1,3,-1,1, 
 现金及现金等价物净增加额(万元),32680,73536,85918,20518,6437,-13763,32703,51627,23510,11550,-21793,-2785,-36137,8928,-26971,-35834,-42113,-39380,-22514,-48227,-3251, 
 加:期初现金及现金等价物余额(万元),177663,177663,91745,91745,91745,91745,54674,54674,54674,54674,76466,76466,76466,76466,103437,103356,103356,83425,125951,125266,125266, 
 期末现金及现金等价物余额(万元),210343,251199,177663,112263,98182,77983,87377,106300,78184,66224,54674,73681,40329,85394,76466,67522,61243,44044,103437,77040,122015, 
 净利润(万元),71182,--,78481,--,40114,--,50689,--,27067,0,43203,0,20529,--,35482,--,23854,--,0,--,--, 
 少数股东损益(万元),--,--,--,--,0,--,0,--,--,--,--,--,4859,--,10858,--,--,--,0,--,--, 
 未确认的投资损失(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 资产减值准备(万元),-163,--,-524,--,52,--,549,--,-297,--,1190,--,349,--,1022,--,-103,--,0,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),14839,--,33228,--,16260,--,33340,--,14971,0,29317,0,10763,--,23257,--,9207,--,0,--,--, 
 无形资产摊销(万元),2577,--,5768,--,3001,--,5377,--,2357,--,5131,--,734,--,3987,--,840,--,0,--,--, 
 长期待摊费用摊销(万元),3642,--,1970,--,1121,--,1629,--,724,--,1741,--,412,--,1554,--,42,--,0,--,--, 
 待摊费用的减少(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 预提费用的增加(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),199,--,211,--,25,--,1627,--,9,--,-718,--,-17,--,1413,--,156,--,0,--,--, 
 固定资产报废损失(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,6,--,0,--,--, 
 公允价值变动损失(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 预计负债(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 财务费用(万元),9085,--,17134,--,8665,--,20184,--,5831,--,27916,--,16704,--,12522,--,3468,--,0,--,--, 
 投资损失(万元),-34467,--,-17223,--,-4909,--,-8509,--,-192,--,-1684,--,-1752,--,-6756,--,-5709,--,0,--,--, 
 递延所得税资产减少(万元),279,--,-2727,--,-558,--,796,--,6,--,-1473,--,119,--,470,--,-40,--,0,--,--, 
 递延所得税负债增加(万元),645,--,1894,--,0,--,-3184,--,--,0,0,0,--,--,0,--,-148,--,0,--,--, 
 存货的减少(万元),-10042,--,-1510,--,786,--,-1561,--,1245,--,-878,--,119,--,1299,--,1145,--,0,--,--, 
 经营性应收项目的减少(万元),9708,--,-1014,--,3786,--,-529,--,-9827,0,72184,0,-8267,--,-3972,--,21529,--,0,--,--, 
 经营性应付项目的增加(万元),-23111,--,50713,--,-2845,--,26557,--,-10446,0,-64119,0,-4078,--,21410,--,-27411,--,0,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 其他(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,4037,--,0,--,--, 
 经营活动产生现金流量净额(万元),44373,--,166401,--,65497,--,126966,--,31449,--,111810,--,40474,--,102546,--,30874,--,0,--,--, 
 债务转为资本(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--, 
 融资租入固定资产(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--, 
 现金的期末余额(万元),210343,251199,177663,112263,98182,77983,87377,106300,78184,66224,54674,73681,40329,85394,76466,67522,61243,44044,103437,77040,122015, 
 现金的期初余额(万元),177663,177663,91745,91745,91745,91745,54674,54674,54674,54674,76466,76466,76466,76466,103437,103356,103356,83425,125951,125266,125266, 
 现金等价物的期末余额(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--, 
 现金及现金等价物的净增加额(万元),32680,73536,85918,20518,6437,-13763,32703,51627,23510,11550,-21793,-2785,-36137,8928,-26971,-35834,-42113,-39380,-22514,-48227,-3251, 

