 报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 长期待摊费用摊销(万元),--,3046,--,6099,--,1963,--,3090,--,1308,--,3465,--,58,--,2351,--,61,--,2383,--,457,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,150,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-119,--,-214,--,-99,--,-38,--,-23,--,41,--,-47,--,-152,--,-69,--,845,--,37,--, 
 固定资产报废损失(万元),--,12,--,77,--,3,--,18,--,-7,--,59,--,2,--,66,--,-0,--,--,--,-0,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 财务费用(万元),--,13263,--,6935,--,3406,--,5106,--,2605,--,5685,--,2604,--,3395,--,1499,--,2947,--,1478,--, 
 投资损失(万元),--,-407,--,-4492,--,-301,--,7964,--,-111,--,-396,--,-348,--,-4186,--,-2294,--,-3391,--,-2366,--, 
 递延所得税资产减少(万元),--,-300,--,-390,--,-351,--,-6,--,40,--,-705,--,-460,--,-964,--,14,--,9,--,4,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,-10,--,0,0,6,0,14,--,740,--,19,--,4,--,42,--, 
 存货的减少(万元),--,-119339,--,-76314,--,-57499,--,1127,--,-30563,--,-64346,--,-43618,--,40314,--,8153,--,-29349,--,-27325,--, 
 经营性应收项目的减少(万元),--,56908,--,-69644,--,43575,--,-83880,--,-16449,0,-94241,0,-190967,--,-12283,--,-43719,--,-32837,--,-26694,--, 
 经营性应付项目的增加(万元),--,21633,--,197378,--,-8918,--,108617,--,44204,0,183699,0,217593,--,-34824,--,8971,--,66029,--,28142,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 经营活动产生现金流量净额(万元),--,-7586,--,90726,--,-3699,--,65193,--,9425,--,50739,--,-6637,--,11512,--,-18586,--,20830,--,-18860,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 现金的期末余额(万元),156074,252983,165104,220260,134980,133534,147876,206963,163898,99241,112522,143868,90559,98646,87606,108843,83724,46893,34651,86590,49422,36602,39299, 
 现金的期初余额(万元),220260,220260,220260,206963,207063,207063,207063,143868,143868,143868,143868,108843,108843,108843,108843,86590,86590,86590,86590,48460,48460,48460,48460, 
 现金等价物的期末余额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 现金及现金等价物的净增加额(万元),-64186,32723,-55156,13297,-72083,-73529,-59187,63094,20030,-44627,-31346,35026,-18284,-10197,-21237,22253,-2866,-39696,-51939,38130,962,-11857,-9161, 

