 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 筹资活动现金流出小计(万元),0,0,0,0,0,0,0,2008,1972,35,14057,13878,13577,7790,49203,29565,23764,12218,27657,19711,16465,13860,17143,11685,10821,6358,23719,12639,5975,5176,2772, 
 筹资活动产生的现金流量净额(万元),-0,-0,-0,-0,0,0,0,-2008,-1972,-35,1130,-3362,-3061,2126,-7307,2935,8736,2782,21707,24818,25836,26151,-693,4315,2779,1642,-3919,1817,6025,3824,3123, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,0,1,1,--,20,-1,-0,24,4,3,-2,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-286,-103,-203,-854,151,103,230,-49,-1466,293,-9410,-4515,-5042,4224,-12486,-15735,-1734,1895,4299,5665,7553,11599,2771,-232,-2753,-4296,416,7121,5224,4087,2916, 
 加:期初现金及现金等价物余额(万元),823,823,--,1677,1757,1757,--,238,4523,4523,9648,17779,17779,17779,22133,27718,27718,27718,19518,22440,--,21849,16746,20245,20245,20245,19829,12707,7483,3396,480, 
 期末现金及现金等价物余额(万元),537,720,--,823,1908,1860,--,188,3056,4816,238,13263,12737,22002,9648,11983,25984,29613,23817,28105,7553,33448,19518,20013,17492,15948,20245,19829,12707,7483,3396, 
 净利润(万元),--,-2014,--,-45903,--,-8844,--,-9933,-3598,--,-11249,--,-527,--,568,--,1641,--,4410,--,2329,--,6292,--,2284,--,6202,5607,5903,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,72,--,11647,--,6774,--,4851,1248,--,5783,--,193,--,3073,--,957,--,1199,--,466,--,250,--,322,--,211,186,201,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,500,--,1188,--,547,--,1220,563,--,1298,--,625,--,1299,--,663,--,1284,--,639,--,1282,--,643,--,1244,833,772,--,--, 
 无形资产摊销(万元),--,115,--,230,--,115,--,216,68,--,290,--,122,--,96,--,42,--,81,--,40,--,79,--,39,--,75,73,61,--,--, 
 长期待摊费用摊销(万元),--,1,--,236,--,2,--,24,10,--,33,--,13,--,6,--,--,--,5,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-5,--,-2,--,3,--,-13,--,--,-66,--,-1,--,-268,--,--,--,0,--,--,--,-66,--,-66,--,2,-1,-657,--,--, 
 固定资产报废损失(万元),--,--,--,133,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,1355,--,--,--,311,56,--,1049,--,569,--,1450,--,664,--,1391,--,718,--,1508,--,737,--,1658,850,337,--,--, 
 投资损失(万元),--,--,--,30,--,30,--,-70,-16,--,126,--,-29,--,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,--,--,1277,--,--,--,-441,--,--,--,-180,--,--,--,-38,--,-48,--,-32,-28,-30,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,20,--,1647,--,-12,--,2443,872,--,5114,--,3957,--,-3914,--,-1502,--,-693,--,1432,--,262,--,968,--,3222,-4261,-2968,--,--, 
 经营性应收项目的减少(万元),--,882,--,19396,--,1768,--,2658,1007,--,1480,--,-1824,--,-8277,--,-19640,--,-24434,--,-16557,--,-3098,--,-4253,--,-7386,-1946,-1019,--,--, 
 经营性应付项目的增加(万元),--,460,--,9189,--,87,--,213,371,--,-15051,--,-4232,--,8319,--,8862,--,1758,--,-2520,--,-2373,--,-6109,--,409,4558,3337,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,-135,--,--,--,-369,--,20,-74,--,24,--,-199,--,--,--,-1781,--,--,--,-3512,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-103,--,-853,--,102,--,1942,506,--,-9893,--,-1332,--,1933,--,-10093,--,-15179,--,-16966,--,4096,--,-5483,--,5605,5871,5935,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),537,720,--,823,1908,1860,--,207,3056,4816,238,13263,12737,22002,9648,11983,25984,29613,23817,28105,29994,33448,19518,20013,17492,15948,20245,19829,12707,7483,3396, 
 现金的期初余额(万元),823,823,--,1677,1757,1757,--,238,4523,4523,9648,17779,17779,17779,22133,27718,27718,27718,19518,22440,22440,21849,16746,20245,20245,20245,19829,12707,7483,3396,480, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-286,-103,-203,-854,151,103,230,-30,-1466,293,-9410,-4515,-5042,4224,-12486,-15735,-1734,1895,4299,5665,7553,11599,2771,-232,-2753,-4296,416,7121,5224,4087,2916, 

