 报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 投资活动现金流出小计(万元),10871,7113,4773,18607,14773,7584,4466,35619,22039,18752,16618,10215,5418,3107,1386,5220,2004,1403,521,5011,3798,7999,12937,8843, 
 投资活动产生的现金流量净额(万元),-10643,-6543,-4773,-7524,-4306,2870,5987,-35143,-22027,-18752,-14711,-10207,-5417,-3106,-1386,-4854,-1998,-1403,-521,-4696,-3572,-5895,-10401,-8843, 
 吸收投资收到的现金(万元),4431,4431,--,1644,1644,--,--,898,298,298,--,--,--,--,--,141271,141271,141271,141271,0,0,--,9081,1, 
 其中：子公司吸收少数股东投资收到的现金(万元),525,525,--,1644,1644,--,--,898,298,298,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9000,9000,17000,17000,0, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,--,0,0, 
 筹资活动现金流入小计(万元),4431,4431,0,1644,1644,0,0,898,298,298,0,0,0,0,0,141271,141271,141271,141271,9000,9000,17000,26081,1, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8000,8000,6000,--,11000,11000,21000,3000,0, 
 分配股利、利润或偿付利息所支付的现金(万元),16687,16687,640,17220,17220,17220,--,13350,13350,13350,--,16020,16020,16020,--,8210,8202,8178,109,401,282,2586,671,2935, 
 其中：子公司支付给少数股东的股利、利润(万元),640,640,640,1200,1200,1200,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,2618, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,--,0,0, 
 筹资活动现金流出小计(万元),16687,16687,640,17220,17220,17220,0,13350,13350,13350,0,16020,16020,16020,0,16210,16202,14178,109,11401,11282,23586,3671,2935, 
 筹资活动产生的现金流量净额(万元),-12256,-12256,-640,-15576,-15576,-17220,0,-12452,-13052,-13052,0,-16020,-16020,-16020,0,125061,125069,127093,141162,-2401,-2282,-6586,22409,-2934, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 现金及现金等价物净增加额(万元),-23693,-23002,-10716,-7441,-20868,-21919,-986,-30951,-35157,-32722,-16896,-8600,-26623,-24896,-9287,134309,113275,114468,132427,3324,-11795,601,15491,2628, 
 加:期初现金及现金等价物余额(万元),110605,110605,110605,118045,118045,118045,118045,148997,148997,148997,148997,157597,157597,157597,157597,23288,23288,23288,23288,19964,19964,19363,3872,1244, 
 期末现金及现金等价物余额(万元),86912,87603,99889,110605,97177,96127,117059,118045,113840,116275,132101,148997,130974,132700,148310,157597,136562,137756,155715,23288,8169,19964,19363,3872, 
 净利润(万元),--,6190,--,11668,--,2954,--,22536,--,7017,--,18090,--,6055,--,16687,--,5457,--,13811,9379,11618,8983,8218, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 资产减值准备(万元),--,390,--,-408,--,-84,--,961,--,440,--,104,--,273,--,211,--,802,--,190,812,-50,389,12, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,2985,--,4622,--,2033,--,3309,--,1628,--,3002,--,1345,--,2695,--,1335,--,2294,1688,2009,2304,1283, 
 无形资产摊销(万元),--,296,--,554,--,277,--,553,--,226,--,332,--,148,--,222,--,112,--,220,189,238,191,156, 
 长期待摊费用摊销(万元),--,6,--,10,--,7,--,8,--,9,--,4,--,--,--,--,--,--,--,0,0,14,60,36, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,375,--,48,--,11,--,75,--,9,--,338,--,6,--,463,--,47,--,3,2,75,412,24, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,191,--,180,--,400,281,568,699,317, 
 投资损失(万元),--,-0,--,-454,--,-454,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 递延所得税资产减少(万元),--,-62,--,-235,--,-49,--,-337,--,-256,--,-135,--,-35,--,-10,--,-107,--,-29,-137,211,-264,-40, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 存货的减少(万元),--,-7169,--,-8586,--,-6639,--,-2961,--,-2014,--,-200,--,-740,--,-2955,--,-1287,--,-953,448,1576,-2273,-2978, 
 经营性应收项目的减少(万元),--,-7413,--,11661,--,3558,--,-16051,--,-5389,--,-2058,--,-7503,--,-3632,--,-13387,--,-6415,-15224,-4893,-1162,1457, 
 经营性应付项目的增加(万元),--,201,--,-4675,--,-9184,--,8325,--,-2587,--,-1851,--,-5319,--,205,--,-4372,--,899,-3379,1714,-5858,5921, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 其他(万元),--,--,--,1455,--,--,--,225,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 经营活动产生现金流量净额(万元),--,-4202,--,15660,--,-7569,--,16644,--,-919,--,17627,--,-5770,--,14101,--,-11222,--,10421,-5941,13082,3482,14405, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 现金的期末余额(万元),86912,87603,99889,110605,97177,96127,117059,118045,113840,116275,132101,148997,130974,132700,148310,157597,136562,137756,155715,23288,8169,19964,19363,3872, 
 现金的期初余额(万元),110605,110605,110605,118045,118045,118045,118045,148997,148997,148997,148997,157597,157597,157597,157597,23288,23288,23288,23288,19964,19964,19363,3872,1244, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 现金及现金等价物的净增加额(万元),-23693,-23002,-10716,-7441,-20868,-21919,-986,-30951,-35157,-32722,-16896,-8600,-26623,-24896,-9287,134309,113275,114468,132427,3324,-11795,601,15491,2628, 

