 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30, 
 收到的其他与经营活动有关的现金(万元),118,47,31,60,128,83,48,170,74,34,28,30,105,100,3,107,119,111,89,276,400,324,232,397,405,272,136,128,265,232,124,1410,389,324,376,299,106,712,1049,593, 
 经营活动现金流入小计(万元),365,204,110,407,278,217,96,--,350,212,114,388,361,275,97,498,415,318,161,627,689,562,320,781,691,453,231,514,507,418,218,2080,708,505,970,769,424,4001,3343,1943, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,2,2,2,--,--,--,--,--,--,--,--,27,--,--,--,--,--,--,623,610,461,2002,2143,1061, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),228,154,79,199,194,139,93,--,188,155,84,228,230,189,78,376,264,187,87,410,340,305,80,226,252,167,77,268,261,181,95,562,367,256,386,255,140,559,462,311, 
 支付的各项税费(万元),25,14,9,31,23,16,11,--,25,21,9,26,24,22,13,30,25,13,4,35,28,17,12,38,28,25,16,25,19,12,3,37,21,17,26,17,9,32,26,19, 
 支付的其他与经营活动有关的现金(万元),135,69,43,68,94,75,39,294,167,64,51,219,149,94,40,174,124,124,70,207,405,294,250,515,396,222,71,221,257,183,100,2321,249,162,540,436,284,1064,787,409, 
 经营活动现金流出小计(万元),387,237,130,298,312,230,142,--,380,240,144,474,404,305,131,581,415,326,163,652,773,615,342,779,676,414,163,541,537,376,197,2920,637,434,1575,1318,894,3657,3419,1801, 
 经营活动产生的现金流量净额(万元),-22,-33,-20,109,-33,-14,-46,-27,-30,-28,-30,-85,-43,-30,-34,-82,0,-8,-2,-25,-84,-53,-22,2,15,39,67,-26,-30,42,20,-841,71,71,-605,-550,-470,344,-75,142, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1169,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,--,--,--,--,--,--,--,10,--,--,--,359,253,253,89,27,--,56,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,1,1,1,0,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,5,5,5,2,2,244,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,0,0,0,0,--,1,1,1,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,10,0,0,0,1535,257,257,94,29,2,300,27,24, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3,2,2,1,1,1,--,--,6,6,5,1,1,1,--,2,2,2,1,2,1,1,--,1,1,--,--,2,2,2,--,5,5,--,0,--,--,21,--,--, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,6,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3,2,2,1,1,1,0,--,6,6,5,1,1,1,0,2,2,2,1,2,1,1,0,1,1,0,0,2,2,2,0,5,5,0,7,6,0,21,0,0, 
 投资活动产生的现金流量净额(万元),-3,-2,-2,-1,-1,-1,0,--,-4,-4,-4,-1,-1,-1,0,-1,-2,-2,-1,21,-1,-1,0,-1,-1,0,0,8,-2,-2,0,1529,252,257,87,22,2,279,25,21, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,--,--,--,--,26,11, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,25,93,83,54,26,0,0, 
 筹资活动现金流入小计(万元),0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,93,83,54,26,26,11, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,491,23,20,57,42,20,100,115,35, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,15,0,0, 
 筹资活动现金流出小计(万元),0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,23,20,57,42,0,115,115,35, 
 筹资活动产生的现金流量净额(万元),0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-491,3,4,36,41,34,-89,-89,-24, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-24,-35,-22,108,-34,-15,-46,--,-34,-33,-34,-86,-44,-31,-34,-83,-2,-10,-3,-4,-85,-53,-22,1,15,39,67,-18,-32,40,20,198,327,333,-482,-487,-434,534,-139,140, 
 加:期初现金及现金等价物余额(万元),190,190,190,82,82,82,82,--,114,259,114,200,200,200,200,283,342,342,339,287,346,346,346,345,345,345,345,363,363,363,363,165,165,165,843,843,843,309,309,360, 
 期末现金及现金等价物余额(万元),165,154,168,190,48,68,37,--,80,226,80,114,156,168,166,200,340,332,342,283,261,293,324,346,360,384,413,345,331,403,383,363,492,498,361,356,408,843,169,500, 
 净利润(万元),--,--,--,-5912,--,--,--,-5847,--,--,--,-5978,--,--,--,-5969,--,--,--,-5979,--,--,--,-6032,--,--,--,-6159,--,--,--,-4164,--,--,--,--,--,-6964,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,--,--,3,--,--,--,--,--,--,--,--,--,--,--,-0,--,--,--,-6,--,--,--,1,--,--,--,1,--,--,--,-1,--,--,--,--,--,363,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,--,--,266,--,--,--,267,--,--,--,273,--,--,--,297,--,--,--,358,--,--,--,380,--,--,--,452,--,--,--,459,--,--,--,--,--,728,--,--, 
 无形资产摊销(万元),--,--,--,13,--,--,--,13,--,--,--,13,--,--,--,13,--,--,--,13,--,--,--,13,--,--,--,16,--,--,--,22,--,--,--,--,--,31,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--,--,-55,--,--,--,0,--,--,--,-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-2302,--,--,--,--,--,141,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-193,--,--, 
 财务费用(万元),--,--,--,5679,--,--,--,5679,--,--,--,5679,--,--,--,5679,--,--,--,5679,--,--,--,5679,--,--,--,--,--,--,--,5683,--,--,--,--,--,5679,--,--, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-23,--,--,--,--,--,--,--,-10,--,--,--,-200,--,--,--,--,--,-125,--,--, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,--,--,0,--,--,--,3,--,--,--,0,--,--,--,1,--,--,--,7,--,--,--,0,--,--,--,2,--,--,--,308,--,--,--,--,--,282,--,--, 
 经营性应收项目的减少(万元),--,--,--,34,--,--,--,-40,--,--,--,-123,--,--,--,-12,--,--,--,-50,--,--,--,-35,--,--,--,-44,--,--,--,-334,--,--,--,--,--,-198,--,--, 
 经营性应付项目的增加(万元),--,--,--,27,--,--,--,-46,--,--,--,51,--,--,--,-91,--,--,--,-23,--,--,--,-3,--,--,--,5717,--,--,--,-314,--,--,--,--,--,598,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,--,--,109,--,--,--,-27,--,--,--,-85,--,--,--,-82,--,--,--,-25,--,--,--,2,--,--,--,-26,--,--,--,-841,--,--,--,--,--,344,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),165,154,168,190,48,68,37,82,80,226,80,114,156,168,166,200,340,332,342,342,261,293,324,346,360,384,413,345,331,403,383,363,492,498,361,356,408,843,169,500, 
 现金的期初余额(万元),190,190,190,82,82,82,82,114,114,259,114,200,200,200,200,283,342,342,339,346,346,346,346,345,345,345,345,363,363,363,363,165,165,165,843,843,843,309,309,360, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-24,-35,-22,108,-34,-15,-46,-32,-34,-33,-34,-86,-44,-31,-34,-83,-2,-10,-3,-4,-85,-53,-22,1,15,39,67,-18,-32,40,20,198,327,333,-482,-487,-434,534,-139,140, 

