报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,0,
其他应收款(万元),26092,26073,26573,25941,28557,28608,29135,29669,70,75,87,107,121,118,378,416,219,157,6026,6050,7339,7021,6952,2498,6566,7020,6664,1320,1425,1447,2079,2440,1455,272,83,164,185,168,180,195,256,392,428,406,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
存货(万元),508,531,540,487,451,437,457,331,117,124,133,129,137,140,155,144,139,150,151,156,145,147,136,155,138,136,140,134,125,137,137,146,142,136,138,140,131,129,130,131,125,125,127,136,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
其他流动资产(万元),84,78,52,36,--,--,--,--,866,851,845,838,859,870,886,903,936,904,879,872,929,925,904,888,939,958,962,953,962,962,951,954,952,959,957,955,973,967,980,971,938,938,938,949,
流动资产合计(万元),29870,30088,31035,31803,32955,33839,39499,42423,2676,2505,2656,2992,4525,4533,8392,9533,13400,9995,9281,9857,11136,11356,11800,12500,12742,12816,12656,12826,11591,11774,8060,8718,5678,6199,3486,3784,3371,4036,4167,4439,3487,3605,3343,3570,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,--,0,0,0,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,510,510,--,--,--,0,0,--,0,0,0,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,12484,12625,12766,12907,18003,18144,18284,18424,19238,19382,9077,9146,8954,9023,9091,9159,9528,9597,9667,9736,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
固定资产原值(万元),--,--,--,21,--,11,--,--,--,57428,--,57420,--,57367,--,56485,--,55129,--,55060,--,55294,--,54517,--,53553,--,53458,--,69695,--,69635,--,69518,--,69229,--,69168,--,69001,0,67771,--,67430,
累计折旧(万元),--,--,--,1,--,0,--,--,--,31120,--,30366,--,29545,--,28760,--,27934,--,27184,--,26341,--,25452,--,24537,--,23626,--,29719,--,28712,--,27678,--,26649,--,25624,--,24605,0,23648,--,22707,
固定资产净值(万元),--,--,--,20,--,11,--,--,--,26308,--,27053,--,27822,--,27725,--,27195,--,27875,--,28954,--,29065,--,29016,--,29832,--,39976,--,40923,--,41840,--,42580,--,43544,--,44396,0,44123,--,44723,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,0,0,--,0,
固定资产(万元),44,30,26,20,14,11,2,--,25941,26308,26677,27053,27491,27822,28210,27725,26816,27195,27533,27875,28565,28954,28665,29065,28586,29016,29430,29832,39539,39976,40447,40923,41363,41840,42076,42580,43034,43544,43951,44396,43653,44123,44586,44723,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,157,129,87,638,780,--,--,--,--,0,509,509,--,--,--,--,--,0,--,0,--,0,--,--,50,50,50,--,1125,1125,1115,1087,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
无形资产(万元),8,9,11,12,12,11,11,13,15,17,19,16,17,29,21,22,21,23,25,29,23,25,20,22,11,13,9,11,14,17,18,21,23,25,26,25,28,28,23,24,26,25,26,28,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
长期待摊费用(万元),144,153,159,76,93,51,3,--,234,229,218,224,308,221,214,150,108,77,59,64,74,62,66,69,40,43,47,52,56,25,29,34,38,42,47,51,56,60,65,69,74,78,83,87,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,--,--,--,
递延所得税资产(万元),8,8,8,8,2,2,2,2,--,--,--,--,--,--,--,--,--,--,--,--,268,268,268,268,251,251,251,251,44,44,44,44,44,44,44,44,30,30,30,141,1282,1282,1282,112,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,1206,1206,1206,1206,1206,
非流动资产合计(万元),205,200,204,116,121,76,19,15,38674,39179,39680,40199,45977,46343,46816,46961,46963,46677,36693,37114,37885,38332,38619,39093,38414,38919,39403,39882,39653,40061,40538,41021,41977,42462,42192,42700,43199,43713,44119,45836,47365,47838,48297,47243,
资产总计(万元),30075,30288,31239,31919,33076,33915,39518,42438,41350,41683,42335,43191,50502,50876,55208,56494,60363,56672,45974,46971,49022,49688,50419,51593,51157,51735,52060,52708,51244,51835,48598,49738,47655,48661,45678,46484,46569,47749,48286,50274,50852,51444,51640,50813,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,275,275,275,275,275,280,285,290,300,300,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,--,0,0,0,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
应付账款(万元),397,449,414,550,375,287,229,135,187,144,184,230,208,292,186,335,273,262,261,296,299,288,270,310,311,308,317,414,347,379,381,351,355,349,207,181,260,219,149,227,385,307,308,316,
预收账款(万元),150,4,39,26,--,24,--,--,603,675,718,699,39,102,16,87,905,1061,16,97,15,37,12,49,12,34,14,27,14,41,14,49,14,5,14,44,364,2004,1013,1045,1010,17,23,10,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
应付职工薪酬(万元),153,63,88,169,204,166,144,278,186,175,147,242,107,98,94,213,159,134,111,191,110,90,86,93,41,41,32,95,58,42,25,155,59,44,29,95,56,40,22,134,34,37,40,163,
应交税费(万元),520,514,514,965,750,652,585,1116,255,254,259,256,334,299,272,248,195,169,172,175,225,200,189,231,200,182,179,175,154,149,148,149,144,140,290,296,156,157,162,244,132,250,239,121,
应付利息(万元),--,--,--,--,--,--,--,--,540,275,282,282,277,277,290,291,296,286,261,262,260,264,270,271,269,267,268,262,257,253,254,254,181,161,201,207,205,205,211,206,0,0,0,208,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,435,--,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,--,--,--,
其他应付款(万元),1431,1422,1931,2064,1782,3122,8262,10299,2955,3007,3066,3165,2969,2881,2728,2912,2849,3060,3069,2880,2848,2840,2790,2990,2881,2865,2508,2892,2803,2746,3194,3634,2297,2599,2463,2835,2731,3024,3674,4541,4411,5099,5102,5085,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,0,
一年内到期的非流动负债(万元),--,--,--,--,--,33,88,144,--,--,--,--,--,--,1627,1627,1000,1000,2500,2500,2000,2000,2000,2000,2000,2000,1700,1700,800,800,800,800,800,800,3000,3000,2900,2900,2900,2800,2800,2000,2000,1200,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,655,695,634,0,
流动负债合计(万元),2650,2452,2985,3773,3111,4284,9308,11971,4726,4530,4656,4873,3934,3949,5214,5712,5676,5971,6389,6399,5757,5719,5618,5944,5714,5697,5454,5565,4867,4844,5251,5826,4284,4533,6914,7368,7382,9260,8841,9911,10148,9130,9081,7838,
长期借款(万元),--,--,--,--,--,--,--,--,19990,19990,19990,19990,19990,20013,21966,22373,27749,23321,12400,12900,13900,14400,14900,15400,15900,16400,16900,17100,18200,18400,14400,14600,12800,13200,7400,7400,7500,7500,8200,9000,9000,10400,10400,11800,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
预计非流动负债(万元),25922,25904,25884,25864,28490,28468,29077,29505,35727,35727,35727,35727,797,797,887,887,833,833,833,833,863,863,863,863,893,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,199,255,311,366,422,477,533,335,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
非流动负债合计(万元),25922,25904,25884,25864,28490,28468,29077,29505,55917,55972,56028,56083,21209,21287,23386,23595,28582,24154,13233,13733,14763,15263,15763,16263,16793,17338,17838,18038,19138,19338,15338,15538,13738,14138,8338,8338,8438,8438,9138,9938,9938,11338,11338,12738,
负债合计(万元),28572,28355,28869,29638,31601,32752,38386,41477,60643,60502,60683,60957,25143,25236,28600,29307,34258,30125,19622,20132,20520,20982,21381,22207,22507,23036,23293,23604,24005,24183,20590,21364,18023,18671,15252,15706,15820,17698,17980,19849,20086,20469,20419,20576,
实收资本(或股本)(万元),42972,42972,42972,42972,42972,42972,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,32940,
资本公积(万元),13911,13911,13911,13911,13190,13190,23222,23222,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,--,
盈余公积(万元),982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,0,
未分配利润(万元),-56364,-55940,-55516,-55621,-55668,-55981,-56012,-56182,-63247,-62772,-62302,-61719,-18595,-18314,-17346,-16766,-17849,-17407,-17602,-17115,-15452,-15248,-14916,-14567,-15304,-15254,-15187,-14849,-16715,-16302,-15945,-15580,-14321,-13964,-13528,-13175,-13204,-13903,-13647,-13528,-13188,-12979,-12732,-13717,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
归属于母公司股东权益合计(万元),1501,1925,2349,2244,1475,1163,1132,962,-19293,-18818,-18348,-17766,25359,25640,26607,27188,26105,26546,26352,26839,28502,28706,29038,29386,28649,28700,28767,29105,27239,27652,28008,28374,29632,29990,30426,30778,30749,30051,30307,30426,30766,30975,31221,30236,
少数股东权益(万元),2,7,21,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,--,0,0,0,--,
所有者权益(或股东权益)合计(万元),1503,1932,2370,2282,1475,1163,1132,962,-19293,-18818,-18348,-17766,25359,25640,26607,27188,26105,26546,26352,26839,28502,28706,29038,29386,28649,28700,28767,29105,27239,27652,28008,28374,29632,29990,30426,30778,30749,30051,30307,30426,30766,30975,31221,30236,
负债和所有者权益(或股东权益)总计(万元),30075,30288,31239,31919,33076,33915,39518,42438,41350,41683,42335,43191,50502,50876,55208,56494,60363,56672,45974,46971,49022,49688,50419,51593,51157,51735,52060,52708,51244,51835,48598,49738,47655,48661,45678,46484,46569,47749,48286,50274,50852,51444,51640,50813,		
  
