报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
其他应付款(万元),--,1,--,0,8,--,8,--,114,284,14935,--,25069,25343,18503,17939,17702,17253,17028,16816,17234,18773,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
流动负债合计(万元),14,16,9,33,27,6,15,19,131,718,15023,116,33695,34284,29448,28884,28647,28478,28254,28042,28493,30031,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,48093,49571,48018,47367,46727,46075,45425,44774,44131,43471,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
非流动负债合计(万元),0,0,0,0,0,0,0,0,0,0,0,0,48093,49571,48018,47367,46727,46075,45425,44774,44131,43471,
负债合计(万元),14,16,9,33,27,6,15,19,131,718,15023,116,81788,83855,77466,76251,75374,74553,73678,72815,72624,73502,
实收资本(或股本)(万元),30687,30687,30687,30687,30687,30687,30687,30687,28569,28569,28569,28569,28569,38093,38093,38093,38093,38093,38093,38093,38093,38093,
资本公积(万元),38559,38559,38559,36559,36559,36559,36559,36559,38676,38676,38676,38676,28698,24717,22786,22786,22786,22786,22786,22786,22786,22786,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
盈余公积(万元),3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,3312,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
未分配利润(万元),-69142,-69126,-69146,-69117,-69163,-69251,-69185,-69156,-69348,-69363,-70075,-70226,-140122,-149530,-141325,-140421,-139544,-138727,-137834,-136953,-130826,-129259,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
归属于母公司股东权益合计(万元),3419,3433,3413,1442,1396,1307,1371,1402,1210,1195,483,332,-79543,-83408,-77134,-76231,-75354,-74537,-73643,-72763,-66635,-65069,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,256,227,129,131,--,--,--,--,--,--,--,0,
所有者权益(或股东权益)合计(万元),3419,3433,3413,1442,1396,1307,1371,1402,1210,1195,739,559,-79413,-83276,-77134,-76231,-75354,-74537,-73643,-72763,-66635,-65069,
负债和所有者权益(或股东权益)总计(万元),3433,3449,3422,1475,1423,1313,1386,1421,1341,1913,15762,675,2375,579,332,21,20,17,36,53,5989,8434,		
  
