报告日期,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
固定资产(万元),311189,289699,288619,281231,279689,274396,273534,274258,276595,272059,273284,272668,26817,28092,28897,29737,29007,
在建工程(万元),1058978,918964,841278,772130,723364,629589,556953,479677,467054,290779,385390,187714,1046,1388,1426,788,1099,
工程物资(万元),80443,105436,93700,89223,86795,72088,68474,40827,25939,48060,37531,40892,--,0,--,399,0,
固定资产清理(万元),--,--,0,--,0,--,0,--,--,49,-0,71,--,0,--,--,0,
生产性生物资产(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
公益性生物资产(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
油气资产(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
无形资产(万元),69950,68817,69396,67445,68656,69217,64439,64954,64883,65671,66058,66643,7315,7478,7517,7523,7559,
开发支出(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
商誉(万元),24380,26110,26110,26110,26110,27840,27840,27843,27843,27542,29146,27102,--,0,--,--,0,
长期待摊费用(万元),179,188,191,214,242,274,290,310,339,359,203,388,218,242,374,540,582,
股权分置流通权(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
递延所得税资产(万元),14981,14611,13926,14122,16523,21904,19554,15488,16057,6565,6155,6134,1442,0,--,--,1987,
其他非流动资产(万元),--,--,0,164,0,61,0,64,--,50,--,84,--,0,--,79,0,
非流动资产合计(万元),1571757,1435510,1344596,1262070,1212834,1106553,1024006,915871,890750,724254,809042,616163,48192,49347,48166,45663,49578,
资产总计(万元),2517567,2403998,2086899,2031983,2099196,1764924,1724799,1773221,1701661,1766750,1494690,1278642,77084,84143,84353,80799,87229,
短期借款(万元),36300,37700,40900,42312,56900,43200,49440,59760,60525,70925,45486,35418,48759,48992,50187,48717,48767,
向中央银行借款(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
吸收存款及同业存放(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
拆入资金(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
交易性金融负债(万元),--,--,0,--,0,--,0,0,0,0,--,--,--,0,--,--,0,
衍生金融负债(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应付票据(万元),229,729,500,--,0,--,385,785,920,1250,800,1250,850,900,1280,1300,900,
应付账款(万元),135181,127551,109225,98900,97229,108196,87687,58955,73561,50647,57410,38135,8881,9624,9038,7105,8404,
预收账款(万元),315731,282150,24861,29953,195520,29338,65507,72555,120820,215496,89231,84143,3633,4221,4449,3645,3014,
卖出回购金融资产款(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应付手续费及佣金(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应付职工薪酬(万元),11333,3757,4751,4373,10695,4474,4501,3992,3811,4847,5205,4785,1606,2167,2313,2186,2035,
应交税费(万元),36940,157,61705,97053,93946,71691,78409,91402,69411,72532,38106,42428,1567,1189,1257,1204,1234,
应付利息(万元),157,56918,157,168,157,180,177,197,196,1271,1264,1255,3605,687,660,565,727,
应付股利(万元),52622,57237,58554,27115,1531,2008,1437,1438,9393,18212,65036,1260,404,354,354,404,404,
其他应交款(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应付保证金(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
内部应付款(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
其他应付款(万元),84836,71653,61011,53305,67073,51185,58237,41360,52029,75153,81284,50126,9011,5342,5442,6055,7727,
预提费用(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
预计流动负债(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应付分保账款(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
保险合同准备金(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
代理买卖证券款(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
代理承销证券款(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
国际票证结算(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
国内票证结算(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
递延收益(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应付短期债券(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动负债(万元),69017,76427,106427,40000,62454,--,15354,300,22454,2500,3400,2500,500,0,--,--,1500,
其他流动负债(万元),--,--,0,1457,0,1789,178,--,--,--,--,--,--,1128,--,790,0,
流动负债合计(万元),742348,714279,468091,394636,585504,312061,361312,330744,413119,512832,387222,261300,78817,74604,74980,71970,74712,
长期借款(万元),472531,418704,414627,427168,374850,360140,320040,323140,315040,327420,310420,227385,--,0,--,1500,0,
应付债券(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
长期应付款(万元),38267,21207,20580,32006,25352,36713,23966,35328,28608,39909,39156,38403,--,0,--,--,0,
专项应付款(万元),19023,19127,19117,19083,19117,19470,19461,19199,20197,2198,1675,1848,1098,1104,1104,1089,1089,
预计非流动负债(万元),4097,4465,4465,4170,4170,1170,1170,600,600,684,684,684,684,78,84,84,84,
长期递延收益(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,79,79,83,83,--,0,--,--,--,10,70,70,0,--,--,0,
其他非流动负债(万元),7785,6050,4290,2390,2310,810,799,810,810,--,--,--,--,0,--,--,0,
非流动负债合计(万元),541703,469633,463159,484900,425881,418303,365436,379076,365255,370211,351946,268390,1853,1182,1188,2673,1173,
负债合计(万元),1284052,1183912,931250,879536,1011385,730364,726748,709821,778374,883043,739168,529691,80670,75787,76169,74644,75886,
实收资本(或股本)(万元),306762,306762,306762,306762,306762,306762,306762,306762,306762,306762,306762,306762,19815,19815,19815,19815,19815,
资本公积(万元),212735,212735,212735,212743,212735,213519,213519,205264,204642,216457,213005,215557,8960,10482,8862,5318,6925,
减:库存股(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
专项储备(万元),29283,29279,29874,27121,25740,25793,22642,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),42791,30460,30460,30460,30460,27693,27693,25366,23866,3169,3169,3169,3169,4939,4939,4939,3169,
一般风险准备(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
未确定的投资损失(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
未分配利润(万元),304871,310907,264902,283304,228351,198729,175587,189948,102630,104555,38233,-13897,-38591,-30623,-28469,-25449,-21826,
拟分配现金股利(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
外币报表折算差额(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
归属于母公司股东权益合计(万元),896442,890144,844733,860390,804049,772497,746204,727339,637900,630943,561168,511591,-6647,4613,5147,4625,8083,
少数股东权益(万元),337074,329942,310916,292057,283762,262063,251847,336061,285388,252764,194353,237360,3061,3743,3037,1531,3260,
所有者权益(或股东权益)合计(万元),1233516,1220086,1155649,1152447,1087811,1034561,998051,1063400,923287,883707,755522,748951,-3586,8356,8184,6156,11343,
负债和所有者权益(或股东权益)总计(万元),2517567,2403998,2086899,2031983,2099196,1764924,1724799,1773221,1701661,1766750,1494690,1278642,77084,84143,84353,80799,87229,		
  
