报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应付职工薪酬(万元),316,315,320,330,311,315,340,336,336,336,282,292,275,277,280,291,274,273,270,280,284,322,327,326,321,319,326,332,431,432,446,428,427,429,427,433,437,433,433,433,501,502,678,687,518,693,
应交税费(万元),557,472,500,358,322,359,456,392,359,428,330,281,356,375,348,415,368,286,518,487,474,480,407,437,483,644,626,626,626,879,770,770,770,770,770,789,740,742,753,745,600,674,644,656,628,671,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,73,0,0,501,464,428,391,356,322,283,541,1138,1043,355,857,
应付股利(万元),345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,347,347,347,347,347,347,349,349,353,355,355,355,355,355,355,355,355,355,355,--,0,--,0,0,--,--,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
其他应付款(万元),1827,1826,1973,1833,3661,3660,810,6514,7936,8834,1068,1330,1181,1469,438,434,254,289,307,260,253,283,253,811,1440,1427,1613,4173,4275,4237,12017,11614,11482,11271,7558,7414,8078,7457,7057,3997,2891,2355,1256,1373,1290,1351,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,2852,2852,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,355,355,355,355,355,355,1032,355,
流动负债合计(万元),5882,5078,5619,4571,6131,6045,7565,13287,10537,11125,2427,2862,2314,2655,2136,2006,1330,1405,1790,1409,1408,1482,1366,1946,4916,5066,5240,7817,8103,8418,16078,15730,13817,15322,14843,14686,15265,14583,14010,10881,9688,10376,12351,12226,11842,11966,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1057,1057,1187,1187,1000,1018,1018,1018,1000,1000,1000,1000,1000,1000,1000,1000,1000,9386,13915,13915,24000,24000,24000,24000,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,22,22,22,24,24,28,28,41,41,39,41,--,0,--,0,--,0,--,--,--,0,--,0,31,31,--,0,
其他非流动负债(万元),--,--,--,--,1426,1426,1426,1426,--,4278,--,--,--,--,--,1,1,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
非流动负债合计(万元),0,0,0,0,1426,1426,1426,1426,4278,4278,0,0,0,0,0,1,1,0,22,22,22,22,1081,1081,1214,1214,1041,1059,1057,1059,1000,1000,1000,1000,1000,1000,1000,1000,1000,9386,13915,13915,24031,24031,24000,24000,
负债合计(万元),5882,5078,5619,4571,7557,7471,8991,14713,14814,15403,2427,2862,2314,2655,2136,2007,1331,1405,1811,1430,1430,1504,2447,3027,6130,6280,6281,8876,9160,9477,17078,16730,14817,16322,15843,15686,16265,15583,15010,20267,23603,24291,36382,36257,35842,35966,
实收资本(或股本)(万元),17165,17165,17165,17165,17165,17165,17165,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,5722,5722,5722,5722,5722,5722,5722,5722,5722,
资本公积(万元),19499,19499,19499,19499,19499,19499,19653,299,299,299,299,299,299,299,1263,1263,1263,1263,1327,1327,1327,1327,1336,1336,1346,1346,1386,1386,1380,1386,1263,1263,1263,1263,1263,1263,1263,1906,1906,1906,1906,1906,1906,1906,1906,1906,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,838,931,931,838,838,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
未分配利润(万元),-2445,-1853,-1781,-3018,-3189,-3815,-5940,-6696,-6727,-6845,-7465,-7420,-6141,-6076,-6764,-6717,-6766,-6699,-7024,-7066,-7066,-7025,-7779,-8322,-11035,-10991,-10998,-13103,-13043,-12947,-17121,-16821,-16573,-16314,-15600,-15434,-14707,-14647,-13918,-19424,-22687,-23540,-33765,-33556,-31033,-33934,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
归属于母公司股东权益合计(万元),35057,35649,35721,34484,34314,33687,31716,806,775,657,37,81,1361,1426,1702,1749,1700,1767,1506,1465,1465,1505,760,217,-2486,-2442,-2409,-4514,-4460,-4359,-8656,-8355,-8108,-7849,-7135,-6969,-6241,-6181,-5453,-10958,-14221,-15074,-25206,-24997,-22567,-25468,
少数股东权益(万元),-35,-35,-35,-35,-35,-35,-38,-38,-238,-168,31,20,10,11,35,30,-24,-23,238,236,247,247,373,83,-7,-7,5,5,5,5,73,73,73,73,73,73,73,74,74,74,66,66,62,61,241,61,
所有者权益(或股东权益)合计(万元),35022,35613,35686,34448,34278,33651,31678,768,537,489,67,101,1371,1437,1737,1779,1676,1743,1744,1700,1712,1752,1133,300,-2493,-2450,-2404,-4509,-4455,-4353,-8583,-8282,-8035,-7776,-7062,-6896,-6168,-6107,-5378,-10884,-14155,-15008,-25144,-24936,-22326,-25407,
负债和所有者权益(或股东权益)总计(万元),40904,40691,41305,39019,41835,41122,40669,15480,15352,15891,2494,2963,3685,4092,3872,3786,3007,3148,3555,3131,3142,3256,3580,3328,3637,3830,3877,4367,4705,5123,8496,8448,6783,8546,8781,8791,10097,9476,9632,9383,9448,9283,11238,11321,13516,10559,		
  
