报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,
递延所得税资产(万元),142,142,127,142,190,74,74,190,--,21,--,21,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
其他非流动资产(万元),22078,22025,22112,22025,91,--,82,--,--,--,16,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
非流动资产合计(万元),148910,148905,149134,149071,149298,149061,151956,149015,149978,149734,148776,149850,0,0,0,0,12160,12194,12227,12261,12295,12329,12362,12396,12430,12463,12497,12531,12565,12598,12632,12666,12699,12733,12767,12801,12834,12868,12902,
资产总计(万元),235228,235414,240542,239644,235294,242142,236957,235819,228695,228939,229933,228011,2,2,2,2,12274,12308,12341,12375,12409,12442,12476,12510,12544,12577,12611,12645,12679,12712,12746,12779,12813,12843,12862,12881,12897,12900,12932,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,34932,34932,34932,34932,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,36,94,356,298,--,96,96,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
应付账款(万元),--,1498,10568,6320,2716,4572,4238,4361,6006,4820,4020,2594,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
预收账款(万元),54,49,86,115,136,5684,161,859,10,285,27,285,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
应付手续费及佣金(万元),1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
应付职工薪酬(万元),60,87,70,111,97,93,84,116,109,74,68,90,2,2,2,2,44,54,54,54,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,43,
应交税费(万元),954,1345,1884,2310,1443,1443,-412,2661,-1825,999,1896,1931,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,
应付利息(万元),--,1,1,27,18,28,15,23,2,--,--,--,64210,62703,62703,62703,72783,72783,71277,71277,69770,69770,68264,68264,66757,66757,65251,65251,63744,63744,62238,62238,60731,60731,59225,59225,57718,57718,56212,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
其他应付款(万元),7557,7240,2404,5853,7321,6973,7212,5627,4925,4199,6426,6043,25249,25239,25219,25209,20695,20671,20646,20625,20610,20587,20563,20547,20526,20506,20475,20461,20440,20414,20394,20379,20351,20342,20308,20274,20244,20186,20165,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,306,--,309,--,170,--,200,--,84,187,148,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
流动负债合计(万元),10218,10527,15012,15045,11732,18999,11394,14202,9525,10462,12719,11187,126359,124842,124823,124813,134287,134274,132743,132722,131185,131162,129632,129616,128088,128069,126530,126517,124989,124963,123437,123422,121887,121878,120338,120304,118767,118709,117186,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
长期应付款(万元),335,56,529,219,701,150,455,226,452,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,67852,69359,66696,66696,67499,67499,66342,66342,65186,65186,64029,64029,62873,62873,61716,61716,60560,60560,59404,59404,58247,58247,57091,57091,55934,55934,54778,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
非流动负债合计(万元),335,56,529,219,701,150,455,226,452,0,0,0,67852,69359,66696,66696,67499,67499,66342,66342,65186,65186,64029,64029,62873,62873,61716,61716,60560,60560,59404,59404,58247,58247,57091,57091,55934,55934,54778,
负债合计(万元),10553,10583,15542,15264,12433,19149,11849,14428,9977,10462,12719,11187,194211,194201,191518,191509,201786,201773,199086,199065,196371,196348,193661,193645,190961,190941,188247,188234,185549,185523,182841,182826,180134,180125,177429,177394,174701,174644,171964,
实收资本(或股本)(万元),159876,159876,159876,159876,159876,159876,159876,159876,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,15721,
资本公积(万元),105850,105850,105850,105850,105850,105850,108831,105850,250005,250005,250005,250005,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,16970,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
盈余公积(万元),351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
未分配利润(万元),-41402,-41246,-41077,-41697,-43217,-43084,-43949,-44686,-47358,-47599,-48863,-49253,-227251,-227240,-224558,-224548,-222554,-222507,-219786,-219731,-217004,-216947,-214227,-214177,-211459,-211406,-208678,-208631,-205912,-205853,-203137,-203088,-200363,-200324,-197609,-197555,-194846,-194786,-192074,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),224675,224831,225000,224380,222860,222993,225109,221391,218719,218478,217214,216824,-194209,-194198,-191516,-191506,-189512,-189465,-186744,-186690,-183962,-183905,-181185,-181135,-178418,-178364,-175636,-175589,-172870,-172811,-170095,-170046,-167322,-167282,-164567,-164513,-161804,-161744,-159032,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),224675,224831,225000,224380,222860,222993,225109,221391,218719,218478,217214,216824,-194209,-194198,-191516,-191506,-189512,-189465,-186744,-186690,-183962,-183905,-181185,-181135,-178418,-178364,-175636,-175589,-172870,-172811,-170095,-170046,-167322,-167282,-164567,-164513,-161804,-161744,-159032,
负债和所有者权益(或股东权益)总计(万元),235228,235414,240542,239644,235294,242142,236957,235819,228695,228939,229933,228011,2,2,2,2,12274,12308,12341,12375,12409,12442,12476,12510,12544,12577,12611,12645,12679,12712,12746,12779,12813,12843,12862,12881,12897,12900,12932,		
  
