报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),5461,5529,5598,5665,5736,5805,5873,5942,6014,6083,6152,6217,6292,6362,6432,6502,6576,6646,6740,6810,6912,7013,7108,7179,7274,7366,7500,7572,7823,7895,7965,8037,11534,11603,12090,12214,12295,12386,14588,14677,
资产总计(万元),27429,27457,27544,27702,27609,27730,27775,27908,27884,27946,28019,28123,28074,28134,28227,28331,28633,28719,28712,28767,27960,28097,28265,28489,28687,28636,28759,28826,28996,29181,29267,29304,33369,33491,33208,33290,33496,34116,35901,36055,
短期借款(万元),55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,55928,58423,58423,58423,58423,58423,58423,58423,58503,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,130,--,--,--,
应付账款(万元),1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1808,1810,1810,1810,1810,1810,1912,1795,1795,1795,1797,1797,1799,1799,1781,1781,1806,1812,1821,1822,2175,1941,
预收账款(万元),1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1211,1211,1211,1211,1169,1169,1169,1170,1748,1748,1219,1214,1201,1161,1318,1404,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),171,181,188,195,171,177,184,192,193,218,226,238,246,254,235,269,253,263,270,293,317,325,333,343,352,361,368,376,392,401,409,418,436,443,459,467,474,478,484,492,
应交税费(万元),1030,1034,1034,1036,1029,1035,1032,1038,1019,1025,1034,1039,1034,1034,1034,1033,1033,1033,1033,1033,462,462,462,462,462,462,462,462,462,462,462,462,462,466,463,464,464,466,465,465,
应付利息(万元),93503,92083,90663,89243,87824,86404,84984,83564,82145,80725,79305,77885,76466,75046,73626,72206,70787,69367,67947,66527,65108,63688,62268,60848,59429,58009,56589,55169,53750,52330,50910,49490,49031,47611,43352,41932,40512,--,37421,36248,
应付股利(万元),149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,--,149,149,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),5795,5764,5809,5824,5800,5815,5793,5799,5797,5795,5797,5798,5701,5686,5677,5682,5943,5915,5884,5801,5476,5442,5602,5745,5627,5628,5621,5614,5636,5637,5631,5607,5509,5501,5405,5393,5344,5504,5910,5717,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1700,1700,1700,1700,1700,--,1700,1700,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),159498,158061,156694,155298,153822,152429,150993,149592,148153,146762,145360,143959,142445,141019,139570,138190,137015,135577,134133,132656,130364,128918,127665,126400,125069,123542,122122,120704,119283,117873,116562,115023,119239,117823,112976,111554,110219,0,108044,106620,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,14010,14010,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,304,304,
非流动负债合计(万元),13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,13817,0,14314,14314,
负债合计(万元),173315,171878,170510,169115,167639,166246,164810,163409,161970,160579,159177,157776,156262,154836,153387,152007,150832,149394,147950,146473,144180,142735,141482,140216,138886,137359,135939,134521,133100,131690,130379,128840,133056,131640,126793,125371,27634,0,122358,120933,
实收资本(或股本)(万元),29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,29090,
资本公积(万元),7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,7316,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),-185130,-183665,-182210,-180656,-179279,-177765,-176284,-174750,-173336,-171883,-170408,-168907,-167442,-165955,-164418,-162934,-161457,-159933,-158496,-156965,-155477,-153893,-152473,-150983,-149456,-147981,-146437,-144953,-143363,-141770,-140269,-138801,-138962,-137433,-132903,-131392,-129862,-128393,-125963,-124390,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),-145877,-144412,-142957,-141404,-140026,-138512,-137031,-135497,-134083,-132630,-131155,-129654,-128189,-126702,-125165,-123681,-122204,-120680,-119243,-117712,-116224,-114640,-113220,-111730,-110203,-108728,-107184,-105700,-104110,-102517,-101016,-99548,-99709,-98180,-93650,-92139,-90609,-89140,-86710,-85137,
少数股东权益(万元),-9,-9,-9,-9,-4,-4,-4,-3,-3,-3,-3,0,0,1,5,5,6,6,6,6,3,3,3,3,4,4,4,6,6,8,9,12,22,32,64,59,69,87,253,259,
所有者权益(或股东权益)合计(万元),-145886,-144421,-142966,-141413,-140030,-138516,-137035,-135500,-134086,-132633,-131158,-129653,-128188,-126702,-125160,-123675,-122199,-120675,-119238,-117706,-116221,-114637,-113217,-111727,-110199,-108723,-107180,-105695,-104104,-102509,-101006,-99536,-99687,-98148,-93585,-92081,-90540,-89053,-86457,-84878,
负债和所有者权益(或股东权益)总计(万元),27429,27457,27544,27702,27609,27730,27775,27908,27884,27946,28019,28123,28074,28134,28227,28331,28633,28719,28712,28767,27960,28097,28265,28489,28687,28636,28759,28826,28996,29181,29267,29304,33369,33491,33208,33290,33496,34116,35901,36055,		
  
