报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,--,--,0,0,0,0,--,--,--,--,--,0,0,0,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,31,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,--,--,0,0,0,0,--,--,--,--,--,0,0,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,170,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,0,--,--,
其他应收款(万元),--,4784,--,8252,5470,5591,6158,5977,6648,8979,9154,9620,8430,10296,12744,295,683,833,503,271,18,20,35,16,30,38,29,6,26,30,18,15,75,53,37,37,76,39,39,37,108,67,66,91,99,85,110,109,860,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
存货(万元),40742,48343,51947,49498,29904,27928,34457,40950,68681,65084,60201,67736,65152,63819,63715,547,549,492,475,453,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
其他流动资产(万元),2925,2904,3272,3469,2498,2570,2292,3241,1453,1175,1006,896,4,--,11,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
流动资产合计(万元),120570,126818,117049,130530,92681,99339,98153,122235,98822,102982,92439,114179,98082,99552,99458,10270,9341,8788,1164,1188,1447,1448,1492,1484,1514,1478,1479,1486,1487,1492,1470,1454,1701,1654,1640,1579,1557,1513,1494,1454,1546,1504,1502,1514,1613,1601,1624,1624,2465,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
可供出售金融资产(万元),--,--,77,77,77,77,77,77,2231,231,231,231,231,231,231,231,15060,16830,10,10,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
长期应收款(万元),31257,37281,41615,49026,50416,47877,47005,57818,60923,59041,51036,47585,37409,34623,33039,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27919,--,--,--,--,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9923,9923,--,--,--,--,0,0,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25484,--,25484,--,25484,--,25484,--,25482,--,25482,--,25482,--,25482,--,25482,--,25482,--,25482,--,25482,--,25482,--,25482,26365,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9903,--,9649,--,9391,--,9137,--,8879,--,8625,--,8354,--,8098,--,7820,--,7564,--,7285,--,7028,--,6741,--,6484,6255,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15581,--,15834,--,16093,--,16346,--,16603,--,16857,--,17128,--,17384,--,17662,--,17918,--,18197,--,18454,--,18742,--,18998,20110,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,639,--,639,--,639,--,639,--,632,--,632,--,632,--,632,--,632,--,632,--,632,--,632,--,632,--,632,697,
固定资产(万元),--,4853,--,4802,4794,4898,4765,4870,5040,5113,5224,5362,5658,5723,5880,57,58,58,78,78,14815,14942,15068,15195,15327,15453,15580,15707,15844,15971,16098,16225,16357,16496,16624,16752,16902,17030,17158,17286,17437,17565,17694,17822,17981,18109,18234,18366,19414,
在建工程(万元),--,--,--,--,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,--,--,--,0,--,--,0,--,--,--,--,--,0,0,0,--,--,
无形资产(万元),17,18,19,19,16,17,17,18,19,16,18,15,15,14,15,--,--,--,--,--,998,1003,1007,1012,1016,1021,1026,1030,1035,1039,1044,1049,1072,1077,1081,1086,1110,1114,1119,1124,1147,1152,1156,1161,1185,1189,1194,1198,1236,
开发支出(万元),--,--,--,--,130,60,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
长期待摊费用(万元),1645,1661,1690,1548,1548,1464,1479,1495,1285,1296,1322,1324,1283,1176,1093,76,1,2,2,2,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1870,1780,1657,1808,1684,1593,1777,1953,857,900,883,870,581,581,768,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
其他非流动资产(万元),--,--,2000,2000,2000,2000,2000,2000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
非流动资产合计(万元),41818,47850,51941,59407,60698,57985,57138,68230,70355,66598,58713,55387,45177,42348,41026,28282,15119,16890,10012,10013,15823,15954,16086,16217,16353,16484,16616,16747,16889,17020,17152,17284,17440,17582,17715,17848,18021,18154,18287,18420,18594,18727,18860,18993,19175,19308,19437,19575,20660,
资产总计(万元),162388,174668,168989,189937,153379,157324,155290,190465,169177,169580,151152,169566,143259,141900,140483,38552,24460,25678,11176,11202,17270,17403,17578,17701,17867,17963,18095,18233,18376,18513,18622,18737,19140,19236,19356,19427,19578,19667,19781,19873,20140,20231,20362,20507,20788,20910,21061,21198,23125,
短期借款(万元),29500,35000,33600,37000,37000,32400,25400,32865,37495,30990,24990,23990,23052,21162,20238,--,--,--,11616,11616,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,20465,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),1493,1915,1765,262,804,5540,8684,6366,7452,8167,6179,4872,3058,4969,6374,--,--,--,0,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
应付账款(万元),27975,34153,27796,47426,21050,22391,22433,50737,32383,37727,31604,50963,34788,35455,28708,75,8,8,1881,1880,2106,2106,2106,2106,2106,2106,2106,2106,2106,2106,2106,2106,2106,2106,2106,2106,2106,2107,2108,2108,2115,2115,2115,2120,2117,2120,2120,2120,2179,
预收账款(万元),1275,1054,1409,1107,61,703,1292,1290,145,464,3,3,--,--,6488,--,--,--,6,6,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),883,840,743,1186,944,609,493,816,474,629,373,698,388,361,275,119,85,81,111,111,204,204,204,207,212,212,212,212,212,212,212,214,216,216,216,222,216,216,216,217,216,216,216,216,213,213,213,213,386,
应交税费(万元),1055,1910,4017,4041,1158,1222,4394,5362,3290,3833,2523,4997,3355,3243,5389,17,2,8,698,726,4449,4448,4444,4444,4452,4449,4462,4443,4467,4469,4474,4467,4478,4486,4496,4481,4482,4483,4485,4488,5383,5404,5454,5456,5463,5465,5442,5435,5389,
应付利息(万元),39,47,--,--,--,45,38,49,49,40,37,31,28,28,34,--,--,--,24267,24267,16959,16744,16528,16312,16096,15881,15665,15449,15209,14994,14778,14562,14170,13954,13738,13522,13130,12914,12698,12483,12090,11874,11659,11443,11051,10835,10619,10403,9363,
应付股利(万元),227,227,--,--,--,76,76,76,144,144,--,--,--,--,170,--,--,--,120,120,120,120,120,120,120,120,--,120,120,--,0,120,120,--,--,120,120,0,0,120,120,120,120,120,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,--,--,--,1600,1438,1391,1404,1402,1522,1616,1859,1827,1768,1378,529,25,14,27486,27397,9758,9697,9750,9699,9700,9598,9597,9596,9596,9597,9597,9596,9794,9746,9746,9745,9728,9728,9726,9724,9750,9708,9703,9730,9694,9739,9741,9701,10651,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
其他流动负债(万元),885,604,574,569,105,199,384,915,1906,1644,900,857,--,--,--,--,--,--,0,--,--,--,--,--,--,--,120,--,--,120,120,--,--,120,120,0,--,120,120,--,--,--,--,--,120,120,120,120,120,
流动负债合计(万元),63921,76362,70715,92491,62722,64622,64586,99881,84741,85159,68225,88270,66496,66986,69055,739,120,111,66186,66124,54603,54324,54158,53894,53692,53371,53168,52933,52717,52505,52293,52071,51890,51634,51428,51202,50788,50574,50359,50144,50682,50444,50273,50092,49663,49498,49261,48998,49094,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
预计非流动负债(万元),8,8,8,8,8,8,24,24,--,--,--,--,--,--,--,--,--,--,13804,13804,14438,14438,14438,14438,14438,14438,14438,14438,14350,14350,14350,14350,14350,14350,14350,14350,14350,14350,14350,14350,14350,14350,14350,14350,14350,14350,14350,14350,14350,
长期递延收益(万元),--,--,--,--,5,5,5,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),13,3,10,1,10,10,10,10,10,10,10,10,31,31,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
非流动负债合计(万元),20,11,18,9,23,23,39,39,10,10,10,10,31,31,0,0,0,0,13804,13804,14618,14618,14618,14618,14618,14618,14618,14618,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,14530,
负债合计(万元),63942,76373,70733,92500,62745,64645,64625,99920,84751,85169,68235,88280,66527,67017,69055,739,120,111,79990,79927,69221,68942,68776,68513,68310,67989,67787,67551,67247,67035,66823,66601,66420,66164,65958,65732,65318,65104,64889,64674,65212,64974,64803,64622,64193,64028,63791,63528,63624,
实收资本(或股本)(万元),19783,19783,19783,19783,19783,19783,19783,19783,19783,19783,19783,19783,19954,19954,70000,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,24886,
资本公积(万元),22889,22889,22889,22889,22889,22889,22889,22889,22889,22889,22889,22889,22718,22718,5382,45131,32041,32041,3702,3702,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),6449,6449,6483,6483,5794,5794,5479,5479,4195,4195,4182,4195,3045,3045,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),49318,49167,49102,48283,42169,44213,42515,42395,37560,37545,36063,34420,31015,29167,-6824,-35075,-35458,-34232,-100191,-100104,-80225,-79814,-79472,-79086,-78718,-78302,-77967,-77593,-77158,-76809,-76489,-76151,-75651,-75310,-74984,-74687,-77286,-76984,-76655,-76349,-76623,-76295,-75993,-75667,-74982,-74696,-74308,-73908,-72078,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,--,0,0,--,--,--,--,--,0,0,0,--,--,
归属于母公司股东权益合计(万元),98446,98295,98257,97437,90634,92679,90665,90546,84426,84411,82917,81286,76732,74883,71429,37813,24340,25567,-68732,-68644,-48709,-48298,-47956,-47570,-47202,-46786,-46451,-46077,-45642,-45293,-44973,-44635,-44135,-43794,-43468,-43171,-45770,-45468,-45139,-44833,-45107,-44779,-44477,-44151,-43466,-43180,-42792,-42392,-40562,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-82,-82,-3243,-3242,-3242,-3241,-3241,-3241,-3241,-3241,-3229,-3229,-3229,-3229,-3135,-3135,-3134,-3134,31,31,31,31,36,36,36,36,61,62,62,63,64,
所有者权益(或股东权益)合计(万元),98446,98295,98257,97437,90634,92679,90665,90546,84426,84411,82917,81286,76732,74883,71429,37813,24340,25567,-68813,-68726,-51952,-51540,-51198,-50812,-50443,-50027,-49691,-49318,-48872,-48522,-48202,-47864,-47270,-46928,-46602,-46305,-45740,-45437,-45108,-44801,-45072,-44743,-44442,-44115,-43404,-43118,-42730,-42330,-40499,
负债和所有者权益(或股东权益)总计(万元),162388,174668,168989,189937,153379,157324,155290,190465,169177,169580,151152,169566,143259,141900,140483,38552,24460,25678,11176,11202,17270,17403,17578,17701,17867,17963,18095,18233,18376,18513,18622,18737,19150,19236,19356,19427,19578,19667,19781,19873,20140,20231,20362,20507,20788,20910,21061,21198,23125,		
  
