报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
流动负债合计(万元),493970,562095,463866,464175,417511,537669,420309,402358,144813,125309,157434,131655,132273,114223,114362,127328,136685,154970,82788,87406,110778,174859,166109,296106,278330,280099,61351,234813,242817,194752,171969,183273,180073,186777,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,10180,10180,15680,15680,16180,14680,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应付债券(万元),99346,99272,99974,99972,--,--,69902,69846,199725,199542,199356,199169,198985,198801,198627,198458,198286,128776,130000,130000,--,0,--,0,0,0,200000,--,0,--,--,--,--,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
长期递延收益(万元),1484,1550,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),75060,53745,21098,18318,25721,31840,36135,25757,32041,33606,30672,31846,29803,24712,34793,39512,43699,41281,31754,30075,54124,51079,31526,35788,26731,11672,24380,25753,13022,16779,11746,8458,--,4960,
其他非流动负债(万元),--,--,1758,1487,1543,1599,2014,1501,1505,1571,1518,1636,1580,1591,1107,1413,1363,1360,496,77,127,93,--,0,0,0,--,--,0,--,--,--,--,0,
非流动负债合计(万元),175890,154567,122830,119777,27265,33439,108051,97104,233270,234719,231545,232651,240549,235284,250207,255062,259529,186098,162250,160152,54251,51172,31526,35788,26731,11672,224380,25753,13022,16779,11746,8458,0,4960,
负债合计(万元),669860,716662,586695,583951,444776,571108,528360,499461,378083,360028,388979,364306,372822,349506,364570,382390,396214,341068,245038,247558,165029,226030,197635,331894,305060,291771,285730,260566,255839,211531,183715,191730,180073,191737,
实收资本(或股本)(万元),318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,318633,199146,199146,199146,192648,192648,192648,192648,
资本公积(万元),86582,86582,108635,170565,196632,210592,223080,191989,218479,217831,216903,221109,211427,198112,227158,246915,268645,258875,227975,222618,298645,309524,236825,252096,219811,169675,238655,238554,179705,198313,116797,102908,54946,51424,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),89808,89808,75458,75458,75450,75458,71512,71551,71551,71551,66442,66442,66446,66489,62392,62392,62392,62392,57062,57062,57062,57062,52480,52480,52480,52480,48677,48677,48677,48677,46862,46869,78885,42804,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
未分配利润(万元),277378,250679,233592,218630,174330,157884,131547,180388,164860,150844,138028,166952,151619,139477,131655,154574,138934,129924,112895,100009,112034,103052,98406,86263,70754,62215,53331,163586,146654,138929,84138,67922,21189,81200,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
归属于母公司股东权益合计(万元),999267,910291,806585,783286,765046,762567,744773,762560,773523,758859,740007,773137,748126,722711,739839,782515,788605,769825,716566,698323,786374,788271,706345,709473,661679,603004,659297,649963,574182,585066,440445,410347,347667,368076,
少数股东权益(万元),142553,135634,89830,88988,88044,87017,88091,88494,90198,89368,107478,106879,108395,106231,107319,140174,131162,137826,144342,144456,144331,142873,141773,129706,133181,129645,128476,119263,78806,67949,71407,70473,68734,68182,
所有者权益(或股东权益)合计(万元),1141821,1045925,896415,872273,853090,849584,832864,851054,863722,848226,847486,880016,856521,828942,847158,922689,919767,907651,860908,842779,930705,931144,848118,839179,794860,732649,787772,769226,652988,653015,511851,480820,416401,436258,
负债和所有者权益(或股东权益)总计(万元),1811681,1762587,1483110,1456225,1297866,1420692,1361224,1350515,1241804,1208255,1236465,1244322,1229342,1178448,1211728,1305080,1315981,1248719,1105946,1090337,1095734,1157174,1045753,1171073,1099920,1024420,1073502,1029792,908827,864546,695566,672550,596474,627995,		
  
