报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,1,--,1,61,59,59,59,145,151,145,145,169,169,246,280,3071,2883,2715,3066,3165,3177,2781,3087,2395,2836,4845,4006,4981,5108,4845,5059,1235,6283,6096,5782,7209,6308,6407,6534,6622,7292,8434,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),--,--,--,--,--,--,--,--,154,154,154,154,154,154,154,154,2882,2966,3145,2898,2909,3090,3201,2961,3512,3203,2952,3621,2817,2966,2952,2957,2973,3829,2985,3206,3508,6063,7224,9601,9938,9134,9278,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,42,--,--,--,156,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),1,6,96,251,340,348,383,1753,300,306,357,380,430,349,400,437,6081,6046,6096,6072,6328,6605,6250,6371,6270,6454,9806,8180,9787,9215,9806,9011,6220,11079,10539,10245,11751,13718,15892,18220,19273,19020,20436,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1200,1200,3108,3108,3108,3108,76,76,76,76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3000,3000,3000,3000,3128,3128,3128,3128,3128,3128,3128,3000,3000,3000,3000,3000,3000,3000,3000,3128,3128,3128,3128,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51223,--,51491,--,51458,--,51458,--,51486,--,51348,--,51812,--,52159,--,157744,--,157213,--,157160,--,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32961,--,32280,--,31494,--,30822,--,30007,--,29119,--,28343,--,27789,--,86185,--,83961,--,81033,--,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18262,--,19211,--,19964,--,20636,--,21480,--,22229,--,23469,--,24369,--,71559,--,73253,--,76127,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9550,--,9550,--,9550,--,9550,--,9550,--,9550,--,9550,--,9550,--,24915,--,24918,--,24918,--,
固定资产(万元),--,--,--,--,--,--,--,--,366,366,366,366,366,366,366,366,6565,6906,7261,7643,8363,8712,9270,9661,10054,10414,12344,11086,11594,11929,12344,12679,12932,13919,14394,14819,44733,46644,46945,48335,49574,51209,52833,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,2,2,2,68,937,671,409,278,214,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,153,154,155,156,157,158,159,160,161,162,165,164,165,166,165,165,166,167,168,169,4155,4822,4859,4887,5226,5256,5286,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,13,13,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),0,1,1,0,0,0,0,0,366,366,366,366,366,366,1566,1566,9826,10168,10524,10907,11609,11959,12518,12910,13342,13703,15636,14377,14886,15223,15636,15844,16101,17088,17565,17991,51890,54533,55741,57020,58337,59870,61461,
资产总计(万元),2,7,97,251,340,348,383,1753,665,671,722,746,796,715,1966,2003,15907,16214,16620,16979,17937,18564,18767,19281,19612,20156,25443,22557,24673,24438,25443,24855,22322,28167,28104,28236,63640,68251,71633,75240,77609,78890,81897,
短期借款(万元),--,--,--,--,--,--,--,--,10870,10870,10870,10870,10870,10870,10870,10870,13378,13378,13378,13378,13378,13378,13378,13378,17667,17667,17692,17692,17692,17692,17692,17692,17692,20227,20227,20227,20227,20227,20227,20236,21159,21367,21385,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),--,--,--,--,--,--,--,--,120,120,172,172,172,172,172,172,172,172,172,172,172,225,225,253,200,172,2921,450,3144,1891,2921,2341,3308,5498,4786,4361,4404,4594,4740,4967,4730,6850,6934,
预收账款(万元),--,--,--,--,--,--,--,--,98,98,98,98,98,98,98,98,98,98,98,98,98,148,98,98,98,112,117,595,108,400,117,265,128,153,98,98,139,778,1650,2304,2394,1237,1592,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),3,2,2,2,1,1,3,2,2079,2079,2079,2079,2081,2084,2102,2090,2083,2088,2091,2095,2102,2104,2102,2108,2111,2113,2129,2118,2126,2127,2129,2133,2140,2151,2151,2162,2191,2172,2331,2404,2385,2299,2296,
应交税费(万元),0,0,0,--,0,0,0,8,3247,3247,3246,3247,3245,3243,3244,3244,2933,2924,2885,2923,2885,2830,2803,2671,1503,1552,1487,1608,1310,1474,1487,1433,1151,1176,1473,1580,1486,1163,1077,980,1240,1494,1390,
应付利息(万元),--,--,--,--,--,--,--,--,15631,15631,15631,15631,15491,15159,14831,14503,14529,14104,13683,13268,12845,12419,11999,11583,14249,13655,10570,12443,11817,11192,10570,9955,9479,8854,8135,7425,6954,5906,5214,4572,2983,2314,2014,
应付股利(万元),--,--,--,--,--,--,--,--,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,--,--,45326,45494,45494,45494,46844,16431,16413,16390,16390,16414,16304,17169,17169,19849,19799,19881,19764,20229,20387,20474,20461,13165,13209,12264,11453,12236,12514,12264,11171,10162,6472,6452,6362,6553,8305,8142,8985,7831,6236,6831,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,0,--,--,--,0,--,--,--,0,--,--,--,20,20,--,--,--,
流动负债合计(万元),45156,45154,45230,45328,45495,45495,45497,46854,48801,48782,48810,48811,48694,48255,48811,48470,53367,52887,52513,52021,52032,51816,51403,50877,49318,48804,47505,46684,48757,47614,47505,45315,44384,44855,43646,42539,42278,43469,43724,44792,43046,42122,42766,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,26200,26200,26600,26600,26900,26900,27200,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,26200,26200,26600,26600,26900,26900,27200,
负债合计(万元),45156,45154,45230,45328,45495,45495,45497,46854,48801,48782,48810,48811,48694,48255,48811,48470,53367,52887,52513,52021,52032,51816,51403,50877,49318,48804,49705,48884,50957,49814,49705,47515,46584,47055,45846,44739,68478,69669,70324,71392,69946,69022,69966,
实收资本(或股本)(万元),35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,35207,
资本公积(万元),14605,14605,14605,14605,14437,14437,14437,14437,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,12165,12165,12165,12165,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,12194,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),-97917,-97910,-97897,-97841,-97751,-97743,-97710,-97696,-94716,-94692,-94669,-94646,-94481,-94122,-93428,-93050,-84327,-83547,-82772,-81933,-80981,-80150,-79540,-78508,-76669,-75622,-71241,-73309,-73265,-72348,-71241,-69733,-71319,-66000,-64871,-63634,-52073,-48955,-46383,-44024,-40443,-38353,-36285,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),-45154,-45147,-45133,-45077,-45155,-45147,-45114,-45100,-44363,-44339,-44316,-44293,-44128,-43769,-43074,-42697,-33988,-33208,-32434,-31595,-30656,-29825,-29216,-28184,-26316,-25269,-20888,-22956,-22912,-21995,-20888,-19380,-20966,-15647,-14518,-13281,-1720,1398,3970,6329,9910,12000,14068,
少数股东权益(万元),--,--,--,--,--,--,--,--,-3772,-3772,-3772,-3772,-3770,-3770,-3770,-3770,-3472,-3464,-3459,-3447,-3439,-3427,-3420,-3412,-3390,-3378,-3375,-3370,-3373,-3381,-3375,-3280,-3297,-3240,-3224,-3222,-3118,-2816,-2661,-2481,-2246,-2133,-2136,
所有者权益(或股东权益)合计(万元),-45154,-45147,-45133,-45077,-45155,-45147,-45114,-45100,-48135,-48111,-48088,-48065,-47898,-47539,-46845,-46467,-37460,-36672,-35893,-35042,-34095,-33253,-32635,-31596,-29706,-28647,-24263,-26326,-26284,-25376,-24263,-22660,-24262,-18887,-17743,-16504,-4837,-1418,1309,3848,7663,9868,11931,
负债和所有者权益(或股东权益)总计(万元),2,7,97,251,340,348,383,1753,665,671,722,746,796,715,1966,2003,15907,16214,16620,16979,17937,18564,18767,19281,19612,20156,25443,22557,24673,24438,25443,24855,22322,28167,28104,28236,63640,68251,71633,75240,77609,78890,81897,		
  
