报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,579,--,643,959,848,820,691,19059,30420,31405,27203,27796,29004,28446,28969,3251,4202,7015,17255,6642,14140,20572,14533,1545,745,1114,908,4824,2983,4108,2538,2044,1986,1572,8386,8833,5045,5032,5010,5023,7183,4794,4485,1713,1608,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
存货(万元),138,138,135,136,359,4683,3375,897,1789,4363,1624,1393,3844,2958,1285,919,43881,44291,47372,41922,52122,66823,62789,64861,74253,67132,61394,47384,62473,48296,37037,31295,40005,29718,23790,18048,15935,19189,13248,2034,1983,1981,3829,3737,8083,4978,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),22988,16905,10617,7270,5051,4141,1964,1474,119,--,--,--,--,--,--,--,473,531,627,294,--,--,1244,1078,--,--,--,--,--,--,--,--,-3,--,0,0,--,--,--,--,--,--,7,0,--,--,
流动资产合计(万元),270212,332547,177963,154541,180808,187518,197669,202430,75954,70892,77030,68297,73190,72679,70014,70766,85377,81960,99795,83316,87192,100983,97820,89099,130980,90428,93950,65698,88185,60762,50918,69117,60659,48308,39820,39546,36063,31725,24813,10756,10827,10653,16812,16732,17732,10138,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,70,70,70,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1459,1459,1468,1468,1488,1488,1488,1488,1478,1478,1478,1478,1347,1347,1347,1347,1520,1520,1520,1520,1519,1600,1519,1600,1545,1545,1545,1545,1670,230,70,948,948,948,948,814,814,832,814,969,969,1090,3132,3337,3339,3388,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,61550,--,60961,--,45082,--,44116,--,44017,43799,--,44709,--,44579,0,44143,--,44353,--,44235,--,--,50293,--,50191,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27794,--,26737,--,27732,--,27150,--,26646,25885,--,26507,--,25759,0,24991,--,24374,--,23584,--,--,21814,--,20701,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33756,--,34224,--,17350,--,16966,--,17370,17914,--,18202,--,18820,0,19152,--,19978,--,20651,--,--,28480,--,29490,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1551,--,1551,--,1650,--,1650,--,1650,1650,--,1722,--,1722,0,1722,--,1810,--,1810,--,--,4690,--,4690,
固定资产(万元),--,15322,--,15738,15173,15419,15351,15928,23036,24214,24661,24878,30859,31403,30741,31137,31796,32277,32811,32587,32127,32205,32641,32674,15871,15700,15487,15315,15582,15720,16263,16357,16480,16781,17098,17092,17430,17776,18168,18325,18841,19306,23372,23790,24307,24800,
在建工程(万元),--,88008,--,42606,29515,22460,9474,192,380,10,10,10,4787,4622,5864,6000,374,340,304,304,985,972,962,954,13418,10365,6830,5200,112,189,130,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,13628,6506,2669,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,152,220,84,272,111,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),62481,62704,62912,63147,63140,55912,47936,44203,18400,10328,10404,10480,10576,10652,10728,10804,10880,10956,11033,11109,11185,11261,11343,11413,12085,12257,12327,12396,10887,10959,11103,11175,11247,11320,11392,11464,11537,11610,11684,11769,11855,11941,12500,12597,12694,12791,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
商誉(万元),19289,19289,19289,19289,19289,19289,19289,19289,8484,--,--,--,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,1,3,5,6,--,--,--,--,11,42,74,105,137,168,197,231,263,295,324,354,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,11,6,4,9,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1503,1812,3453,3453,2832,2832,2832,2832,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,17,17,17,17,
其他非流动资产(万元),232858,150082,62,64,66,68,70,72,--,--,--,--,170,170,170,170,--,--,--,1422,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),493952,338676,186043,159393,138010,120140,96445,84010,51778,36031,36554,36846,47812,48300,48987,49626,44839,45395,45997,47306,46142,46396,46852,47210,43202,40016,36525,34632,28251,27098,27567,28480,28675,29048,29437,29370,29781,30219,30666,31064,31665,32337,39031,39747,40361,41005,
资产总计(万元),764163,671223,364007,313934,318818,307657,294114,286440,127732,106923,113584,105144,121002,120979,119000,120393,130216,127355,145792,130622,133334,147379,144671,136309,174182,130444,130476,100330,116436,87861,78484,97596,89335,77356,69257,68916,65844,61944,55479,41820,42492,42990,55844,56479,58094,51143,
短期借款(万元),45000,45000,45000,53100,45000,55000,55000,50000,30000,--,15000,15000,15000,20000,20000,24000,24000,24000,23300,29400,34036,34436,39500,39500,37400,34200,38500,28700,24800,26100,20000,15000,5000,--,0,0,--,--,--,--,--,--,5320,5320,6000,2000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,3000,--,3000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2000,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),--,14806,--,8561,6423,16362,15319,15235,9700,9763,12577,12062,12458,13545,15935,17079,11914,13544,13763,16885,16529,29465,29691,26887,23521,8302,14407,8635,15701,6687,9874,16163,20569,17329,14836,12340,8911,4922,5056,2995,2912,2945,2496,2401,4337,2647,
预收账款(万元),54111,34739,30102,5609,7132,6191,8039,7326,5259,8497,7726,1630,1682,1959,1843,1463,12072,7030,19028,10863,14718,20002,10004,6812,58841,34624,27983,12800,35638,13215,3558,5596,5166,14956,10182,19619,20295,12094,4907,3345,3421,3157,5070,5150,4271,6652,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1037,1080,1061,1314,1152,1153,1157,1308,3155,3610,6246,19844,4121,4009,3988,4465,4213,4101,3974,3796,3772,3808,3765,3792,3680,3723,4132,4426,4329,4372,4638,4633,4511,4589,4674,4487,4706,5045,4879,3007,3055,3073,2532,2496,2084,575,
应交税费(万元),8101,8106,8280,8485,8723,8494,9122,9488,9637,8988,9079,28582,30829,31121,31171,31134,14543,13519,11841,9932,9669,9943,9394,9892,7514,7543,6073,6575,6635,5802,8504,13611,14565,15945,16856,16405,17299,14775,15007,16624,16591,16535,16362,16371,15558,15481,
应付利息(万元),--,17076,--,7105,2450,13337,8960,4608,10027,8903,7337,5875,3366,1682,862,148,--,--,--,113,--,--,--,87,--,--,--,--,179,179,197,179,179,179,179,179,179,179,179,179,179,179,114,11,39,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,50079,--,30588,65043,22759,13883,16207,51514,80727,102471,66492,53516,44333,37842,27984,22323,19073,27482,18454,28846,23307,24715,21318,20051,19989,19662,20614,20433,18948,17456,37258,33772,18904,17694,11225,10511,19811,21965,8702,8467,8121,8830,7907,11252,9974,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,46000,25650,31300,31300,--,600,1200,1200,--,600,1200,1200,--,400,400,750,--,--,--,--,--,--,--,--,--,--,0,0,--,5,--,--,--,5,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,81,81,--,76,76,--,0,19,19,30,--,27,27,14,60,42,500,--,
流动负债合计(万元),237635,173887,162870,117763,135923,123297,111481,104172,165293,146138,191736,180784,120973,117249,112842,107472,89065,81866,100587,90644,107571,121361,117470,109039,151006,108380,110757,83750,107796,75384,64227,92516,83837,71903,64421,64275,61920,56862,51993,34879,34652,34028,40784,39697,44041,37329,
长期借款(万元),314500,314750,14750,15000,--,--,--,--,4550,4550,4550,4550,35850,35850,35850,35850,37050,37050,37050,32050,8250,8250,8250,8250,9000,7050,4450,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,228200,228200,228200,228200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,3,3,3,3,3,3,3,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),570166,542950,242950,243200,228200,228200,228200,228200,4550,4550,4550,4550,35850,35850,35850,35850,37050,37050,37050,32050,8250,8250,8250,8250,9000,7050,4450,0,0,0,0,0,0,--,0,3,3,3,3,3,3,3,--,--,--,--,
负债合计(万元),807800,716837,405820,360963,364123,351497,339681,332372,169843,150688,196286,185334,156823,153099,148692,143322,126115,118916,137637,122694,115821,129611,125720,117289,160006,115430,115207,83750,107796,75384,64227,92516,83837,71903,64421,64278,61924,56865,51997,34882,34656,34032,40784,39697,44041,37329,
实收资本(或股本)(万元),64801,64801,64801,64801,64801,64801,64801,64801,64801,64801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,
资本公积(万元),39084,39084,39084,39084,39084,39084,39084,39084,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41058,41081,41081,41081,41081,41081,41081,41081,41081,41081,41081,41081,41510,41510,41510,41510,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),-157321,-159298,-155497,-160713,-158989,-157524,-159252,-159617,-160344,-158537,-156518,-154075,-110146,-106547,-104219,-97289,-70595,-66388,-66699,-66932,-57226,-57169,-56153,-56152,-61206,-60377,-61022,-58812,-65342,-61506,-59782,-69050,-68619,-68680,-69296,-70045,-70762,-69603,-71200,-67745,-66846,-65725,-60514,-58795,-61566,-61834,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),-43637,-45614,-41813,-47029,-45305,-43840,-45568,-45932,-44685,-42878,-81859,-79416,-35486,-31888,-29559,-22630,4065,8271,7961,7727,17433,17491,18506,18507,13453,14282,14538,15847,9318,13153,14877,5632,6063,6002,5386,4637,3920,5079,3482,6937,7836,8958,14596,16316,13544,13276,
少数股东权益(万元),--,--,--,--,--,--,--,--,2574,-887,-843,-775,-334,-232,-133,-300,36,168,194,201,80,278,445,514,722,731,731,733,-678,-676,-620,-551,-566,-549,-550,0,0,0,1,1,1,1,464,466,508,537,
所有者权益(或股东权益)合计(万元),-43637,-45614,-41813,-47029,-45305,-43840,-45568,-45932,-42110,-43765,-82702,-80191,-35821,-32120,-29692,-22929,4101,8439,8155,7928,17513,17769,18951,19021,14176,15013,15268,16580,8640,12477,14258,5081,5498,5453,4835,4638,3920,5079,3483,6938,7837,8959,15060,16782,14053,13813,
负债和所有者权益(或股东权益)总计(万元),764163,671223,364007,313934,318818,307657,294114,286440,127732,106923,113584,105144,121002,120979,119000,120393,130216,127355,145792,130622,133334,147379,144671,136309,174182,130444,130476,100330,116436,87861,78484,97596,89335,77356,69257,68916,65844,61944,55479,41820,42492,42990,55844,56479,58094,51143,		
  
