报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2013-12-31,2013-03-31,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2011-03-31,2010-12-31,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2420,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58,--,--,1129,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,--,--,495,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,--,--,634,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,--,--,37,
固定资产(万元),281,316,--,51,60,66,71,72,74,79,83,88,92,96,5,4,3,--,--,--,--,--,--,597,597,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,144,144,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
无形资产(万元),488,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,--,--,--,--,--,--,--,0,0,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),--,--,--,--,1,--,1,--,--,--,--,--,1,1,1,1,--,--,--,--,--,--,--,0,0,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
非流动资产合计(万元),769,318,48,51,62,66,72,73,75,80,84,89,93,98,7,6,3,0,0,0,0,0,2420,742,742,
资产总计(万元),12433,11952,11872,12415,10062,10118,9706,9894,10317,10525,5915,6088,828,927,927,1090,3,0,0,0,0,0,2420,2069,2069,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,2154,2154,2154,2154,5543,5543,5543,5543,5543,5543,5543,7335,7335,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),0,0,0,0,60,--,58,48,68,623,37,10,0,--,6,--,18,18,18,18,18,18,18,379,379,
预收账款(万元),798,944,1466,1785,59,29,26,26,29,26,26,222,--,--,--,--,--,--,--,--,--,--,--,42,42,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),7,--,--,0,4,4,6,6,4,4,3,27,1,15,13,15,--,125,125,97,79,79,719,1488,1488,
应交税费(万元),145,154,24,329,148,228,233,221,-25,3,108,990,13,93,2,186,383,383,383,383,383,383,383,506,506,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,3046,4246,4199,4199,--,--,--,--,--,--,--,455,455,
应付股利(万元),319,319,319,319,319,--,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),7132,6613,6249,6220,6584,7060,6430,6686,7524,7501,3397,3027,4061,2701,2687,2640,2902,2893,3133,2886,3116,3116,2918,3728,3728,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5148,5068,4828,4808,4568,4568,4568,4568,4568,
流动负债合计(万元),8401,8029,8058,8654,7175,7355,7072,7307,7918,8476,3890,4595,9593,9527,9379,9513,14313,14349,14349,14054,14027,14027,14468,18820,18820,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,682,682,682,682,682,682,682,682,682,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
非流动负债合计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,682,682,682,682,682,682,682,682,
负债合计(万元),8401,8029,8058,8654,7175,7355,7072,7307,7918,8476,3890,4595,9593,9527,9379,9513,14995,15031,15031,14736,14708,14708,15150,19501,19501,
实收资本(或股本)(万元),14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,
资本公积(万元),4108,4108,4108,4108,4108,4108,4108,4108,4108,4108,4108,4108,4139,4139,4139,4139,1842,1842,1842,1842,1842,1842,1842,1842,1842,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),-14514,-14623,-14732,-14785,-15660,-15783,-15912,-15960,-16148,-16499,-16524,-17053,-27338,-27172,-27025,-26996,-31268,-31306,-31306,-31012,-30984,-30984,-29005,-33708,-33708,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),4027,3918,3810,3757,2882,2758,2630,2581,2393,2043,2018,1489,-8765,-8599,-8452,-8423,-14992,-15030,-15030,-14736,-14708,-14708,-12730,-17432,-17432,
少数股东权益(万元),4,4,4,4,5,5,5,6,6,6,6,4,--,--,--,--,--,--,--,--,--,--,--,0,0,
所有者权益(或股东权益)合计(万元),4032,3923,3814,3761,2887,2764,2635,2587,2399,2049,2024,1493,-8765,-8599,-8452,-8423,-14992,-15030,-15030,-14736,-14708,-14708,-12730,-17432,-17432,
负债和所有者权益(或股东权益)总计(万元),12433,11952,11872,12415,10062,10118,9706,9894,10317,10525,5915,6088,828,927,927,1090,3,0,0,0,0,0,2420,2069,2069,		
  
