报告日期,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,
应付利息(万元),29087,29087,25379,25380,26423,26423,21346,21346,19964,19964,19583,19583,17784,17784,17489,17489,15758,15758,31455,31455,14447,14447,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
其他应付款(万元),74155,73965,71707,71512,71681,70827,69194,68711,67231,67007,66979,66354,66983,66739,67245,65761,68241,67519,10736,10653,8902,8832,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
一年内到期的非流动负债(万元),6863,6863,6534,6534,6937,6937,6494,6494,6119,6119,6097,6097,6286,6286,6301,6301,6623,6623,15181,15181,15195,15195,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
流动负债合计(万元),113697,113511,107201,107015,108636,107785,100621,100139,96894,96672,96238,95615,94924,94657,94883,93382,94477,93742,61359,61243,42857,42779,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
长期应付款(万元),--,--,282,282,282,282,282,282,281,281,281,281,281,281,281,281,521,549,538,566,577,606,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
预计非流动负债(万元),4754,4754,4619,4619,4538,4538,4403,4403,4268,4268,4724,4724,5586,5586,10442,14377,14210,14210,52252,52252,26656,26656,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
递延所得税负债(万元),183,183,183,183,183,--,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,
其他非流动负债(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
非流动负债合计(万元),5220,5220,5084,5084,5003,5003,4868,4868,4732,4732,5189,5189,6051,6051,10906,14841,14914,14942,52972,53001,27417,27446,
负债合计(万元),118917,118731,112285,112099,113640,112788,105489,105008,101626,101404,101427,100804,100974,100708,105789,108223,109391,108684,114332,114244,70274,70224,
实收资本(或股本)(万元),16431,16431,16431,16431,16431,--,16431,16431,16431,16431,16431,16431,16431,16431,16431,16431,16431,16431,16431,16431,16431,16431,
资本公积(万元),9689,9689,9689,9689,9689,--,9689,9689,9689,9689,9689,9689,9689,9689,9689,9689,9689,9689,9689,9689,9689,9689,
减:库存股(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
盈余公积(万元),114,114,114,114,114,--,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,
一般风险准备(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
未分配利润(万元),-143177,-142777,-137037,-136750,-138496,-138076,-131221,-130890,-127393,-126924,-126719,-126225,-126098,-125593,-130407,-130025,-130085,-129355,-134167,-133959,-87625,-87117,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
归属于母公司股东权益合计(万元),-116943,-116544,-110804,-110516,-112262,-111842,-104987,-104656,-101159,-100690,-100485,-99991,-99864,-99360,-104173,-103791,-103851,-103121,-107933,-107725,-61392,-60884,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
所有者权益(或股东权益)合计(万元),-116943,-116544,-110804,-110516,-112262,-111842,-104987,-104656,-101159,-100690,-100485,-99991,-99864,-99360,-104173,-103791,-103851,-103121,-107933,-107725,-61392,-60884,
负债和所有者权益(或股东权益)总计(万元),1974,2187,1481,1583,1378,946,502,352,467,714,942,812,1110,1348,1617,4432,5540,5563,6399,6519,8883,9341,		
  
