报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,
应交税费(万元),-102,2380,100,2320,123,-366,-36,84,-51,186,203,362,400,303,231,649,-42,155,-15,27,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),70,70,70,70,70,70,70,70,70,70,83,13,53,41,31,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,507,-60,3118,1764,451,388,1423,376,404,-269,604,37,3398,200,192,2495,348,199,219,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,175,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),6851,7485,5297,10022,14478,11419,9687,13298,3469,3915,2518,2833,2343,4962,640,2329,13670,10362,6079,1410,
长期借款(万元),429,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,1836,204,400,--,278,380,479,577,674,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,-20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),3570,2233,333,0,1836,200,400,0,278,380,479,577,674,0,0,0,0,0,0,0,
负债合计(万元),10420,9718,5630,10022,16314,11619,10087,13298,3747,4295,2998,3411,3017,4962,640,2329,13670,10362,6079,1410,
实收资本(或股本)(万元),39892,39892,39892,39892,39892,39892,39892,39892,39892,39892,39892,39892,39892,39892,39892,39892,39892,39892,13432,13432,
资本公积(万元),57370,57370,57370,57370,57370,57370,57370,57370,57370,57370,57370,57370,57370,57370,57370,57370,57370,57370,83831,66655,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),4257,4257,4559,4257,4257,4257,4257,4257,4257,4257,4257,4257,4291,4291,4266,4257,4257,4257,4257,4257,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),-51504,-51748,-50086,-52813,-66521,-66702,-67082,-67261,-67767,-67767,-67441,-68396,-69691,-70219,-69501,-70980,-71990,-72279,-72677,-72734,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),50016,49772,51735,48706,34998,34817,34438,34259,33753,33753,34078,33124,31863,31335,32027,30540,29530,29240,28843,11610,
少数股东权益(万元),172,181,70,364,91,195,154,228,344,281,875,408,350,236,-9,192,--,--,--,--,
所有者权益(或股东权益)合计(万元),50188,49953,51805,49070,35089,35012,34592,34486,34097,34033,34953,33532,32213,31571,32018,30732,29530,29240,28843,11610,
负债和所有者权益(或股东权益)总计(万元),60608,59671,57436,59092,51403,46631,44679,47784,37844,38328,37951,36943,35230,36533,32658,33060,43200,39602,34922,13019,		
  
