报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2007-03-31,2006-12-31,
流动资产合计(万元),0,0,0,0,9,9,9,9,9,11,9,10,9,9,9,9,9,21,437,437,437,438,437,438,439,439,406,423,424,425,425,--,425,428,427,424,424,423,423,424,4241,4241,4240,20177,20176,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,95,95,--,95,95,95,--,95,95,95,--,95,--,95,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,95,--,--,--,95,--,--,--,95,--,95,--,95,95,95,95,95,95,95,95,95,95,95,95,95,--,95,95,95,95,95,95,95,95,95,95,95,1076,1076,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,173,--,173,--,173,--,173,--,173,--,173,--,--,--,173,0,173,--,173,--,173,--,173,--,--,173,
累计折旧(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,78,--,78,--,78,--,78,--,78,--,78,--,--,--,78,0,78,--,78,--,78,--,78,--,--,77,
固定资产净值(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,95,--,95,--,95,--,95,--,95,--,95,--,--,--,95,0,95,--,95,--,95,--,95,--,--,95,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,87,--,87,--,87,--,87,--,87,--,87,--,--,--,87,0,87,--,87,--,87,--,87,--,--,87,
固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,8,8,8,8,8,8,8,8,8,8,8,8,--,8,8,8,8,8,8,8,8,8,8,8,3,8,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
无形资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),0,0,0,0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,103,103,103,103,103,103,103,103,103,103,103,103,103,--,103,103,103,103,103,103,103,103,103,103,103,1079,1085,
资产总计(万元),0,0,0,0,104,104,104,104,104,106,104,105,104,104,104,104,104,116,540,540,540,540,540,540,541,542,508,526,527,527,527,526,527,530,529,526,527,526,526,526,4344,4343,4342,21256,21261,
短期借款(万元),24405,24405,24405,24405,31406,31357,31378,31378,31370,31370,31311,31311,31320,31320,31283,31283,31252,31252,30331,30331,30331,30331,30331,30331,30331,30331,30331,30331,30331,30331,30331,--,30331,30331,30331,30331,30331,30331,30331,30331,30331,30331,30331,30331,30331,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
应付账款(万元),--,--,--,--,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,--,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,
预收账款(万元),--,--,--,--,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,--,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),980,939,898,858,1445,1404,1364,1323,1282,1242,1201,1160,1120,1079,1038,997,929,897,1049,1023,1004,984,965,957,938,919,900,893,881,862,850,--,824,812,803,795,777,767,756,741,729,717,704,579,557,
应交税费(万元),238,238,238,238,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,499,498,498,498,498,--,498,499,499,498,499,499,499,499,499,499,499,499,499,
应付利息(万元),--,81541,--,81541,67718,67690,67702,67702,65941,64198,62451,60797,59159,57527,55904,54342,52789,51277,49798,48347,46961,45529,44121,42760,41387,40045,38737,37460,36169,34909,33682,--,31328,30143,28957,27828,26685,25574,24531,23468,22407,21358,20325,12639,11747,
应付股利(万元),--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,268159,--,268158,10930,10911,10905,10905,10924,10924,10928,10923,10919,10917,10914,10860,10853,10793,10774,10774,10772,10772,10772,10752,10752,10752,10752,10752,10738,10738,10726,--,10706,10694,10677,10659,10655,10639,10624,10619,10592,10573,10558,10501,10479,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12090,12090,12216,12216,12220,12220,12171,12171,12208,12208,12146,12146,12185,--,12336,12336,12272,12272,12200,12200,12404,12404,12383,12383,12386,12467,12467,
其他流动负债(万元),--,--,--,--,3974,3974,3974,3974,3974,3974,3974,3974,3974,3974,3974,3974,3974,3974,-7116,-7116,-7116,-7116,-7116,-7116,-7116,-7116,-7116,-7116,-7116,-7116,-7116,--,-7116,-7116,-7116,-7116,-7116,-7116,-7116,-7116,-7116,-7116,-7116,-7076,-7076,
流动负债合计(万元),375323,375282,375244,375199,119661,119526,119511,119470,117681,115897,114054,112355,110681,109007,107303,105645,103987,102383,101114,99637,98357,96906,95482,94093,92652,91290,90001,88716,87338,86059,84847,--,82599,81390,80113,78958,77721,76584,75720,74637,73516,72435,71378,63630,62696,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,--,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,98516,98516,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),0,0,0,0,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,--,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,87639,98516,98516,
负债合计(万元),375323,375282,375244,375199,207300,207165,207150,207109,205320,203536,201693,199993,198320,196646,194942,193284,191626,190021,188753,187276,185996,184545,183121,181731,180291,178929,177640,176355,174976,173698,172485,171251,170237,169028,167751,166597,165360,164223,163359,162276,161155,160074,159017,162146,161212,
实收资本(或股本)(万元),23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,--,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,23166,
资本公积(万元),89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,--,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,89389,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,--,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,6866,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),-494742,-494701,-494663,-494619,-326616,-326481,-326466,-326425,-324636,-322850,-321009,-319308,-317636,-315962,-314258,-312600,-310942,-309326,-307633,-306157,-304876,-303424,-302001,-300611,-299170,-297807,-296552,-295249,-293870,-292590,-291378,--,-289130,-287918,-286642,-285491,-284253,-283117,-282253,-281169,-276232,-275150,-274095,-260310,-259371,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),-375322,-375281,-375244,-375199,-207196,-207061,-207046,-207005,-205216,-203430,-201589,-199888,-198216,-196542,-194838,-193180,-191522,-189906,-188213,-186737,-185456,-184004,-182581,-181191,-179750,-178387,-177132,-175829,-174450,-173170,-171958,-170725,-169710,-168498,-167222,-166071,-164833,-163697,-162833,-161749,-156812,-155730,-154675,-140890,-139951,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),-375322,-375281,-375244,-375199,-207196,-207061,-207046,-207005,-205216,-203430,-201589,-199888,-198216,-196542,-194838,-193180,-191522,-189906,-188213,-186737,-185456,-184004,-182581,-181191,-179750,-178387,-177132,-175829,-174450,-173170,-171958,-170725,-169710,-168498,-167222,-166071,-164833,-163697,-162833,-161749,-156812,-155730,-154675,-140890,-139951,
负债和所有者权益(或股东权益)总计(万元),0,0,0,0,104,104,104,104,104,106,104,105,104,104,104,104,104,116,540,540,540,540,540,540,541,542,508,526,527,527,527,526,527,530,529,526,527,526,526,526,4344,4343,4342,21256,21261,		
  
