报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
在建工程(万元),49245,46750,45891,50564,50978,53793,61522,59899,58925,51843,44347,35378,10652,26651,39733,33278,78448,92381,89450,86013,
工程物资(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,0,0,
固定资产清理(万元),--,--,--,--,60,31,40,36,83,55,-0,-0,-0,-0,-0,-0,172,147,123,89,
生产性生物资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
油气资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,0,0,
无形资产(万元),21488,22363,23211,24116,17538,18180,16779,17071,21114,20972,17739,18083,37221,37060,38731,37521,16151,12004,9438,17254,
开发支出(万元),32861,31971,30351,29545,35842,32706,32177,31153,23588,20649,20116,21115,13833,9270,6878,6062,20972,21834,3120,0,
商誉(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,0,0,
长期待摊费用(万元),1590,1616,1642,1668,1694,1840,1885,1930,1992,1975,1932,1903,1940,1778,1814,1848,2015,2223,2399,1872,
股权分置流通权(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
递延所得税资产(万元),2954,2952,3191,3265,1323,1330,1330,1326,843,843,457,459,5393,5007,3902,4446,770,770,610,571,
其他非流动资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,0,0,
非流动资产合计(万元),387492,393640,397978,403972,402418,406052,408831,412389,419185,413329,392125,389428,377812,366196,361132,357269,333086,333565,305098,304172,
资产总计(万元),612779,622412,625976,631127,630165,635963,621870,625231,671612,641068,605170,597269,578732,591194,595244,573841,539847,535686,514212,480982,
短期借款(万元),88004,77734,79609,82383,61539,118016,107956,117330,149411,159144,137057,151227,150164,149470,173209,150509,134142,139092,119086,93920,
向中央银行借款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
拆入资金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
交易性金融负债(万元),--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
应付票据(万元),29301,31316,36924,33287,29693,31109,36323,49923,69033,67042,79112,73058,49351,53228,53192,41704,63230,56413,45937,36907,
应付账款(万元),108208,120840,106508,99498,112318,106927,100305,90567,89981,85872,68319,64902,78088,93186,73252,76892,67714,61681,75051,68872,
预收账款(万元),7193,4687,6512,5526,4321,3122,5014,7555,8910,10775,11359,4906,9462,11001,12119,6890,5704,5615,10658,5619,
卖出回购金融资产款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
应付手续费及佣金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
应付职工薪酬(万元),2304,2494,2717,3709,1551,1503,1215,1968,778,985,908,1892,1561,1561,1755,3196,3550,2061,2667,4706,
应交税费(万元),3315,5083,11658,21021,10711,10996,12423,6464,5871,5281,6242,7477,5950,3733,6668,12980,7790,6063,8763,10191,
应付利息(万元),8,--,--,--,177,60,69,9,--,0,0,--,--,--,--,0,3,3,3,0,
应付股利(万元),265,265,265,265,--,0,--,0,--,0,4007,0,6,6,6,6,6,6,6,6,
其他应交款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
应付保证金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
内部应付款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
其他应付款(万元),26373,24094,23106,24939,26248,21118,23328,22425,19598,34749,28838,25199,22814,23983,28384,30498,14799,26976,23398,34877,
预提费用(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
预计流动负债(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
应付分保账款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
保险合同准备金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
代理买卖证券款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
代理承销证券款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
国际票证结算(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
国内票证结算(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
递延收益(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
应付短期债券(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
一年内到期的非流动负债(万元),103940,11000,5000,2000,8000,6000,6092,8442,5607,2426,2733,14470,11634,14486,--,6500,6500,6500,10000,11000,
其他流动负债(万元),--,--,--,--,2630,2500,2500,2500,--,0,0,1677,1505,1649,992,966,423,240,291,555,
流动负债合计(万元),368910,277513,272300,272628,257190,301351,295224,307184,349188,366272,338575,344808,330535,352301,349577,330142,303861,304649,295860,266653,
长期借款(万元),5000,98000,106000,109000,122000,86000,86000,83000,82000,38000,33000,16000,6000,6000,15000,15000,15000,15000,12610,13110,
应付债券(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,0,0,
长期应付款(万元),--,--,--,--,--,0,--,0,--,0,497,549,4963,2236,6469,7201,7921,9000,0,0,
专项应付款(万元),--,--,--,--,--,373,373,373,373,373,373,373,430,430,430,430,200,200,200,10,
预计非流动负债(万元),1513,1522,1714,1424,1362,1260,1034,858,--,0,0,--,--,--,--,0,--,0,0,0,
长期递延收益(万元),--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,0,--,--,
递延所得税负债(万元),--,--,--,--,--,0,--,0,95,95,95,146,--,--,9,9,--,0,0,17,
其他非流动负债(万元),123,123,123,124,--,0,--,0,--,0,0,--,--,--,--,0,--,0,0,0,
非流动负债合计(万元),6636,99645,107837,110548,123362,87633,87407,84231,82468,38468,33965,17068,11393,8666,21908,22640,23121,24200,12810,13137,
负债合计(万元),375546,377158,380137,383176,380551,388984,382632,391415,431656,404740,372540,361876,341928,360968,371484,352782,326981,328849,308670,279789,
实收资本(或股本)(万元),52087,52087,52087,52087,52087,52087,52087,52087,52087,52087,40067,40067,40067,40067,40067,40067,40067,40067,40067,40067,
资本公积(万元),91096,91096,91096,91096,91096,91096,91096,91096,91096,91096,103116,103116,103103,103103,103103,103103,104573,104573,104573,102976,
减:库存股(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,0,0,
专项储备(万元),--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,--,
盈余公积(万元),54755,54755,54755,54755,53274,53274,53274,53274,52980,52980,52980,52980,51302,51302,51302,51302,51266,51266,51266,50292,
一般风险准备(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
未确定的投资损失(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
未分配利润(万元),34880,42894,43289,45041,46976,44431,36489,30973,37703,34334,30356,32950,36528,30267,23066,21014,13766,7789,5489,2723,
拟分配现金股利(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,0,--,0,--,0,
外币报表折算差额(万元),-29,-29,-26,-26,-21,-21,-21,-21,--,0,0,--,--,--,--,0,--,0,--,0,
归属于母公司股东权益合计(万元),232788,240802,241201,242952,243411,240867,232924,227408,233866,230496,226519,229112,231000,224740,217538,215487,209672,203695,201395,196058,
少数股东权益(万元),4445,4451,4637,4998,6202,6113,6314,6408,6090,5832,6111,6281,5803,5487,6221,5573,3194,3142,4148,5134,
所有者权益(或股东权益)合计(万元),237233,245253,245838,247951,249614,246980,239239,233816,239956,236328,232630,235393,236803,230226,223759,221059,212866,206837,205543,201192,
负债和所有者权益(或股东权益)总计(万元),612779,622412,625976,631127,630165,635963,621870,625231,671612,641068,605170,597269,578732,591194,595244,573841,539847,535686,514212,480982,		
  
