 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),15,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0, 
 固定资产报废损失(万元),--,--,84,--,--,--,117,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),0,0,--,1,0,0,--,-0,-0,-0,--,--,--,-0,--,--,--,--,--,--,--,--,--, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),35,9,11,-13,-11,6,305,65,134,119,279,--,-328,-66,156,--,-615,--,737,--,--,--,-135, 
 经营性应收项目的减少(万元),-181,-29,-32,-117,-93,-68,-28,-146,-190,-143,154,--,66,-359,38,--,34,--,155,--,--,--,-269, 
 经营性应付项目的增加(万元),52,30,29,-55,-62,-61,-10,-41,-95,-38,-160,--,29,-174,-316,--,-566,--,-1179,--,--,--,1669, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),42,-0,--,68,26,-12,--,-54,-18,-9,--,--,--,-17,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-317,-61,-313,-307,-370,-305,97,-431,-658,-192,-42,--,-525,-807,743,--,-322,--,498,--,--,--,789, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),104,33,98,194,204,333,669,484,386,791,1028,27,564,306,1097,69,250,17,664,69,17,67,467, 
 现金的期初余额(万元),98,98,669,669,669,669,1028,1028,1028,1028,1097,1097,1097,1097,664,664,664,664,467,467,467,467,--, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),6,-65,-570,-475,-465,-336,-359,-544,-641,-237,-69,-1070,-532,-791,432,-596,-414,-647,198,-397,-449,-399,467, 

