 报告日期,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2009-09-30,2009-06-30,2009-03-31, 
 筹资活动现金流出小计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 筹资活动产生的现金流量净额(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 汇率变动对现金及现金等价物的影响(万元),--,0,--,--,-0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,-0,-0,-0,-0,0,0,0,0, 
 加:期初现金及现金等价物余额(万元),2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0, 
 期末现金及现金等价物余额(万元),2,2,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0, 
 净利润(万元),--,-229,-25,--,-190,-91,--,-1110,-223,--,-236,--,-1592,--,-245,--,-1156,--,-685,--,-1464,-1836,-1223,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,145,--,--,53,--,--,43,-29,--,--,--,0,--,0,--,4,--,--,--,23,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,--,--,--,--,--,--,--,67,--,34,--,67,--,34,--,77,--,34,--,390,227,152,--, 
 无形资产摊销(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,--,--,1,1,1,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,--,--,1,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--, 
 公允价值变动损失(万元),--,2,0,--,1,--,--,0,-13,--,-12,--,-9,--,1,--,-0,--,1,--,-1,-15,-8,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,-0,--,--,0,--,--,-0,0,--,--,--,1030,--,0,--,586,--,400,--,532,1246,831,--, 
 投资损失(万元),--,--,--,--,--,--,--,-1,0,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--, 
 存货的减少(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,--,--,0,-49,--,--, 
 经营性应收项目的减少(万元),--,-1,--,--,1,2,--,-115,34,--,--,--,0,--,4,--,25,--,-12,--,-111,7,7,--, 
 经营性应付项目的增加(万元),--,84,25,--,134,89,--,1184,164,--,215,--,504,--,207,--,463,--,262,--,630,532,335,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,--,--,0,-112,-94,--, 
 经营活动产生现金流量净额(万元),--,0,0,--,0,0,--,0,0,--,0,--,-0,--,0,--,-0,--,-0,--,0,0,0,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),2,2,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0, 
 现金的期初余额(万元),2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,--, 
 现金及现金等价物的净增加额(万元),0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,-0,-0,-0,-0,0,0,0,0, 

