 报告日期,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),28853,21669,14940,6493,24227,17964,10337,5214,19241,14292,9931,4243,15760,11687,7829,3150,12256,8847,5621,2483,10580,7806,4927,2359,9092,6853,4282,2212,8573,6286,4427,1749,8012,6417,4699,2210,6835,5216,3594,2238,6081,4703,3317,1876, 
 支付的各项税费(万元),12562,9251,7486,5018,11041,9505,6538,3669,7726,5966,4413,1962,6777,5023,3336,1392,7234,6240,4250,2790,4927,3370,2366,1662,6758,6467,1908,1260,2342,1787,1002,618,4848,1703,1194,595,4601,3118,2415,1165,2767,2183,1706,1214, 
 支付的其他与经营活动有关的现金(万元),26115,19624,14574,7814,24785,24075,12465,7500,24300,20185,13475,4628,22248,17827,10947,4086,14534,13486,10479,5121,9001,11371,6492,3485,8320,9769,5639,2355,8767,7480,4431,2123,8064,6647,4493,2644,13143,9183,4305,2278,9002,6917,8522,5026, 
 经营活动现金流出小计(万元),206160,156744,111948,56572,209234,161718,104887,50994,178051,129614,89868,44834,177816,110784,73218,37651,171299,114688,69325,35450,120502,83961,48636,24556,106936,78335,46833,21639,121446,66620,30790,12656,88623,52008,36986,19027,83031,46337,21124,13083,65441,51471,37056,22110, 
 经营活动产生的现金流量净额(万元),32884,-44342,-51479,-36302,19241,-32407,-32904,-21068,18633,-35306,-32730,-21877,-5791,-34707,-30056,-19131,3917,-28395,-27366,-23044,15014,-21117,-16189,-15908,4088,-18527,-11355,-7989,5311,-11554,-5066,-3735,11182,18233,5206,1800,-3033,-11726,-6330,-6148,7618,-4195,-8020,-8910, 
 收回投资所收到的现金(万元),66999,44082,27358,6316,18246,24001,4500,--,8585,6985,1113,--,16397,8669,--,1000,--,4400,1000,--,--,--,--,--,3944,1972,1972,1972,35070,--,0,--,--,--,0,--,166,166,166,166,0,--,0,0, 
 取得投资收益所收到的现金(万元),4305,4305,4305,--,3575,2352,2170,--,1430,1430,1430,52,1430,1574,1498,6,1547,1452,1434,--,1100,1100,1100,--,2203,2200,2200,--,1600,1987,0,--,3200,3200,3200,3200,1721,1721,1021,21,0,--,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),8732,1904,1448,1132,26033,10823,9681,5000,5567,5,0,0,1687,1,1,1,13,4,3,2,90,80,--,--,32,32,25,0,62,5,5,1,3948,1728,1561,2,11105,11085,0,--,20,10,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),143,140,135,135,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 收到的其他与投资活动有关的现金(万元),1950,570,570,--,3960,--,--,--,4500,4506,4500,--,1300,--,--,--,--,--,--,--,77,77,--,--,9205,8205,7827,3643,--,--,0,--,15856,--,0,--,0,--,--,--,0,--,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 投资活动现金流入小计(万元),82129,51001,33815,7583,51814,37176,16350,5000,20082,12926,7043,52,20814,10244,1499,1006,1560,5855,2438,2,1267,1257,1100,0,15384,12409,12024,5615,36732,1992,5,1,23004,4928,4761,3202,12992,12973,1187,187,20,10,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),16271,7597,4992,2052,17089,12019,6988,3246,25681,16273,10310,5134,34152,21349,15725,7058,6171,3979,1346,908,16479,12187,6873,2395,11232,8542,4788,291,15705,2427,1714,945,5354,4328,3303,1606,5392,3751,3364,532,1818,1125,834,714, 
 投资所支付的现金(万元),66403,59403,54001,30000,19800,37352,8800,--,8400,6800,6800,7000,7450,6700,4000,4000,--,8585,5585,80,14850,--,--,--,--,--,--,--,--,5850,0,--,--,--,0,--,0,8272,6820,20,0,6,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5850,--,834,834,834,812,8277,--,--,--,6,--,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,26,--,--,--,--,--,--,--,--,30,30,30,--,11,11,--,1967,176,--,--,--,--,0,--,--,--,0,--,113,--,--,--,0,--,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 投资活动现金流出小计(万元),82674,67000,58993,32052,36889,49370,15788,3246,34108,23073,17110,12134,41602,28049,19725,11058,6171,12593,6961,1018,31329,12198,6883,2395,13199,8718,4788,291,15705,8277,7564,945,6188,5163,4137,2418,13783,12023,10184,552,1824,1131,834,714, 
 投资活动产生的现金流量净额(万元),-545,-15999,-25178,-24469,14926,-12195,562,1753,-14026,-10147,-10067,-12082,-20789,-17805,-18226,-10051,-4611,-6738,-4523,-1016,-30061,-10941,-5783,-2395,2185,3691,7237,5324,21027,-6285,-7559,-945,16816,-234,624,784,-791,950,-8996,-365,-1804,-1121,-834,-714, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,97960,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9250,100,100,100,--,--,0,--,0,--,--,--,807,807,807,807, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9250,100,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 取得借款收到的现金(万元),46200,31200,31200,11200,27920,6390,5940,5490,24800,24390,13940,13490,40200,25890,13940,3490,21725,10915,940,490,16975,11928,3628,1300,2229,--,--,--,--,1200,0,--,1200,1200,1200,1200,13877,6700,6700,--,10162,4461,3975,3000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,1,17001,17000,--,3000,994,--,--,--,567,175,606,--,1006,1006,491,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,1940,--,0,0, 
 筹资活动现金流入小计(万元),46200,31200,31200,11200,27920,6390,5940,5490,122761,41391,30940,13490,43200,26884,13940,3490,21725,11481,1115,1096,16975,12934,4634,1791,2229,0,--,--,9250,1300,100,100,1200,1200,1200,1200,13877,6700,6700,--,12909,5268,4782,3807, 
 偿还债务支付的现金(万元),48000,48000,45000,20000,46790,32390,23940,3490,18700,12890,940,490,13700,2890,940,490,16509,5485,985,985,3223,393,393,--,496,--,--,--,1577,1577,377,377,11500,10700,10700,7700,8852,2851,2675,475,16810,13500,7500,3000, 
 分配股利、利润或偿付利息所支付的现金(万元),4856,4470,4392,241,5450,5371,4905,1111,6742,5705,4681,970,4301,3389,2780,482,3126,2642,2428,310,2310,1892,1776,14,7844,7564,7363,38,2543,2386,1979,33,3058,2995,2799,205,1016,650,445,117,995,809,457,263, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,310,38,38,--,599,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,5302,59,48,56,5856,35,24,12,180,55,24,12,254,766,273,--,542,1282,103,--,1589,--,--,--,--,--,0,--,--,--,0,--,0,--,--,10,330,17,16,16, 
 筹资活动现金流出小计(万元),52856,52470,49392,20241,57542,37820,28893,4657,31297,18630,5645,1473,18180,6334,3744,984,19889,8893,3686,1294,6075,3567,2272,14,9929,7564,7363,38,4120,3963,2356,410,14558,13695,13499,7905,9868,3501,3120,601,18136,14326,7972,3279, 
 筹资活动产生的现金流量净额(万元),-6656,-21270,-18192,-9041,-29622,-31430,-22953,833,91464,22761,25295,12017,25020,20550,10196,2506,1835,2589,-2570,-199,10900,9367,2362,1777,-7699,-7564,-7363,-38,5130,-2663,-2256,-310,-13358,-12495,-12299,-6705,4009,3199,3580,-601,-5227,-9059,-3191,528, 
 汇率变动对现金及现金等价物的影响(万元),14,9,2,6,10,-28,-25,-24,-71,-58,-21,-16,30,43,31,10,8,-27,-16,-8,27,45,19,18,51,-1,-10,--,-11,--,0,--,-13,--,0,--,0,--,--,--,0,--,0,0, 
 现金及现金等价物净增加额(万元),25697,-81602,-94848,-69806,4554,-76059,-55321,-18507,96000,-22750,-17523,-21958,-1530,-31919,-38055,-26667,1149,-32570,-34475,-24267,-4121,-22646,-19591,-16508,-1375,-22402,-11490,-2703,31457,-20502,-14882,-4989,14627,5504,-6469,-4121,185,-7578,-11746,-7114,588,-14375,-12045,-9096, 
 加:期初现金及现金等价物余额(万元),168249,168249,168249,168249,163695,163695,163695,163695,67694,67694,67694,67694,69224,69224,69224,69224,68075,68075,68075,68075,72195,72195,72195,72195,73570,73570,73570,73570,42113,42113,42113,42113,27487,27487,27487,27487,27301,27301,27301,27302,26714,26714,26714,26714, 
 期末现金及现金等价物余额(万元),193946,86647,73401,98443,168249,87635,108374,145188,163695,44944,50171,45736,67694,37305,31169,42557,69224,35504,33600,43807,68075,49549,52604,55687,72195,51169,62080,70868,73570,21612,27232,37124,42113,32991,21018,23366,27487,19724,15555,20187,27301,12339,14669,17618, 
 净利润(万元),16100,--,5529,--,14304,--,5019,--,9809,--,2339,--,8752,--,806,--,8142,--,2072,--,4186,--,1529,--,3906,--,2417,--,22261,--,2139,0,6690,0,6292,--,5633,--,1390,--,1809,--,904,0, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,850,--,--,--,0,--,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 资产减值准备(万元),1716,--,1368,--,2481,--,1212,--,1670,--,1539,--,2888,--,2024,--,951,--,1454,--,1863,--,1177,--,3895,--,1221,--,6093,--,1080,--,4893,--,5215,--,597,--,566,--,935,--,276,0, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),3544,--,1542,--,3112,--,1087,--,2706,--,1270,--,2596,--,1379,--,2554,--,931,--,1789,--,879,--,1744,--,796,--,1546,--,652,0,1086,0,412,--,1366,--,806,--,1783,--,820,0, 
 无形资产摊销(万元),1694,--,331,--,558,--,248,--,456,--,226,--,562,--,251,--,531,--,265,--,489,--,210,--,404,--,196,--,241,--,99,--,147,--,88,--,249,--,136,--,281,--,133,0, 
 长期待摊费用摊销(万元),287,--,112,--,199,--,90,--,174,--,88,--,164,--,-36,--,160,--,81,--,134,--,9,--,83,--,32,--,24,--,9,--,--,--,0,--,22,--,23,--,143,--,45,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-2959,--,16,--,-7165,--,1,--,0,--,-5,--,-133,--,1,--,59,--,3,--,-48,--,9,--,-5,--,-17,--,292,--,37,--,-785,--,-443,--,1,--,--,--,72,--,1,0, 
 固定资产报废损失(万元),--,--,--,--,7,--,--,--,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,--,7,--,7,--,11,--,5,--,3,--,1,--,6,--,5,0, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 财务费用(万元),847,--,891,--,2407,--,-132,--,692,--,107,--,375,--,206,--,1043,--,584,--,100,--,38,--,-2,--,36,--,100,--,84,--,455,--,338,--,784,--,241,--,745,--,438,0, 
 投资损失(万元),-6542,--,-6020,--,-3840,--,-2170,--,-2764,--,-1543,--,-3020,--,-1722,--,-948,--,-945,--,-870,--,-1083,--,-2983,--,-2376,--,-30640,--,428,--,-1451,--,-3032,--,-1649,--,-1191,--,-1840,--,-886,0, 
 递延所得税资产减少(万元),-366,--,328,--,-370,--,-114,--,-172,--,-100,--,-418,--,-231,--,-9,--,-229,--,-16,--,114,--,-14,--,-74,--,1362,--,-25,--,1282,--,9,--,530,--,-108,--,-4,--,-32,0, 
 递延所得税负债增加(万元),--,--,--,--,--,--,15851,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,-208,0,0,--,-41,--,26,--,165,--,-90,0, 
 存货的减少(万元),-4744,--,-8070,--,-6557,--,-7595,--,-1544,--,-4010,--,-13224,--,-5690,--,-6825,--,-7180,--,-544,--,-6017,--,-2223,--,-5533,--,-182,--,-3113,--,4421,--,-452,--,-1867,--,-270,--,1693,--,329,0, 
 经营性应收项目的减少(万元),5175,--,-32172,--,149,--,-38487,--,-327,--,-27624,--,-22325,--,-25244,--,-8387,--,-24661,--,689,--,-9741,--,-6966,--,-12766,--,-2646,--,-18161,0,6821,0,-375,--,-12883,--,-9019,--,-99,--,-8855,0, 
 经营性应付项目的增加(万元),18132,--,-15334,--,13957,--,-7915,--,8947,--,-5018,--,17761,--,-1800,--,6647,--,259,--,7240,--,-3314,--,6249,--,4705,--,6853,--,11699,0,-12182,0,-2851,--,5418,--,1071,--,1929,--,-1108,0, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,-1018,--,--,--,232,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,-2044,--,--,--,0,--,0,0, 
 经营活动产生现金流量净额(万元),32884,--,-51479,--,19241,--,-32904,--,18633,--,-32730,--,-5791,--,-30056,--,3917,--,-27366,--,15014,--,-16189,--,4088,--,-11355,--,5311,--,-5066,--,11182,--,5206,--,-3033,--,-6330,--,7618,--,-8020,0, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 现金的期末余额(万元),193946,86647,73401,98443,168249,87635,108374,145188,163695,44944,50171,45736,67694,37305,31169,42557,69224,35504,33600,43807,68075,49549,52604,55687,72195,51169,62080,70868,73570,21612,27232,37124,42113,32991,21018,23366,27487,19724,15555,20187,27301,12339,14669,17618, 
 现金的期初余额(万元),168249,168249,168249,168249,163695,163695,163695,163695,67694,67694,67694,67694,69224,69224,69224,69224,68075,68075,68075,68075,72195,72195,72195,72195,73570,73570,73570,73570,42113,42113,42113,42113,27487,27487,27487,27487,27301,27301,27301,27302,26714,26714,26714,26714, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 现金及现金等价物的净增加额(万元),25697,-81602,-94848,-69806,4554,-76059,-55321,-18507,96000,-22750,-17523,-21958,-1530,-31919,-38055,-26667,1149,-32570,-34475,-24267,-4121,-22646,-19591,-16508,-1375,-22402,-11490,-2703,31457,-20502,-14882,-4989,14627,5504,-6469,-4121,185,-7578,-11746,-7114,588,-14375,-12045,-9096, 

