 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30,2006-03-31, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1847,1071,3560,2194,1459,668,21320,20485,19435,15589,2564,1444,1194,850,1667,1506,1014,404,2597,2319,1584,819,2933,2930,2253,1616,3350,2505,1723,2953,1891,1261,596,1071,1495,874,188,399,283,174,51,1320,799,387,1199,1074,449, 
 支付的各项税费(万元),1124,533,4087,3656,2541,975,21661,20188,19850,19716,2923,385,243,74,2854,2836,1630,658,6698,4685,4008,2304,7541,4447,2735,908,6581,4369,2401,6495,5593,3266,1207,4799,3703,2171,674,88,46,21,14,605,603,232,681,635,434, 
 支付的其他与经营活动有关的现金(万元),31693,19615,88939,62288,41989,6631,36970,36504,23911,12562,33539,36199,27198,13019,120485,32788,15413,7118,121102,80091,51322,31831,21810,74876,651,1970,7468,5072,3071,41592,13939,4660,4044,77249,32996,28361,8416,727,351,124,35,5428,4965,250,329,372,541, 
 经营活动现金流出小计(万元),240023,144727,420290,332112,254367,99081,315068,231486,130450,74945,103709,82482,57659,25855,169405,168820,117451,61248,309319,245854,179293,90711,509025,341052,243995,127049,417484,251509,155915,281374,197107,114355,58870,210791,156599,99828,40430,27128,1435,873,344,34690,31534,13035,15813,14714,10900, 
 经营活动产生的现金流量净额(万元),6756,-2808,91,-18144,-7153,-12760,14170,-35526,-39841,-38649,-10905,-16635,-7827,-4029,1539,5378,3693,3271,-8404,11379,6297,1715,-3490,-5965,-3974,-8802,-1154,-2839,-5377,-17654,-13604,-4160,193,719,1343,232,225,-288,11,42,23,-2944,-803,-2741,-193,-214,-93, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,27,--,--,--,--,--,--,--,--,--,--,--,75,--,--,--,81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,160,--,--,--,160,160,160,100,100,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,449,449,449,449,2016,656,23,23,--,--,--,--,--,--,--,--,--,--,--,--,3,--,--,--,333,--,--,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,28,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,200,200,200,4,--,--,--,--,--,--,--,--,--,--,--,83,81,81,81,--,1265,1497,--,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,474,649,649,649,2020,656,23,23,0,0,0,0,75,0,0,0,164,81,81,81,3,1265,1497,0,1164,0,0,24,0,0,--,--,--,0,0,260,0,0,0,160,160,160,128,128,12, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),106624,31726,134818,76937,51184,7245,19629,10965,2994,649,1423,170,-17,-3,1421,891,799,984,2797,1073,607,503,14998,2426,1500,4005,4164,460,276,423,387,178,72,566,152,100,2,1,--,--,--,255,2133,58,83,88,2, 
 投资所支付的现金(万元),--,--,926,1126,1126,926,30575,6215,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1440,1440,160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,-4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,850,598,346,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8494,7508,--,45,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),106624,31726,135744,78913,52908,8516,50204,17176,2994,649,1423,170,-17,-3,1421,891,799,984,2797,1073,607,503,14998,10920,9008,4005,5648,1900,436,423,387,178,72,567,152,100,2,1,0,0,0,255,2133,58,83,88,2, 
 投资活动产生的现金流量净额(万元),-106624,-31726,-135270,-78265,-52259,-7868,-48185,-16520,-2971,-626,-1423,-170,17,3,-1346,-891,-799,-984,-2633,-992,-526,-421,-14996,-9656,-7511,-4005,-4485,-1900,-436,-399,-387,-178,-72,-567,-152,-100,-2,259,0,0,0,-95,-1973,102,45,40,9, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,41000,41000,41000,--,--,--,--,--,--,--,29000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),300000,--,73100,35000,5000,5000,40000,20000,--,--,5000,5000,5000,5000,53000,43000,--,19000,88836,54536,34436,22500,88700,71700,38244,25950,49800,36800,21100,20000,--,5000,--,--,--,--,--,--,--,--,--,13320,13320,8000,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),77000,50000,93122,63122,--,--,348850,121530,75462,42000,36264,38203,18650,13453,6420,--,--,--,1100,--,--,--,--,1,1,--,--,--,--,--,15000,--,--,--,--,--,--,--,--,--,--,--,--,500,--,--,--, 
 筹资活动现金流入小计(万元),377000,50000,166222,98122,5000,5000,429850,182530,116462,42000,41264,43203,23650,18453,59420,43000,29000,19000,89936,54536,34436,22500,88700,71701,38245,25950,49800,36800,21100,20000,15000,5000,--,--,--,0,0,0,0,0,0,13320,13320,8500,--,--,--, 
 偿还债务支付的现金(万元),8350,8350,55382,40371,--,--,202481,36300,20650,--,15200,15200,9600,9000,54600,44600,30000,20100,74686,60750,39850,22850,68900,56000,27753,13700,41100,32000,15000,--,--,--,--,--,--,--,--,--,--,--,--,10000,10000,4000,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),2425,958,17487,16374,1179,570,2435,2480,1934,1089,4589,3119,2215,925,5970,3155,2121,1055,3027,2108,1595,734,2407,1837,970,354,1993,1338,812,490,123,12,--,--,--,--,--,--,--,--,--,200,200,32,213,139,62, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),57154,26000,86817,19153,--,--,7602,91051,52675,2098,6985,7270,4270,4120,468,--,--,--,210,--,--,--,1100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,144, 
 筹资活动现金流出小计(万元),67929,35308,159687,75899,1179,570,212518,129831,75258,3187,26774,25589,16085,14045,61037,47755,32121,21155,77922,62858,41445,23584,72407,57837,28723,14054,43093,33338,15812,490,123,12,--,--,--,0,0,0,0,0,0,10200,10200,4032,213,139,206, 
 筹资活动产生的现金流量净额(万元),309071,14692,6534,22222,3821,4430,217332,52699,41204,38813,14490,17614,7565,4408,-1617,-4755,-3121,-2155,12014,-8322,-7009,-1084,16293,13864,9522,11896,6707,3462,5288,19510,14877,4988,--,--,--,0,0,0,0,0,0,3120,3120,4468,-213,-139,-206, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),209203,-19842,-128644,-74186,-55592,-16198,183318,652,-1608,-463,2162,810,-245,383,-1425,-267,-227,133,976,2065,-1238,210,-2193,-1756,-1962,-911,1068,-1276,-525,1458,885,651,121,152,1191,132,222,-28,11,42,23,81,344,1829,-361,-312,-289, 
 加:期初现金及现金等价物余额(万元),56887,56887,185531,185531,185531,185531,2214,2318,2318,2318,51,519,519,519,1476,1476,1476,1476,500,1600,1600,1600,2693,2693,2693,2693,1626,1626,1626,168,168,168,168,16,16,16,16,44,44,44,44,144,144,144,430,431,431, 
 期末现金及现金等价物余额(万元),266090,37045,56887,111345,129939,169333,185531,2971,710,1855,2214,1329,274,902,51,1209,1249,1608,1476,3665,362,1809,500,937,731,1783,2693,349,1100,1626,1054,819,289,168,1207,148,238,16,56,86,68,225,488,1973,69,119,142, 
 净利润(万元),1415,--,-1097,--,2093,--,-8781,--,-4574,--,-57318,--,-9328,--,-30909,--,466,--,-11311,--,-1252,--,2440,--,-1572,--,753,--,-1781,3590,--,662,--,2598,--,438,--,-6351,--,-1997,--,--,2969,--,--,-4555,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),91,--,274,--,-69,--,-7790,--,0,--,15170,--,5414,--,1381,--,-900,--,5276,--,--,--,-1422,--,-1432,--,-1802,--,0,-2357,--,-0,--,2068,--,1909,--,1618,--,194,--,--,-4627,--,--,-348,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),541,--,1006,--,490,--,1791,--,810,--,2472,--,1095,--,2301,--,1109,--,2129,--,1057,--,1316,--,585,--,1476,--,761,1527,--,761,--,1590,--,616,--,1771,--,981,--,--,1118,--,--,1245,--, 
 无形资产摊销(万元),442,--,857,--,366,--,406,--,151,--,312,--,152,--,304,--,152,--,304,--,152,--,309,--,138,--,309,--,144,289,--,144,--,292,--,147,--,343,--,172,--,--,194,--,--,195,--, 
 长期待摊费用摊销(万元),--,--,14,--,3,--,3,--,0,--,105,--,63,--,126,--,63,--,122,--,59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,--,--,9,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,-836,--,-401,--,13080,--,0,--,7,--,--,--,473,--,--,--,--,--,--,--,-1302,--,--,--,--,--,0,-53,--,5,--,22,--,19,--,--,--,--,--,--,--,--,--,111,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),3446,--,5427,--,1257,--,9407,--,1849,--,10871,--,2201,--,6356,--,2121,--,3263,--,1595,--,2494,--,846,--,1993,--,812,508,--,12,--,--,--,0,--,--,--,--,--,--,206,--,--,139,--, 
 投资损失(万元),8,--,-5,--,--,--,-9,--,0,--,-132,--,--,--,98,--,--,--,-70,--,--,--,-55,--,--,--,-1685,--,--,-14,--,--,--,--,--,--,--,-105,--,--,--,--,-109,--,--,237,--, 
 递延所得税资产减少(万元),1641,--,-621,--,--,--,-2832,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),4,--,779,--,-3786,--,551,--,-2970,--,-438,--,-2048,--,41010,--,-1676,--,17241,--,-1962,--,-17907,--,-19748,--,-11775,--,-11259,-13240,--,-16216,--,-10532,--,-2686,--,-11304,--,-92,--,--,1242,--,--,3645,--, 
 经营性应收项目的减少(万元),-7978,--,18480,--,-29710,--,30114,--,-2402,--,-3143,--,-12717,--,-30562,--,13376,--,-17384,--,-9549,--,-10948,--,-5395,--,-398,--,872,8810,--,-4072,--,-8391,--,-10492,--,-4219,--,294,--,--,-1133,--,--,825,--, 
 经营性应付项目的增加(万元),7140,--,-24186,--,22604,--,-21770,--,-32759,--,21189,--,7266,--,10960,--,-10938,--,-7975,--,16044,--,21585,--,23164,--,9974,--,5074,-16713,--,14544,--,13071,--,10282,--,17959,--,490,--,--,-668,--,--,-1719,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),4,--,--,--,--,--,--,--,55,--,--,--,66,--,--,--,-80,--,--,--,153,--,--,--,-560,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),6756,--,91,--,-7153,--,14170,--,-39841,--,-10905,--,-7836,--,1539,--,3693,--,-8404,--,6297,--,-3490,--,-3974,--,-1154,--,-5377,-17654,--,-4160,--,719,--,232,--,-288,--,42,--,--,-803,--,--,-214,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),266090,37045,56887,111345,129939,169333,185531,2971,710,1855,2214,1329,274,902,51,1209,1249,1608,1476,3665,362,1809,500,937,731,1783,2693,349,1100,1626,1054,819,--,168,1207,148,238,16,56,86,68,225,488,1973,69,119,142, 
 现金的期初余额(万元),56887,56887,185531,185531,185531,185531,2214,2318,2318,2318,51,519,519,519,1476,1476,1476,1476,500,1600,1600,1600,2693,2693,2693,2693,1626,1626,1626,168,168,168,--,16,16,16,16,44,44,44,44,144,144,144,430,431,431, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),209203,-19842,-128644,-74186,-55592,-16198,183318,652,-1608,-463,2162,810,-245,383,-1425,-267,-227,133,976,2065,-1238,210,-2193,-1756,-1962,-911,1068,-1276,-525,1458,885,651,--,152,1191,132,222,-28,11,42,23,81,344,1829,-361,-312,-289, 

