 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),6,0,3525,0,0,0,0,0,0,0,2176,0,0,0,0,0,0,0,1374,0,0,0,0,0,0,0,426,0,0,0,0,0,0,--,1,1,1,0,4,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,12,--,--,--,--,--,--,--,--,--,44,44,24,--, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,3500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,--,--,--,0,0,44,44,24,0, 
 投资活动产生的现金流量净额(万元),6,0,25,0,0,0,0,0,0,0,2176,0,0,0,0,0,0,0,1374,0,0,0,0,0,0,0,426,-12,-12,0,0,0,0,--,1,1,1,0,-41,-44,-24,0, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,65,46,24,--,238,131,21,--,148,13,11,--,69,10,4,--,22,10,--,0,30,23,12, 
 筹资活动现金流入小计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,65,46,24,1,238,131,21,0,148,13,11,0,69,10,4,--,22,10,0,0,30,23,12, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,59,0,0,0,--,0,0,0,0,0,0,0, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,1583,--,--,--,--,--,--,--,--,--,--,--,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 筹资活动现金流出小计(万元),0,0,0,0,0,0,0,0,0,0,1681,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,59,0,0,0,--,0,0,0,0,0,0,0, 
 筹资活动产生的现金流量净额(万元),0,0,0,0,0,0,0,0,0,0,-1681,0,0,0,0,0,0,0,1,65,46,24,-1,238,131,21,0,147,13,11,-59,69,10,4,--,21,10,-0,0,30,23,12, 
 汇率变动对现金及现金等价物的影响(万元),--,--,-0,--,--,--,-0,--,--,--,1,--,0,--,24,--,--,--,19,--,--,--,-19,--,--,--,--,--,--,--,7,--,--,--,-37,--,--,--,95,--,--,--, 
 现金及现金等价物净增加额(万元),-108,-451,-70,-650,-310,-601,-656,-1424,-1136,-1227,2173,-499,-170,-130,748,62,54,134,-208,-99,-71,-21,44,-84,-226,-84,-14,-155,-134,-101,-21,-113,104,-3,184,137,394,358,150,125,85,18, 
 加:期初现金及现金等价物余额(万元),2352,2352,2423,2423,2423,2423,3079,3079,3079,3079,906,906,906,906,159,159,159,159,366,368,368,368,323,323,323,323,337,337,337,337,358,358,358,358,174,174,174,174,24,24,24,24, 
 期末现金及现金等价物余额(万元),2245,1901,2352,1773,2112,1822,2423,1655,1943,1852,3079,407,736,777,906,220,212,292,159,269,298,347,366,238,96,239,323,183,204,237,337,245,462,355,358,311,568,532,174,149,109,42, 
 净利润(万元),64,--,103,--,-1,--,-0,--,24,--,1327,--,-86,--,522,--,--,--,965,--,--,--,92,--,--,--,-89,--,--,--,-14,--,--,--,244,--,--,--,-77,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-3,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,--,-21,--,--,--,10,--,--,--,6,--,3,--,4,--,--,--,7,--,--,--,-5,--,--,--,21,--,--,--,228,--,--,--,125,--,--,--,36,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1,--,3,--,1,--,3,--,1,--,4,--,3,--,6,--,--,--,6,--,--,--,13,--,--,--,16,--,--,--,15,--,--,--,16,--,--,--,9,--,--,--, 
 无形资产摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--,--,--,--,--,11,--,--,--,--,--,--,--,-1374,--,--,--,2,--,--,--,1,--,--,--,--,--,--,--,11,--,--,--,-1,--,--,--, 
 固定资产报废损失(万元),-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,0,--,--,--,0,--,--,--,54,--,33,--,42,--,--,--,47,--,--,--,85,--,--,--,66,--,--,--,59,--,--,--,96,--,--,--,-37,--,--,--, 
 投资损失(万元),-4,--,-25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营性应收项目的减少(万元),-165,--,-124,--,-476,--,247,--,-473,--,-269,--,276,--,34,--,--,--,-1710,--,--,--,-160,--,--,--,-339,--,--,--,-250,--,--,--,-302,--,--,--,396,--,--,--, 
 经营性应付项目的增加(万元),-9,--,-31,--,166,--,-916,--,-687,--,545,--,-399,--,116,--,--,--,455,--,--,--,37,--,--,--,-116,--,--,--,-8,--,--,--,31,--,--,--,-228,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-114,--,-95,--,-310,--,-656,--,-1136,--,1678,--,-170,--,724,--,--,--,-1602,--,--,--,64,--,--,--,-441,--,--,--,31,--,--,--,220,--,--,--,95,--,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),2245,1901,2352,1773,2112,1822,2423,1655,1943,1852,3079,407,682,777,906,220,212,292,159,269,298,347,366,238,96,239,323,183,204,237,337,245,462,355,358,311,568,532,174,149,109,42, 
 现金的期初余额(万元),2352,2352,2423,2423,2423,2423,3079,3079,3079,3079,906,906,906,906,159,159,159,159,366,368,368,368,323,323,323,323,337,337,337,337,358,358,358,358,174,174,174,174,24,24,24,24, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-108,-451,-70,-650,-310,-601,-656,-1424,-1136,-1227,2173,-499,-170,-130,748,62,54,134,-208,-99,-71,-21,44,-84,-226,-84,-14,-155,-134,-101,-21,-113,104,-3,184,137,394,358,150,125,85,18, 

