 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31, 
 支付其他与筹资活动有关的现金(万元),909,--,1988,1353,1161,724,1737,2225,716,335,24657,2949,2644,1635,1763,--,--,--, 
 筹资活动现金流出小计(万元),8959,2907,15802,11168,8693,2196,16822,13172,10457,1574,33635,16005,8864,5631,12991,0,0,0, 
 筹资活动产生的现金流量净额(万元),-80,-907,-2532,-3078,-603,-696,-3976,-5780,-3957,-74,8771,13164,11454,-5529,8704,0,0,0, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),2325,310,307,-154,3347,-181,-2511,-2109,-1657,-548,-6923,-8409,-8410,-4883,7621,9,-0,-0, 
 加:期初现金及现金等价物余额(万元),2334,3269,2027,2708,2708,2673,4539,4977,4977,4539,11461,11461,11461,11461,3841,0,0,0, 
 期末现金及现金等价物余额(万元),4659,3578,2334,2553,6055,2492,2027,2868,3320,3990,4539,3052,3052,6578,11461,10,0,0, 
 净利润(万元),-348,--,1023,--,456,--,1351,--,-426,--,3252,--,-1327,--,2505,-8873,-11,-13, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),34,--,386,--,93,--,210,--,129,--,253,--,50,--,180,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),95,--,694,--,335,--,838,--,561,--,929,--,459,--,1038,--,--,--, 
 无形资产摊销(万元),10,--,45,--,12,--,50,--,9,--,52,--,12,--,19,--,--,--, 
 长期待摊费用摊销(万元),1,--,4,--,2,--,--,--,47,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,303,--,-312,--,-278,--,183,--,-27,--,--,--,-3,--,0,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,79,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,-40,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),330,--,761,--,472,--,932,--,522,--,978,--,469,--,929,--,--,--, 
 投资损失(万元),-8,--,22,--,-15,--,-53,--,-35,--,-181,--,29,--,-576,--,--,--, 
 递延所得税资产减少(万元),-4,--,-56,--,-17,--,-42,--,-2,--,44,--,30,--,77,--,--,--, 
 递延所得税负债增加(万元),80,--,--,--,--,--,--,--,--,--,-9,--,-9,--,9,--,--,--, 
 存货的减少(万元),3300,--,1799,--,3730,--,568,--,6022,--,-529,--,4462,--,-1153,--,--,--, 
 经营性应收项目的减少(万元),-6643,--,-3690,--,-2399,--,2369,--,3119,--,-6812,--,7,--,-1011,138,1,--, 
 经营性应付项目的增加(万元),5930,--,3900,--,654,--,-4567,--,-112,--,3554,--,-1240,--,572,8744,10,13, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),2775,--,5192,--,3012,--,1378,--,10016,--,1583,--,2942,--,2546,10,-0,-0, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),4659,3578,2334,2553,6055,2492,2027,2868,3320,3990,4539,3052,3052,6578,11461,10,0,0, 
 现金的期初余额(万元),2334,3269,2027,2708,2708,2673,4539,4977,4977,4539,11461,11461,11461,11461,3841,0,0,0, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),2325,310,307,-154,3347,-181,-2511,-2109,-1657,-548,-6923,-8409,-8410,-4883,7621,9,-0,-0, 

