 报告日期,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 经营活动现金流入小计(万元),32511,21507,9244,51553,30519,19002,8043,50885,32010,18937,8529,50118,34900,23829,7823,52639,36657,21828,11202,39581,25395,14494,4519,21040,14124,9391,4610,18737,12483,7900,3488,21181,13598,9334,4410,17545,12570,8018,3980,14348,5577,3064,1272, 
 购买商品、接受劳务支付的现金(万元),7156,4659,2556,11989,7680,5430,2162,14926,9931,6198,2502,12426,7458,4786,2183,12014,6988,4892,2489,8909,5882,3582,1686,8133,4359,3153,1524,7068,4223,2649,1262,7278,4240,2914,949,9981,5662,4292,2682,4276,1338,713,309, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 支付给职工以及为职工支付的现金(万元),1882,1249,652,3835,2092,1339,635,3754,2140,1298,640,3477,2027,1279,620,3072,1889,1231,577,2569,1660,1090,492,2485,1486,997,480,2207,1594,936,525,2208,1389,1103,627,1529,953,830,355,1029,909,580,260, 
 支付的各项税费(万元),6191,3984,2254,4971,2989,1871,642,1258,1180,983,395,1510,1190,849,466,1581,817,540,241,1247,746,260,85,469,258,238,37,670,375,257,55,708,545,543,74,535,482,326,184,824,860,147,75, 
 支付的其他与经营活动有关的现金(万元),3822,2302,949,3167,3526,1480,853,1106,3954,1670,699,1339,3158,2329,730,1576,3788,2339,1070,2103,1978,933,308,1380,2316,1366,803,1014,2021,1209,514,1058,1325,553,1221,1579,1827,0,919,3243,651,272,180, 
 经营活动现金流出小计(万元),19050,12194,6412,23962,16288,10120,4293,21044,17204,10149,4235,18752,13833,9244,4000,18244,13482,9002,4377,14828,10265,5865,2571,12466,8420,5754,2844,10959,8213,5051,2355,11254,7499,5114,2871,13625,8923,6864,4140,9373,3759,1713,823, 
 经营活动产生的现金流量净额(万元),13461,9313,2832,27591,14231,8882,3750,29841,14806,8788,4295,31366,21067,14585,3823,34395,23175,12826,6825,24753,15130,8629,1948,8573,5704,3637,1766,7778,4270,2849,1133,9928,6099,4221,1539,3921,3647,1154,-160,4975,1819,1351,449, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,3000,--,--,0,0,23980,--,0,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,2957,--,2795,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,0,5,0,--,--,2,0,0,0,0,0,0,0,3,0,0,0,0,5,4,--,11,11,11,--,5,1,1,1,12,--,--,--,19,--,0,0,174,3,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,--,--,0,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,--,--,--,0,0,--,--,--,--,0,0,0,2222,17775,11750,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 投资活动现金流入小计(万元),0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,5,4,0,111,11,11,--,5,1,1,1,12,--,--,3000,19,0,0,0,29334,17778,14545,--, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),839,675,385,1171,762,436,330,697,493,214,116,1427,1041,184,174,808,555,186,128,2044,2611,2447,2375,13435,11555,10220,1383,26135,22403,13148,4929,75502,28926,12068,8711,5904,4776,3139,1192,8332,3782,374,128, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,3000,5143,402,402,0,24098,7332,0,2000, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,--,--,0,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1899,--,--,--,1009,--,--,--,467,--,--,--,556,--,--,0,718,--,--,--,12,0,0,21,--,225,2000,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 投资活动现金流出小计(万元),839,675,385,1171,762,436,330,697,493,214,116,1427,1041,184,174,2707,555,186,128,3053,2611,2447,2375,13902,11555,10220,1383,26691,22403,13148,4929,76220,28926,12068,11711,11059,5178,3541,1213,32429,11338,2374,2128, 
 投资活动产生的现金流量净额(万元),-839,-675,-385,-1166,-761,-436,-330,-696,-492,-214,-116,-1426,-1041,-184,-174,-2704,-554,-186,-128,-3053,-2606,-2443,-2375,-13791,-11543,-10208,-1383,-26686,-22402,-13147,-4929,-76208,-28926,-12068,-8711,-11040,-5178,-3541,-1213,-3096,6440,12171,-2128, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,276,276,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1600,--,--,--,0,46,46,46,--,32000,17,17,0,85,85,0,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,276,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,46,--,32000,17,17,--,85,85,0,--, 
 取得借款收到的现金(万元),5300,5000,5000,5000,5000,5000,--,5000,5000,5000,--,5950,5950,5950,--,6200,6200,4200,--,15800,10800,2600,300,28270,12825,4625,--,51930,36690,21830,8280,90050,13750,2000,--,23000,23000,22000,12700,6000,1500,1500,1000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,--,--,0,--, 
 筹资活动现金流入小计(万元),5300,5000,5000,5000,5000,5000,0,5276,5276,5000,0,5950,5950,5950,0,6200,6200,4200,0,15800,10800,2600,300,28270,12825,4625,1600,51930,36690,21830,8280,90096,13796,2046,--,55000,23017,22017,12700,6085,1585,1500,1000, 
 偿还债务支付的现金(万元),11000,11000,5000,15235,9500,9500,--,15212,11137,11137,--,27668,14363,12328,--,26484,19990,11780,4530,29255,12450,4250,--,19195,8200,--,--,23995,17200,2000,0,36967,7662,7062,6062,26629,11300,11300,11300,3500,1030,1030,10, 
 分配股利、利润或偿付利息所支付的现金(万元),1750,1207,590,7521,6646,1799,924,8750,7651,5611,1895,5493,4000,2820,1443,7228,5457,3642,1789,7424,4686,2849,629,6723,1816,1202,595,6603,2494,1812,658,2934,1842,602,42,3085,1939,990,424,2035,4163,8,2, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,2416,--,--,--,3462,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,1237,--,--,--,30,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,94,94,0,0,120,--,0,--, 
 筹资活动现金流出小计(万元),12750,12207,5590,22756,16146,11299,924,25199,18788,16748,1895,33190,18393,15148,1443,33712,25447,15422,6319,36678,17136,7099,629,25918,10016,1202,595,30598,19694,3812,658,39901,9504,7664,6104,29809,13333,12385,11724,5655,5193,1038,12, 
 筹资活动产生的现金流量净额(万元),-7450,-7207,-590,-17756,-11146,-6299,-924,-19923,-13512,-11748,-1895,-27240,-12443,-9198,-1443,-27512,-19247,-11222,-6319,-20878,-6336,-4499,-329,2352,2810,3423,1005,21332,16996,18018,7622,50195,4292,-5618,-6104,25191,9684,9632,976,430,-3608,462,988, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,-11,--,--,--,-2,--,--,--,-0,--,--,--,-0,--,--,--,-0,--,--,--,-0,--,--,--,-0,--,--,0,-0,--,--,--,0,--,0,0,0,--,0,--, 
 现金及现金等价物净增加额(万元),5172,1431,1858,8658,2324,2147,2496,9220,802,-3174,2283,2699,7582,5203,2206,4179,3374,1418,378,821,6188,1688,-756,-2866,-3030,-3148,1388,2424,-1136,7720,3826,-16086,-18536,-13465,-13276,18072,8153,7246,-397,2310,4650,13984,-691, 
 加:期初现金及现金等价物余额(万元),30849,30849,30849,22191,22191,22191,22191,12971,12971,12971,12971,10272,10272,10272,10272,6093,6823,6093,6093,5271,5271,5271,5271,8137,8137,8137,8137,5714,5714,5714,5714,21799,21799,21799,21799,3727,3727,3727,3727,1417,1417,1417,1417, 
 期末现金及现金等价物余额(万元),36021,32281,32707,30849,24515,24338,24687,22191,13773,9796,15254,12971,17854,15475,12478,10272,10196,7511,6471,6093,11459,6959,4515,5271,5107,4989,9525,8137,4578,13433,9540,5714,3263,8334,8523,21799,11879,10972,3330,3727,6067,15401,726, 
 净利润(万元),--,3995,--,8333,--,3209,--,9997,--,2173,--,7046,--,1517,--,6260,--,2289,--,3090,--,1283,--,751,--,527,--,930,--,608,0,1188,0,725,--,1568,--,967,0,3775,--,2966,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 资产减值准备(万元),--,--,--,-1,--,--,--,-22,--,--,--,-13,--,--,--,6,--,--,--,18,--,--,--,86,--,--,--,90,--,--,0,55,--,--,--,24,--,0,0,7,--,0,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,666,--,1534,--,755,--,1651,--,821,--,1650,--,806,--,1605,--,808,--,1653,--,408,--,769,--,388,--,781,--,386,0,742,0,2071,--,4221,--,2031,0,2041,--,315,--, 
 无形资产摊销(万元),--,7340,--,14512,--,7272,--,14602,--,7287,--,16123,--,7790,--,15607,--,7754,--,14054,--,6202,--,4381,--,2190,--,4367,--,1930,0,4349,--,283,--,566,--,266,0,405,--,165,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,14,--,--,--,14,--,--,--,14,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,3,--,1,0,3,--,1,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,1,--,100,--,--,--,248,--,0,--,63,--,1,--,85,--,0,--,0,--,--,--,76,--,-2,--,49,--,--,0,24,--,--,--,11,--,0,0,192,--,0,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7,--,--,--,0,0,0,--,--,--,92,--,0,0,--,--,0,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,--,--,0,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 财务费用(万元),--,1198,--,3494,--,1806,--,4387,--,2226,--,6380,--,3282,--,7920,--,4066,--,7613,--,2961,--,2254,--,1052,--,2537,--,1243,0,2696,--,1174,--,3026,--,1556,0,926,--,-4,--, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,-14,--,--,--,--,--,0,0,-2599,--,-2434,--, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,--,--,0,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,-713,--,--,--,713,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,0,--, 
 存货的减少(万元),--,3,--,45,--,--,--,-12,--,-23,--,55,--,17,--,-9,--,9,--,-34,--,-4,--,38,--,-18,--,7,--,-56,0,-11,--,-8,--,46,--,46,0,-24,--,-1,--, 
 经营性应收项目的减少(万元),--,-3130,--,-2144,--,-3156,--,1871,--,-3097,--,-2339,--,-3193,--,2853,--,-831,--,-1469,--,-1908,--,134,--,105,--,-768,--,-1324,0,998,0,-461,--,-2174,--,-1354,0,1476,--,69,--, 
 经营性应付项目的增加(万元),--,-760,--,1719,--,-1004,--,-2881,--,-531,--,3114,--,4351,--,-644,--,-1284,--,-173,--,-314,--,84,--,-611,--,-214,--,61,0,-100,0,437,--,-3462,--,-2360,0,-1227,--,485,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,--,--,0,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,-81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,--,--,0,--, 
 经营活动产生现金流量净额(万元),--,9313,--,27591,--,8882,--,29841,--,8788,--,31366,--,14585,--,34395,--,12826,--,24753,--,8629,--,8573,--,3637,--,7778,--,2849,0,9928,--,4221,--,3921,--,1154,0,4975,--,1351,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,--,--,0,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,--,--,0,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,--,--,0,--, 
 现金的期末余额(万元),36021,32281,32707,30849,24515,24338,24687,22191,13773,9796,15254,12971,17854,15475,12478,10272,10196,7511,6471,6093,11459,6959,4515,5271,5107,4989,9525,8137,4578,13433,9540,5714,3263,8334,8523,21799,11879,10972,3330,3727,6067,15401,726, 
 现金的期初余额(万元),30849,30849,30849,22191,22191,22191,22191,12971,12971,12971,12971,10272,10272,10272,10272,6093,6823,6093,6093,5271,5271,5271,5271,8137,8137,8137,8137,5714,5714,5714,5714,21799,21799,21799,21799,3727,3727,3727,3727,1417,1417,1417,1417, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,--,--,0,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,--,--,0,--, 
 现金及现金等价物的净增加额(万元),5172,1431,1858,8658,2324,2147,2496,9220,802,-3174,2283,2699,7582,5203,2206,4179,3374,1418,378,821,6188,1688,-756,-2866,-3030,-3148,1388,2424,-1136,7720,3826,-16086,-18536,-13465,-13276,18072,8153,7246,-397,2310,4650,13984,-691, 

