 报告日期,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30, 
 经营活动现金流入小计(万元),1494011,861964,456272,706681,814924,455476,363162,-139296,-109903,-40037,111060,367768,187243,170889,85349,331834,223528,106621,210556,1060877,986790,271598,335824,119816,200430,185228,6878,1566020,1523334,1224111,283415,323642,173050, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,2233,1224,0,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 支付利息、手续费及佣金的现金(万元),59359,40713,11983,55155,39311,24269,12176,37866,29570,19755,9383,36026,19293,12342,6234,21021,11830,6746,3520,11849,4891,2768,1308,13558,1180,842,1237,18995,3710,3446,457,2072,730, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 支付给职工以及为职工支付的现金(万元),114017,88673,67684,133339,106318,75877,57754,95572,74169,55258,32109,91142,74956,57039,41890,76458,58967,46107,33017,47610,34500,24376,16038,39094,34965,31743,22297,21843,16302,11401,6193,11306,3623, 
 支付的各项税费(万元),58905,41258,23945,65121,50133,31533,14618,50092,40588,25504,11903,48856,66345,44990,20449,67895,52606,38457,17049,34744,27675,11098,2497,121526,120618,99638,55076,44471,27968,12419,2868,3378,970, 
 支付的其他与经营活动有关的现金(万元),47223,42496,29224,186374,441795,328859,203610,342217,319995,186621,78324,682829,642507,456843,212537,279903,470243,352564,161037,87660,42871,38817,13290,620055,511612,213668,182533,191256,172477,134620,4740,39460,8023, 
 经营活动现金流出小计(万元),644222,277922,207198,751788,637557,460537,288158,525747,464322,287138,131720,858852,803101,571214,281111,445278,593647,443874,214623,181864,109937,77059,33133,794233,668375,345890,261142,276566,220457,164119,15481,56216,13346, 
 经营活动产生的现金流量净额(万元),849789,584042,249074,-45106,177367,-5061,75004,-665043,-574225,-327175,-20660,-491084,-615858,-400325,-195761,-113444,-370119,-337252,-4067,879014,876853,194538,302691,-674416,-467945,-160662,-254264,1289454,1302877,1059992,267934,267427,159704, 
 收回投资所收到的现金(万元),--,250,--,125,125,125,75,--,--,--,--,219,200,200,200,--,--,--,0,--,2,--,0,4442,5354,252,25,1907,0,--,0,0,--, 
 取得投资收益所收到的现金(万元),18987,8985,-16,44000,--,--,--,29,--,--,--,--,--,--,--,2,--,--,0,1209,--,--,0,47556,154,194,126,1873,182,92,92,1595,1276, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,51,51,0,785, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 收到的其他与投资活动有关的现金(万元),1424,1364,0,349324,75,75,--,11,0,0,0,16,6,2,2,23,8,6,0,12,5,2,0,218,191,118,103,55,4,4,3,955,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 投资活动现金流入小计(万元),20411,10598,-16,393449,200,200,75,40,0,0,0,235,206,202,202,25,8,6,0,1221,6,2,0,52217,5698,564,254,3835,186,146,145,2550,2061, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6809,4882,2342,10056,5453,3468,1716,8379,5163,2981,1314,11205,6616,3610,1770,10441,6018,4452,1918,9689,6373,4132,1037,25780,22529,14870,13332,50327,34194,31636,296,1062,373, 
 投资所支付的现金(万元),--,3500,3500,150,150,5150,--,4000,3500,3500,--,10527,9127,8527,--,3108,1577,--,0,--,--,--,0,--,1357,261,144,7303,13602,--,0,0,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 支付的其他与投资活动有关的现金(万元),469796,452028,168654,184751,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,66,87,12,6,10980,10980,50186,3,0,1,0,0,0,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 投资活动现金流出小计(万元),476604,460410,174496,194957,5603,8618,1716,12379,8663,6481,1314,21732,15743,12137,1770,13549,7595,4452,1918,9755,6459,4144,1043,36760,34866,65317,13479,57631,47797,31636,296,1062,373, 
 投资活动产生的现金流量净额(万元),-456194,-449812,-174512,198492,-5403,-8418,-1641,-12339,-8663,-6481,-1313,-21497,-15537,-11935,-1568,-13524,-7587,-4446,-1918,-8533,-6453,-4143,-1043,15457,-29168,-64753,-13225,-53795,-47611,-31490,-151,1488,1688, 
 吸收投资收到的现金(万元),--,--,--,400,400,--,--,694077,694077,694077,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,260000,260000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 取得借款收到的现金(万元),--,--,--,563,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 收到其他与筹资活动有关的现金(万元),9,1472,2310,--,--,--,--,10000,10000,10000,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,27200,--, 
 筹资活动现金流入小计(万元),9,1472,2310,963,400,0,0,704077,704077,704077,0,--,0,--,0,--,0,--,0,--,--,--,0,--,0,--,--,0,0,--,0,287200,260000, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,10000,10000,10000,--,--,--,--,--,--,--,--,0,9000,9000,9000,9000,4500,4500,--,--,13700,9200,9200,0,52300,1000, 
 分配股利、利润或偿付利息所支付的现金(万元),39724,--,--,119170,119170,117691,--,20862,68,68,--,39347,38205,38205,1108,38894,38894,--,0,14739,14749,14215,68,83914,83914,81478,131,12361,11600,11459,0,1108,378, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 支付其他与筹资活动有关的现金(万元),563,--,--,--,--,--,--,16586,16484,16412,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,446,256, 
 筹资活动现金流出小计(万元),40287,0,0,119170,119170,117691,0,47447,26552,26479,0,39347,38205,38205,1108,38894,38894,--,0,23739,23749,23215,9068,88414,88414,81478,131,26061,20800,20659,0,53853,1634, 
 筹资活动产生的现金流量净额(万元),-40278,1472,2310,-118207,-118770,-117691,0,656629,677525,677597,0,-39347,-38205,-38205,-1108,-38894,-38894,--,0,-23739,-23749,-23215,-9068,-88414,-88414,-81478,-131,-26061,-20800,-20659,0,233347,258366, 
 汇率变动对现金及现金等价物的影响(万元),138,141,134,-209,80,106,293,-89,40,3,-4,-757,-646,-367,-167,-530,-370,-134,-14,-10,-1,6,40,-591,-750,-675,-430,-635,-529,-217,-78,-288,-56, 
 现金及现金等价物净增加额(万元),353455,135844,77006,34969,53274,-131065,73656,-20841,94678,343945,-21977,-552685,-670247,-450832,-198605,-166392,-416970,-341833,-5999,846731,846650,167187,292620,-747964,-586276,-307569,-268050,1208963,1233937,1007626,267705,501973,419703, 
 加:期初现金及现金等价物余额(万元),1266439,1266439,1266439,1231470,1231470,1231470,1231470,1252311,1252311,1252311,1252311,1804996,1804996,1804996,1804996,1971388,1971388,1971388,1971388,1124657,1124657,1124657,1124657,1872621,1872621,1872621,1872621,663658,661269,663586,663755,161685,161454, 
 期末现金及现金等价物余额(万元),1619895,1402283,1343445,1266439,1284744,1100405,1305126,1231470,1346989,1596255,1230333,1252311,1134749,1354164,1606391,1804996,1554418,1629555,1965389,1971388,1971307,1291844,1417276,1124657,1286345,1565052,1604571,1872621,1895206,1671212,931459,663658,581157, 
 净利润(万元),--,73414,--,122780,--,83510,--,86768,--,64403,--,64559,--,61429,--,130638,--,73081,0,115165,--,52152,0,54165,0,35127,--,203830,196415,102662,30966,31935,4928, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 资产减值准备(万元),--,235,--,4857,--,--,--,16574,--,--,--,-573,--,-230,--,2469,--,-70,0,-30,--,-15,0,-832,0,-0,--,8249,-829,600,-0,7319,584, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,3183,--,6878,--,3643,--,7455,--,3600,--,7277,--,3496,--,6407,--,2980,0,4010,--,1746,0,3050,0,1422,--,4353,3489,3062,1211,3367,1738, 
 无形资产摊销(万元),--,967,--,1504,--,684,--,875,--,417,--,949,--,489,--,871,--,481,0,944,--,463,0,749,0,304,--,1627,1251,1033,540,583,703, 
 长期待摊费用摊销(万元),--,1643,--,3821,--,1709,--,2855,--,1338,--,1857,--,729,--,1152,--,387,0,668,--,190,0,462,0,126,--,827,368,381,170,35,11, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,3,--,89,--,-49,--,44,--,9,--,187,--,34,--,157,--,7,0,141,--,-5,0,160,0,39,--,590,22,21,81,410,160, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 公允价值变动损失(万元),--,-21593,--,13539,--,-24697,--,-10410,--,-13990,--,825,--,-356,--,2496,--,265,0,656,--,-2247,0,43415,0,58218,--,-39357,-71873,-35670,-21476,-11887,-733, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,68,--,--,0,390,0,--,--,856,0,--,0,1090,1, 
 投资损失(万元),--,-13823,--,-45127,--,--,--,-29,--,--,--,-17,--,--,--,-2,--,--,0,-1209,--,-243,0,-39233,0,-60975,--,-153159,-100323,-45819,-92,-22364,-2340, 
 递延所得税资产减少(万元),--,4496,--,-6632,--,362,--,-3614,--,605,--,-132,--,-84,--,-890,--,-320,0,1,--,149,0,663,0,87001,--,-25,-11,-163,2739,404,--, 
 递延所得税负债增加(万元),--,2876,--,--,--,5862,--,2235,--,3044,--,6,--,231,--,-158,--,304,0,-523,--,194,0,-10494,0,-7087,--,9245,23448,11421,7022,1982,--, 
 存货的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,-35,0,-6127,--,22,0,-82,-42968,-130,--, 
 经营性应收项目的减少(万元),--,74885,--,-255332,--,1182,--,-1057580,--,-404360,--,-33905,--,-148643,--,27762,--,138391,0,-452409,--,-162586,0,-119664,0,368,--,183769,-114058,34488,-2979,79030,22458, 
 经营性应付项目的增加(万元),--,457586,--,107986,--,-77268,--,289206,--,17787,--,-532522,--,-317421,--,-284766,--,-552758,0,1211292,--,304739,0,-607213,0,-269079,--,1068627,1364978,988056,292718,175653,132195, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 其他(万元),--,--,--,--,--,--,--,578,--,--,--,406,--,--,--,418,--,--,0,241,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 经营活动产生现金流量净额(万元),--,584042,--,-45106,--,-5061,--,-665043,--,-327148,--,-491084,--,-400325,--,-113444,--,-337252,0,879014,--,194538,0,-674416,0,-160662,--,1289454,1302877,1059992,267934,267427,159704, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 现金的期末余额(万元),1619895,1402283,1343445,1266439,1284744,1100405,1305126,1231470,1346989,1596255,1230333,1252311,1134749,1354164,1606391,1804996,1554418,1629555,1965389,1971388,1971307,1291844,1417276,1124657,1286345,1565052,1604571,1872621,1895206,1671212,931459,663658,581157, 
 现金的期初余额(万元),1266439,1266439,1266439,1231470,1231470,1231470,1231470,1252311,1252311,1252311,1252311,1804996,1804996,1804996,1804996,1971388,1971388,1971388,1971388,1124657,1124657,1124657,1124657,1872621,1872621,1872621,1872621,663658,661269,663586,663755,161685,161454, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 现金及现金等价物的净增加额(万元),353455,135844,77006,34969,53274,-131065,73656,-20841,94678,343945,-21977,-552685,-670247,-450832,-198605,-166392,-416970,-341833,-5999,846731,846650,167187,292620,-747964,-586276,-307569,-268050,1208963,1233937,1007626,267705,501973,419703, 

