 报告日期,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,1692,--,545,--,787,--,531,--,1631,--,920,--,1616,--,238,--,1709,--,759,--,2429,--,313,--,-455,--,-270,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,10386,--,5244,--,9531,--,4680,--,9598,--,4719,--,10109,--,5016,0,9940,--,4842,--,8089,--,3468,--,6697,--,3342,--, 
 无形资产摊销(万元),--,487,--,244,--,476,--,236,--,460,--,248,--,659,--,322,--,726,--,374,--,669,--,333,--,667,--,312,--, 
 长期待摊费用摊销(万元),--,39,--,22,--,104,--,87,--,168,--,116,--,160,--,80,--,79,--,1,--,3,--,2,--,8,--,6,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,7,--,--,--,-48,--,-2,--,38,--,38,--,2,--,22,--,-521,--,5,--,1,--,0,--,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,-2,--,--,--,--,--,--,--,--,--,--,--,5,--,--,--,4,--,--,--,-10,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,13357,--,5662,--,12141,--,5132,--,7706,--,2962,--,5446,--,2171,--,7732,--,4251,--,7793,--,2632,--,3799,--,1764,--, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,-3,--,-2,--,--,--,--,--,--,--,--,--,--,--,--,--,-23,--,--,--, 
 递延所得税资产减少(万元),--,-768,--,-212,--,839,--,264,--,687,--,-59,--,-186,--,-64,--,-1354,--,-208,--,-119,--,-108,--,134,--,89,--, 
 递延所得税负债增加(万元),--,-12,--,-6,--,-1,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-4846,--,3781,--,-7381,--,-326,--,4112,--,659,--,-11456,--,-3686,--,-5959,--,-968,--,-8330,--,-2697,--,-7417,--,-4114,--, 
 经营性应收项目的减少(万元),--,-10988,--,-24396,--,-3290,--,-27103,--,-9013,--,-21712,--,-8254,--,-15540,0,-10377,--,-8024,--,113,--,-8901,--,-12492,--,-3531,--, 
 经营性应付项目的增加(万元),--,-11888,--,-4493,--,-13368,--,15010,--,-12359,--,14852,--,2417,--,8469,0,20132,--,-7693,--,6318,--,11489,--,15429,--,9428,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,1153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,1038,--,-12268,--,5069,--,1597,--,6650,--,5949,--,1997,--,-2083,--,13801,--,-6045,--,12464,--,7649,--,8517,--,9164,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),16351,21789,10321,17034,18052,12952,6571,16180,12927,20278,11161,12443,15684,11541,18014,20400,23344,13457,23370,26753,30452,28423,26642,31121,33768,22859,29192,20095,13854, 
 现金的期初余额(万元),21789,12952,12952,12952,12952,20278,20278,20278,20278,11541,11541,11541,11541,13457,13457,13457,13457,28423,28423,28423,28423,22859,22859,22859,22859,22373,22373,22373,22373, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-5438,8837,-2631,4082,5100,-7327,-13707,-4098,-7351,8738,-380,902,4143,-1916,4558,6944,9887,-14966,-5053,-1670,2029,5564,3783,8263,10909,486,6819,-2278,-8519, 

