 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31, 
 无形资产摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,7, 
 长期待摊费用摊销(万元),--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,3, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-6,-2, 
 固定资产报废损失(万元),--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,2411,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,9,--,--,--,--,0,42, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,-40,--,-40,--,-4,--,--,-264,-2906, 
 递延所得税资产减少(万元),19,--,-50,--,-6,--,6,--,6,--,43,--,7,--,1,--,--,0,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 存货的减少(万元),14,--,-6229,--,-3544,--,-2561,--,-3174,--,-3656,--,-1772,--,1370,--,--,77,398, 
 经营性应收项目的减少(万元),-505,--,1851,--,-153,--,-1880,--,-49,--,524,--,1921,--,893,--,--,-1390,-302, 
 经营性应付项目的增加(万元),-2054,--,1479,--,-436,--,642,--,1329,--,-27274,--,-1924,--,-3784,--,--,5418,4609, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 其他(万元),394,--,--,--,136,--,--,--,--,--,-17606,--,391,--,-299,--,--,0,--, 
 经营活动产生现金流量净额(万元),-1311,--,326,--,-2930,--,-542,--,-808,--,-4116,--,364,--,1467,--,--,34,-6, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 现金的期末余额(万元),2573,4303,4044,3953,904,4866,3726,3696,3461,3324,4272,7394,7830,4136,7538,--,--,136,618, 
 现金的期初余额(万元),4044,4009,3726,3726,3726,3726,4272,4272,4272,4481,9974,9985,7538,7538,1822,--,--,130,646, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 现金及现金等价物的净增加额(万元),-1471,294,318,227,-2823,1140,-546,-772,-811,-1158,-5702,-2591,292,-3402,5715,--,--,5,-28, 

