 报告日期,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 存放中央银行和同业款项净增加额(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 支付保单红利的现金(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 支付给职工以及为职工支付的现金(万元),8540,5504,3346,1649,7754,4361,3205,1622,6443,3964,2808,1313,5354,3591,2381,1074, 
 支付的各项税费(万元),8991,7117,3557,1549,10499,10037,7195,2450,20223,12849,9308,2033,10491,7714,6385,2481, 
 支付的其他与经营活动有关的现金(万元),6438,3645,4662,41,2821,16993,12077,3084,7505,5347,3884,1796,19108,9446,4404,2008, 
 经营活动现金流出小计(万元),42355,32733,21217,6907,34500,56733,48272,10897,54374,37890,23519,7851,49328,34429,21493,7995, 
 经营活动产生的现金流量净额(万元),40248,29510,14470,10705,29042,3308,-8452,1528,31382,27506,18265,10807,32596,23939,13411,7041, 
 收回投资所收到的现金(万元),311,48427,7064,3569,13732,11209,7047,5279,9928,6267,3187,728,33822,16867,7605,1957, 
 取得投资收益所收到的现金(万元),--,--,--,33,64,53,155,225,1082,845,477,161,6401,595,68,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),890,600,600,0,1605,1002,940,--,33,2,2,2,21,1,1,5, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,0,--,--,0,--,--,--,0,0,--,--,0,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,0,--,--,1,--,--,--,0,0,--,1453,64,64, 
 减少质押和定期存款所收到的现金(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 投资活动现金流入小计(万元),1201,49027,7664,3603,15401,12265,8143,5504,11043,7114,3666,890,40243,18915,7738,2026, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),16167,11988,10050,91,49240,741,687,371,1279,774,773,437,3481,1537,568,214, 
 投资所支付的现金(万元),--,47653,3703,3142,18959,14144,10298,6877,11929,8098,5148,1629,9759,6557,3956,1990, 
 质押贷款净增加额(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,0,--,--,0,--,--,--,0,0,--,--,0,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,0,--,--,6,4,--,--,0,0,--,--,0,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 投资活动现金流出小计(万元),16167,59642,13753,3233,68199,14885,10991,7252,13208,8872,5921,2065,13240,8094,4525,2204, 
 投资活动产生的现金流量净额(万元),-14967,-10615,-6090,370,-52797,-2621,-2847,-1748,-2165,-1758,-2255,-1175,27003,10822,3214,-178, 
 吸收投资收到的现金(万元),--,--,--,0,81,--,0,--,184,--,0,0,--,--,0,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,0,--,--,0,--,184,--,0,--,--,--,0,--, 
 取得借款收到的现金(万元),--,--,--,0,26169,150,0,--,650,650,500,200,2900,2700,2700,2300, 
 发行债券收到的现金(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 收到其他与筹资活动有关的现金(万元),0,--,--,0,--,--,0,--,--,--,0,0,--,--,0,0, 
 筹资活动现金流入小计(万元),--,--,--,0,26250,150,0,--,834,650,500,200,2900,2700,2700,2300, 
 偿还债务支付的现金(万元),150,150,20,0,10665,650,650,500,47700,47700,2700,2400,2900,2700,2700,2400, 
 分配股利、利润或偿付利息所支付的现金(万元),9,9,7,2,7312,2256,2251,2248,2907,3659,3632,3624,10409,9830,3428,81, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 支付其他与筹资活动有关的现金(万元),186,--,--,0,--,--,0,--,605,--,0,0,--,--,0,--, 
 筹资活动现金流出小计(万元),344,159,27,2,17977,2906,2901,2748,51212,51359,6332,6024,13309,12530,6128,2481, 
 筹资活动产生的现金流量净额(万元),-344,-159,-27,-2,8274,-2756,-2901,-2748,-50378,-50709,-5832,-5824,-10409,-9830,-3428,-181, 
 汇率变动对现金及现金等价物的影响(万元),0,--,--,0,--,--,0,--,--,--,0,0,--,--,0,--, 
 现金及现金等价物净增加额(万元),24937,18736,8353,11073,-15482,-2069,-14200,-2968,-21162,-24961,10178,3808,49190,24930,13196,6682, 
 加:期初现金及现金等价物余额(万元),60833,60833,60833,60833,76315,76315,76315,73347,97477,97477,97477,97477,48286,48286,48286,48286, 
 期末现金及现金等价物余额(万元),85770,79569,69186,71906,60833,74246,62115,76315,76315,72516,107655,101285,97477,73217,61483,54969, 
 净利润(万元),24189,--,15844,0,8446,0,11440,--,24110,17172,13182,0,11892,13940,9207,--, 
 少数股东损益(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 未确认的投资损失(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 资产减值准备(万元),4703,--,512,0,5374,--,0,--,2368,--,0,0,1310,-189,-189,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),8640,--,3873,0,7804,0,5242,--,7600,5916,3765,0,7832,5921,3747,--, 
 无形资产摊销(万元),40,--,20,0,42,--,21,--,44,27,21,0,34,24,20,--, 
 长期待摊费用摊销(万元),40,--,21,0,18,--,1,--,8,29,4,0,235,190,145,--, 
 待摊费用的减少(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 预提费用的增加(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-227,--,-134,0,11260,--,-421,--,-17,--,0,0,--,15,15,--, 
 固定资产报废损失(万元),--,--,--,0,--,--,0,--,5,--,0,0,629,--,0,--, 
 公允价值变动损失(万元),-1437,--,-1374,0,2113,--,1810,--,-264,-380,-106,0,--,30,2,--, 
 递延收益增加(减：减少)(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 预计负债(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 财务费用(万元),9,--,--,0,26,--,-157,--,84,80,2807,0,5331,3458,2123,--, 
 投资损失(万元),-845,--,-693,0,-880,--,-93,--,-6565,-6684,-6316,0,-622,-844,-596,--, 
 递延所得税资产减少(万元),-532,--,246,0,-1161,--,0,--,1785,1458,1458,0,-507,--,0,--, 
 递延所得税负债增加(万元),--,--,--,0,-66,0,0,--,66,--,0,0,--,--,0,--, 
 存货的减少(万元),691,--,464,0,-0,--,49,--,1969,-453,-52,0,-903,-67,308,--, 
 经营性应收项目的减少(万元),8969,--,792,0,875,0,-10263,--,1068,3733,7298,0,-2140,3800,6248,--, 
 经营性应付项目的增加(万元),-3992,--,-5101,0,-4812,0,-16081,--,-878,6609,-3794,0,9503,-2340,-7621,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,0,--,--,0,--,--,--,0,--,--,--,0,--, 
 其他(万元),--,--,--,0,3,--,0,--,--,--,0,0,--,--,0,--, 
 经营活动产生现金流量净额(万元),40248,--,14470,0,29042,--,-8452,--,31382,27506,18265,0,32596,23939,13411,--, 
 债务转为资本(万元),--,--,--,0,--,--,0,--,--,--,0,0,--,--,0,--, 
 一年内到期的可转换公司债券(万元),--,--,--,0,--,--,0,--,--,--,0,0,--,--,0,--, 
 融资租入固定资产(万元),--,--,--,0,--,--,0,--,--,--,0,0,--,--,0,--, 
 现金的期末余额(万元),85770,79569,69186,71906,60833,74246,62115,76315,76315,72516,107655,101285,97477,73217,61483,54969, 
 现金的期初余额(万元),60833,60833,60833,60833,76315,76315,76315,73347,97477,97477,97477,97477,48286,48286,48286,48286, 
 现金等价物的期末余额(万元),--,--,--,0,--,--,0,--,--,--,0,0,--,--,0,--, 
 现金等价物的期初余额(万元),--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--, 
 现金及现金等价物的净增加额(万元),24937,18736,8353,11073,-15482,-2069,-14200,-2968,-21162,-24961,10178,3808,49190,24930,13196,6682, 

