 报告日期,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-3,--,--,--,--,--,--,--,-152,10,10,--,--,--,0,--,--,--,0,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,26371,--,0,--,106,--,0,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 投资活动现金流入小计(万元),0,0,12,15,0,0,-1,0,0,0,10,9,9,457,25,12,0,0,0,0,0,0,0,0,0,-3,0,0,--,--,--,--,--,3004,13,13,0,26450,4049,49,49,2800,1782,1527,134, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),--,--,1,1,--,7,--,--,--,--,53,39,2,187,75,26,--,25,9,--,--,2,2,1,--,0,2,0,--,14,--,--,--,427,380,338,44,474,189,132,95,653,2387,0,1244, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,8300,--,--,--,500,--,--,--,--,--,--,--,2000,2000,2000,--,128,3159,100,--,--,--,--,--,0,--,0,--,--,--,0,0,--,--,0,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,500,500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,0,--, 
 支付的其他与投资活动有关的现金(万元),--,--,9110,--,--,--,--,--,--,889,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,152,--,--,35,4,--,9239,7246,2283,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 投资活动现金流出小计(万元),0,0,9111,1,0,7,0,0,0,9189,53,39,2,687,575,526,0,25,9,0,0,2002,2002,2001,0,129,3161,100,--,14,--,--,--,427,380,489,44,474,225,136,95,9892,9633,2283,1244, 
 投资活动产生的现金流量净额(万元),0,0,-9099,14,0,-7,-1,0,0,-9189,-44,-30,7,-230,-550,-514,0,-25,-9,0,0,-2002,-2002,-2001,0,-131,-3161,-100,--,-14,--,--,--,2576,-367,-477,-44,25976,3824,-87,-46,-7091,-7852,-756,-1110, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,250,100,0,--,450,450,420,420,--,--,0,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,0,--, 
 取得借款收到的现金(万元),--,--,--,9000,--,--,--,--,--,--,980,980,980,194,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,160,160,--,1000,1000,1000,1000,--,0,0,0,14632,28266,23487,13335, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,300,--,--,--,--,1000,1000,--,--,--,--,--,48695,48695,48695,9900,4000,3000,--,--,--,1400,1400,--,0,--,0,--,--,--,0,0,1,--,7,7, 
 筹资活动现金流入小计(万元),0,0,0,9000,0,0,0,0,0,800,980,980,980,194,1000,1000,0,0,0,0,0,48695,48695,48695,9900,4000,3000,0,--,--,1560,1560,--,1250,1100,1000,1000,450,450,420,420,14633,28266,23494,13342, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,1022,1022,1022,472,--,--,--,--,--,--,--,10100,6973,--,--,--,--,--,--,--,--,--,--,3249,149,0,--,10919,4247,50,0,17037,30941,23658,13095, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,51,34,16,65,97,80,33,65,154,--,--,--,--,--,--,--,--,--,--,--,78,78,18,597,591,272,505,358,207,134,89,2422,2729,1790,789, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,0,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,278,278,--,--,--,--,--,--,510,510,--,--,--,--,--,--,--,--,6450,0,--,0,31,--,--,0,--,--,--,0,--, 
 筹资活动现金流出小计(万元),0,0,0,0,0,0,0,0,0,0,1073,1056,1039,537,375,359,33,65,154,0,0,10100,7483,510,0,0,0,0,--,--,78,78,6468,3846,739,272,537,11277,4454,184,89,19459,33670,25448,13884, 
 筹资活动产生的现金流量净额(万元),0,0,0,9000,0,0,0,0,0,800,-93,-76,-59,-342,625,641,-33,-65,-154,0,0,38595,41212,48185,9900,4000,3000,0,--,--,1482,1482,-6468,-2596,361,728,463,-10827,-4004,236,331,-4826,-5404,-1954,-542, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0,--,--,--,--,--,0,--,--,-73,--,--,0,0,--,-58,-45,-26, 
 现金及现金等价物净增加额(万元),7,5,-9127,9042,-0,3,4,4,-1,-13028,-11522,-11655,-11479,11863,-687,284,738,-1464,-1374,-19,-25,31,38330,43695,3,-3,148,0,-1,-3133,356,-78,-6071,-7302,-2044,-2471,4097,16359,-45,5,69,-12399,-11531,-1916,-383, 
 加:期初现金及现金等价物余额(万元),3,3,9130,88,8,4,4,4,3,13033,13033,13033,13033,1169,1169,1169,1498,2633,3372,33,33,2,2,2,2,5,5,5,4,3138,3138,3138,9588,16890,16890,16890,16890,531,531,531,531,12929,12929,12929,11714, 
 期末现金及现金等价物余额(万元),10,8,3,9130,7,8,8,8,2,4,1510,1378,1554,13033,482,1453,2236,1169,1999,14,8,33,38332,43697,5,2,153,5,5,5,3494,3060,3517,9588,14846,14419,20987,16890,485,536,600,531,1398,11013,11331, 
 净利润(万元),--,-1939,-18045,-81610,--,-2227,--,-1370,--,-9887,--,24,--,977,--,234,--,2015,--,346,--,-7349,--,-1601,--,281,--,-1419,--,-58845,--,-23218,0,5908,0,4159,--,13078,--,-2388,--,-8885,--,-2199,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 资产减值准备(万元),--,1,17983,77396,--,1092,--,-0,--,3229,--,-558,--,319,--,-14,--,-589,--,1,--,562,--,93,--,-171,--,6,--,30042,--,--,--,1875,--,365,--,5114,--,0,--,1219,--,45,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1,2,10,--,1,--,1,--,4,--,22,--,40,--,22,--,63,--,2,--,3,--,2,--,249,--,11,--,490,--,-5483,0,1062,0,448,--,917,--,526,--,2200,--,2262,--, 
 无形资产摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,--,21,--,4109,--,21827,--,4560,--,2263,--,217,--,44,--,184,--,583,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,53,--,27,--,18,--,27,--,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62,--,4,--,28,--,24,--,17,--,8,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--,--,--,--,--,--,-4,--,-70,--,8,--,4,--,--,--,--,--,--,--,--,--,--,--,-323,--,-282,--,-712,--,-2134,--,-88,--,-31,--,59,--,50,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,--,--,--,5,--,0,--,206,--,-34,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 财务费用(万元),--,772,1095,1531,--,2821,--,771,--,2588,--,805,--,2797,--,1256,--,2498,--,784,--,3852,--,1208,--,3083,--,1014,--,4581,--,967,--,2594,--,1519,--,2227,--,1322,--,2963,--,1374,--, 
 投资损失(万元),--,--,-4829,--,--,-2633,--,1,--,3600,--,30,--,520,--,52,--,-135,--,118,--,1310,--,120,--,-2671,--,114,--,908,--,--,--,-4573,--,2120,--,-961,--,-351,--,747,--,174,--, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,-75,--,--,--,91,--,--,--,--,--,--,--,--,--,--,--,43,--,--,--,-43,--,--,--,--,--,0,--,--,--,0,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-488,0,-2052,0,-1779,--,--,--,0,--,--,--,0,--, 
 存货的减少(万元),--,--,--,--,--,--,--,--,--,--,--,-2737,--,546,--,-324,--,1232,--,--,--,--,--,--,--,--,--,--,--,12704,--,-316,--,-7339,--,-4895,--,1031,--,122,--,1,--,-1195,--, 
 经营性应收项目的减少(万元),--,-0,-2,-7435,--,-4,--,-15,--,-2321,--,-4268,--,9246,--,-4138,--,-1880,--,-805,--,-33047,--,-541,--,-706,--,-96,--,2118,--,5288,0,-3976,0,-705,--,-198,--,4942,--,108,--,564,--, 
 经营性应付项目的增加(万元),--,1171,3766,10163,--,906,--,589,--,-1869,--,-4888,--,-1873,--,3062,--,-4673,--,-465,--,-1893,--,-1770,--,-3951,--,450,--,1054,--,-3273,0,-4624,0,-4087,--,7213,--,-4346,--,701,--,-675,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 其他(万元),--,--,--,-27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3418,--,-27,--,--,--,-27373,--,0,--,0,--,0,--, 
 经营活动产生现金流量净额(万元),--,5,-28,28,--,10,--,4,--,-4639,--,-11549,--,12436,--,157,--,-1374,--,-19,--,-36563,--,-2489,--,-3869,--,100,--,-3118,--,-1560,--,-7282,--,-2723,--,1210,--,-135,--,-481,--,958,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 现金的期末余额(万元),10,8,3,9130,7,8,8,8,2,4,1510,1378,1554,13033,482,1453,2236,1169,1999,14,8,33,38332,43697,5,2,153,5,5,5,3494,3060,3517,9588,14846,14419,20987,16890,485,536,600,531,1398,11013,11331, 
 现金的期初余额(万元),3,3,9130,88,8,4,4,4,3,13033,13033,13033,13033,1169,1169,1169,1498,2633,3372,33,33,2,2,2,2,5,5,5,4,3138,3138,3138,9588,16890,16890,16890,16890,531,531,531,531,12929,12929,12929,11714, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 现金及现金等价物的净增加额(万元),7,5,-9127,9042,-0,3,4,4,-1,-13028,-11522,-11655,-11479,11863,-687,284,738,-1464,-1374,-19,-25,31,38330,43695,3,-3,148,0,-1,-3133,356,-78,-6071,-7302,-2044,-2471,4097,16359,-45,5,69,-12399,-11531,-1916,-383, 

