 报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 购买商品、接受劳务支付的现金(万元),526619,275096,159287,679246,511038,333986,141789,770034,618927,365437,182412,667616,497436,283221,134888,540589,379789,232498,125061,700623,516696,317394,160012,427599,312436,185556,90115,458768,333488,189804,79670, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 支付给职工以及为职工支付的现金(万元),47338,31522,18078,69459,46262,31700,17887,63946,42421,28929,17045,56104,40309,28321,16361,47538,31052,20950,11130,45597,31031,21707,12462,45963,28716,19970,10495,39881,25970,17858,9681, 
 支付的各项税费(万元),55577,26207,14186,55588,41035,30235,12910,51694,47887,33752,15087,53750,41260,25622,15996,61909,44257,25289,10019,65328,58493,44898,20570,99354,71310,46279,21988,104975,73281,44179,23949, 
 支付的其他与经营活动有关的现金(万元),18576,6402,5809,16835,31582,25188,5108,16525,21420,12979,4937,15258,14217,11399,3430,12677,13186,7600,3960,16743,27032,15776,7411,16786,16519,11177,5345,18547,25376,8688,10338, 
 经营活动现金流出小计(万元),648110,339226,197359,821128,629917,421108,177694,902198,730654,441097,219481,792728,593222,348564,170675,662713,468284,286337,150170,828292,633252,399775,200456,589702,428980,262982,127942,622171,458115,260529,123639, 
 经营活动产生的现金流量净额(万元),169906,109527,47233,122362,64919,33346,38196,107393,76197,74941,11551,108452,70230,59263,18730,216125,172449,103204,33910,16453,19083,10804,3834,160643,155072,100830,41036,126592,112690,83561,36192, 
 收回投资所收到的现金(万元),--,--,--,10611,10611,10611,10611,17810,11300,11300,11300,--,--,--,--,--,--,--,0,58852,--,0,--,0,--,--,0,0,--,--,0, 
 取得投资收益所收到的现金(万元),42705,33864,22626,18547,18547,16472,--,25185,31696,12333,4947,27911,26230,3661,374,6999,5537,1643,0,29124,20659,19280,24858,21010,19412,16814,13440,10846,10729,9588,9047, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),538,439,174,11142,12237,125,36,497,525,13,13,1014,--,--,--,36,960,79,0,233,59047,54854,117,154,1,1,1,222,178,157,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,0,0,--,--,0, 
 收到的其他与投资活动有关的现金(万元),39,465,--,469,78,48,16,744,105,92,--,760,26,16,7,847,22,15,8,1021,--,0,--,730,--,--,0,614,1,317,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 投资活动现金流入小计(万元),43282,34769,22800,40770,41473,27256,10663,44237,43626,23738,16260,29685,26256,3677,381,7881,6519,1737,8,89229,79706,74134,24976,21894,19413,16815,13441,11683,10909,10061,9047, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),31004,22067,9561,108510,87418,66930,34806,64289,21283,17655,9148,25438,13645,7715,3664,41595,24772,14352,7949,55032,34248,25294,12565,196651,140617,96489,35612,166757,81056,43455,19393, 
 投资所支付的现金(万元),21565,--,--,11208,5208,5208,--,10660,10660,100,--,43672,38107,29591,6580,10609,10217,9121,241,13857,13857,0,--,15000,13500,6750,4250,17000,16200,10975,7225, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,328,--,--,--,1188,--,--,0,608,--,0,--,0,--,--,0,0,--,--,0, 
 支付的其他与投资活动有关的现金(万元),774,--,255,--,178,--,70,--,--,--,--,--,353,--,--,2504,4544,2504,2504,--,--,0,241,0,651,645,387,0,3595,--,612, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 投资活动现金流出小计(万元),53343,22067,9816,119718,92803,72138,34876,74949,31943,17755,9148,69438,52104,37305,10244,55896,39533,25977,10693,69497,48105,25294,12806,211651,154769,103884,40250,183757,100851,54430,27230, 
 投资活动产生的现金流量净额(万元),-10061,12702,12984,-78948,-51330,-44883,-24213,-30712,11682,5982,7112,-39753,-25848,-33628,-9863,-48015,-33014,-24240,-10685,19732,31601,48840,12170,-189757,-135355,-87070,-26809,-172074,-89942,-44368,-18183, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,150,150,--,--,41,397,--,--,--,--,--,0,3065,--,0,--,0,--,--,0,3360,3360,3360,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,150,--,--,--,41,41,--,--,--,--,--,0,--,--,0,--,0,--,--,--,3360,3360,3360,0, 
 取得借款收到的现金(万元),92500,44300,1450,347700,247060,220910,37730,124500,81650,35150,10100,104000,82650,51150,10000,85000,65000,25000,0,270497,245497,56000,10000,239850,156850,93150,31360,135304,64270,44300,28225, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,20,20,20,--,--,--,0,--,--,0,--,0,--,--,0,0,--,--,0, 
 筹资活动现金流入小计(万元),92500,44300,1450,347700,247060,220910,37730,124650,81800,35150,10100,104041,83067,51170,10020,85000,65000,25000,0,273562,245497,56000,10000,239850,156850,93150,31360,138664,67630,47660,28225, 
 偿还债务支付的现金(万元),186600,119750,17850,361430,222840,188560,65520,126000,81370,41600,15100,140400,91600,44000,25000,244592,183997,92000,0,202500,172500,45500,9000,99500,25500,20000,10000,22200,7500,7500,2500, 
 分配股利、利润或偿付利息所支付的现金(万元),17528,11608,6118,39482,33296,25959,6841,51466,45128,38579,5708,45421,39764,32257,6105,35134,27614,19555,10944,93202,77136,65711,9339,83085,71844,64062,6372,63299,57839,52794,4505, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,6805,6805,6805,--,3375,3375,3375,3969, 
 支付其他与筹资活动有关的现金(万元),4000,--,4000,--,--,--,--,--,--,--,--,--,--,260,260,--,183,183,0,--,99,99,--,0,--,--,0,0,--,--,0, 
 筹资活动现金流出小计(万元),208128,131358,27968,400912,256136,214519,72361,177466,126498,80179,20808,185821,131364,76517,31364,279726,211794,111738,10944,295702,249734,111310,18339,182585,97344,84062,16372,85499,65339,60294,7005, 
 筹资活动产生的现金流量净额(万元),-115628,-87058,-26518,-53212,-9076,6391,-34631,-52816,-44698,-45029,-10708,-81780,-48297,-25347,-21344,-194726,-146794,-86738,-10944,-22139,-4237,-55310,-8339,57265,59506,9088,14988,53165,2291,-12634,21220, 
 汇率变动对现金及现金等价物的影响(万元),--,5,--,-77,-89,-59,--,-43,--,--,--,96,--,--,--,-1,-1,-1,0,16,20,20,--,-35,27,27,0,-42,-20,-2,-12, 
 现金及现金等价物净增加额(万元),44216,35176,33699,-9876,4424,-5205,-20648,23822,43181,35895,7955,-12985,-3915,287,-12477,-26617,-7360,-7775,12281,14060,46467,4355,7664,28116,79250,22875,29215,7641,25019,26557,39218, 
 加:期初现金及现金等价物余额(万元),63773,63589,63773,73465,73465,73465,73465,49643,49643,49643,49643,62628,62628,62628,62628,89245,89245,89245,89245,75185,75185,75185,75185,47068,47068,47068,47068,39427,39427,39427,39427, 
 期末现金及现金等价物余额(万元),107989,98765,97473,63589,77890,68261,52817,73465,92824,85538,57598,49643,58713,62915,50151,62628,81885,81470,101526,89245,121651,79539,82849,75185,126318,69943,76283,47068,64446,65984,78645, 
 净利润(万元),--,55448,--,81115,--,40818,--,27819,--,24804,--,54335,--,13501,--,54565,--,26734,0,-6540,--,28177,--,66321,--,26721,0,83317,--,36940,0, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,5175,--,--,--,0,--,--,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 资产减值准备(万元),--,123,--,1808,--,--,--,-129,--,--,--,-134,--,--,--,28921,--,--,0,930,--,0,--,-3035,--,--,0,1638,--,190,0, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,42770,--,82584,--,40090,--,80086,--,40410,--,91066,--,43390,--,92221,--,45357,0,81859,--,39500,--,76633,--,39351,0,76905,--,37138,0, 
 无形资产摊销(万元),--,458,--,938,--,455,--,869,--,428,--,1097,--,401,--,1066,--,530,0,1216,--,455,--,1270,--,617,0,1230,--,615,0, 
 长期待摊费用摊销(万元),--,217,--,645,--,140,--,322,--,62,--,75,--,--,--,194,--,181,0,1170,--,404,--,1094,--,404,0,976,--,404,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,3706,--,-3116,--,--,--,764,--,94,--,-57,--,-14,--,1577,--,-99,0,669,--,-12,--,713,--,44,0,0,--,534,0, 
 固定资产报废损失(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,0,2700,--,--,0, 
 公允价值变动损失(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,-227,--,-78,--,227,--,--,0,0,--,--,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 财务费用(万元),--,10931,--,26176,--,12588,--,23745,--,10909,--,23452,--,11722,--,31760,--,17525,0,36169,--,12527,--,17694,--,11018,0,15242,--,6912,0, 
 投资损失(万元),--,-38427,--,-50926,--,-30679,--,-23563,--,-16902,--,-32608,--,-15312,--,-32883,--,-15967,0,-49950,--,-58179,--,-29084,--,-6903,0,-21171,--,-6436,0, 
 递延所得税资产减少(万元),--,2061,--,6561,--,491,--,49,--,1542,--,1787,--,-596,--,-2086,--,2266,0,-9387,--,0,--,1852,--,--,0,-304,--,--,0, 
 递延所得税负债增加(万元),--,-65,--,-296,--,--,--,-154,--,--,--,-154,--,--,--,-154,--,--,0,-154,--,0,--,0,--,--,0,0,--,--,0, 
 存货的减少(万元),--,651,--,3532,--,2929,--,-10203,--,3980,--,-4353,--,-7252,--,14032,--,4941,0,-18169,--,-7963,--,1645,--,-1051,0,-616,--,-2328,0, 
 经营性应收项目的减少(万元),--,-358,--,-31561,--,-4825,--,-1903,--,-6014,--,-13140,--,9483,--,11652,--,15799,0,-13109,--,-790,--,4134,--,15324,0,-22494,--,-6264,0, 
 经营性应付项目的增加(万元),--,32012,--,6813,--,-28663,--,9692,--,15628,--,-12915,--,3939,--,15260,--,5936,0,-8025,--,-3237,--,16006,--,15305,0,-10829,--,15856,0, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,--,0,--,--,0, 
 其他(万元),--,--,--,-1911,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,0,0,--,--,0, 
 经营活动产生现金流量净额(万元),--,109527,--,122362,--,33346,--,107393,--,74941,--,108452,--,59263,--,216125,--,103204,0,16453,--,10804,--,160643,--,100830,0,126592,--,83561,0, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,0,0,--,--,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,0,0,--,--,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,0,0,--,--,0, 
 现金的期末余额(万元),107989,98765,97473,63589,77890,68261,52817,73465,92824,85538,57598,49643,58713,62915,50151,62628,81885,81470,101526,89245,121651,79539,82849,75185,126318,69943,76283,47068,64446,65984,78645, 
 现金的期初余额(万元),63773,63589,63773,73465,73465,73465,73465,49643,49643,49643,49643,62628,62628,62628,62628,89245,89245,89245,89245,75185,75185,75185,75185,47068,47068,47068,47068,39427,39427,39427,39427, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,0,0,--,--,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,--,0,0,--,--,0, 
 现金及现金等价物的净增加额(万元),44216,35176,33699,-9876,4424,-5205,-20648,23822,43181,35895,7955,-12985,-3915,287,-12477,-26617,-7360,-7775,12281,14060,46467,4355,7664,28116,79250,22875,29215,7641,25019,26557,39218, 

