 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 投资活动现金流入小计(万元),5768,2903,7740,6352,3820,2800,19452,8703,0,0,2232,0,0,0,2860,2750,0,0,12317,5037,3030,2017,25477,23880,19789,2207,10168,6468,0,0,--,97,97,0,5959,0,0,--,1844,0,--,--,30,30,--,--,--,--,--,0,3046,--,--, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7186,7321,23185,23734,11830,6522,5355,188,139,77,208,284,199,111,242,101,18,14,315,166,165,13,1101,381,251,44,181,24,10,--,74,32,--,--,--,--,0,--,0,1,1,1,0,0,0,0,--,--,--,0,2061,3785,3277, 
 投资所支付的现金(万元),3600,2660,150,--,--,--,13003,--,--,--,2980,2500,2500,2500,--,--,--,--,3800,--,--,--,--,--,--,--,900,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,-618,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,-660,-661,-661,-661,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,85,70,70,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 投资活动现金流出小计(万元),10786,9981,22674,23073,11169,5860,17740,188,139,77,3188,2784,2699,2611,242,101,18,14,4115,166,165,13,1101,381,251,44,1081,109,80,70,74,32,0,0,0,0,0,--,0,1,1,1,0,0,0,0,--,--,--,0,2061,3785,3277, 
 投资活动产生的现金流量净额(万元),-5018,-7078,-14934,-16721,-7349,-3060,1712,8514,-139,-77,-956,-2784,-2699,-2611,2618,2649,-18,-14,8202,4871,2865,2004,24376,23499,19538,2163,9086,6359,-80,-70,-74,65,97,0,5959,0,0,--,1844,-1,-1,-1,30,30,-0,-0,--,--,--,0,985,-3785,-3277, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,960,--,--,--,--,--,--,--,500,--,--,--,--,--,--,--,500,500,500,500,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,960,--,--,--,--,--,--,--,500,--,--,--,--,--,--,--,500,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 取得借款收到的现金(万元),7250,7250,10171,9991,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1480,1300,--,--,--,0,--,10800,0,--,--,--,--,--,--,970,--,--,0,13200,13200,1000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 收到其他与筹资活动有关的现金(万元),147,--,--,354,256,--,--,--,--,--,--,75,75,75,--,--,--,--,1003,260,260,--,--,21,--,--,--,--,0,--,1480,--,--,--,5000,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,726,43,29, 
 筹资活动现金流入小计(万元),7397,7250,10171,10345,256,0,960,0,0,0,0,75,75,75,500,0,0,0,1003,260,260,0,500,521,500,500,0,0,0,0,1480,1480,1300,0,5000,0,0,--,10800,0,--,--,--,--,--,--,970,--,--,0,13926,13243,1029, 
 偿还债务支付的现金(万元),200,200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3530,3530,3530,--,309,--,--,--,--,1490,228,--,--,--,0,--,11991,0,--,--,140,--,--,--,5,5,5,0,12227,12287,10, 
 分配股利、利润或偿付利息所支付的现金(万元),671,257,208,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,103,864,--,--,241,241,241,241,28,28,--,228,223,--,0,--,0,0,--,--,--,--,--,--,7,7,7,7,518,412,88, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 支付其他与筹资活动有关的现金(万元),913,911,1972,60,53,21,70,68,66,12,302,743,163,48,228,189,155,91,--,5,5,--,1145,--,--,--,--,309,309,309,1745,--,--,--,6541,--,0,--,0,1,1,1,--,4,4,--,--,--,--,0,7,76,51, 
 筹资活动现金流出小计(万元),1784,1368,2180,60,53,21,70,68,66,12,302,743,163,48,228,189,155,91,0,5,5,0,4778,4394,3530,0,550,550,550,550,1773,1518,228,228,6764,0,0,--,11991,1,1,1,140,4,4,--,12,12,12,7,12752,12775,149, 
 筹资活动产生的现金流量净额(万元),5613,5882,7991,10285,202,-21,890,-68,-66,-12,-302,-667,-87,27,272,-189,-155,-91,1003,255,255,0,-4278,-3873,-3030,500,-550,-550,-550,-550,-293,-38,1072,-228,-1764,0,0,--,-1191,-1,-1,-1,-140,-4,-4,--,957,-12,-12,-7,1173,468,880, 
 汇率变动对现金及现金等价物的影响(万元),--,--,27,28,27,--,-33,--,--,--,53,--,--,--,25,--,--,--,-12,--,--,--,--,--,--,--,-0,--,--,--,-0,--,--,--,-1,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 现金及现金等价物净增加额(万元),2019,645,-3459,-3917,-3727,-1694,-5886,3589,2663,2616,4243,4624,4899,487,4896,4107,3062,-1419,-4240,-4690,-864,-3630,-356,1979,250,2569,8097,4904,-395,-307,-421,-750,-896,-816,966,0,0,2,-39,-1,22,-40,-587,-574,70,377,-169,-75,220,-407,394,134,527, 
 加:期初现金及现金等价物余额(万元),3351,3351,6811,6811,6811,6811,12697,12697,12697,12697,8454,8454,8454,8454,3558,3558,3558,3558,7798,7798,7798,7798,8155,8155,8155,8155,57,552,552,552,972,972,972,972,6,--,6,--,45,45,45,--,632,632,632,632,800,800,800,800,407,407,407, 
 期末现金及现金等价物余额(万元),5370,3996,3351,2894,3084,5117,6811,16286,15360,15313,12697,13078,13353,8941,8454,7666,6620,2139,3558,3108,6934,4169,7798,10134,8405,10723,8155,5456,157,245,552,223,76,156,972,0,6,2,6,44,66,-40,45,58,702,1008,632,726,1020,393,800,540,934, 
 净利润(万元),-2517,--,656,--,-537,--,404,--,-321,--,-297,--,94,--,5237,--,11912,--,7324,--,1723,--,9993,--,8601,--,3289,--,-1766,--,273,--,-439,--,290,--,-482,--,20033,0,12845,0,15492,0,-6738,--,-57503,--,-32897,0,-39115,--,1699, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,-1580,0,0,--,-18, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 资产减值准备(万元),47,--,45,--,--,--,648,--,--,--,744,--,--,--,641,--,--,--,423,--,--,--,-250,--,-145,--,454,--,0,--,1,--,--,--,632,--,0,--,-83411,0,21578,--,25928,--,--,--,19935,--,18635,0,17985,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),110,--,226,--,83,--,175,--,52,--,276,--,46,--,94,--,96,--,253,--,117,--,216,--,65,--,271,--,139,--,295,--,137,--,335,--,101,--,579,0,112,0,2792,0,4077,--,7194,--,4026,0,5459,--,1690, 
 无形资产摊销(万元),103,--,197,--,193,--,75,--,3,--,15,--,7,--,24,--,16,--,58,--,30,--,86,--,33,--,120,--,31,--,62,--,31,--,62,--,31,--,305,0,51,--,407,--,99,--,282,--,33,0,170,--,--, 
 长期待摊费用摊销(万元),3,--,21,--,10,--,15,--,9,--,16,--,9,--,839,--,116,--,228,--,79,--,66,--,12,--,8,--,4,--,--,--,--,--,--,--,0,--,0,0,201,--,5,--,2,--,21,--,2,0,5,--,2, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-83,--,-453,--,2,--,-6631,--,-2,--,-478,--,7,--,-10283,--,-10361,--,-11282,--,-3475,--,--,--,-9421,--,-10880,--,876,--,--,--,-97,--,-1064,--,0,--,0,0,6891,--,--,--,--,--,--,--,--,0,-754,--,--, 
 固定资产报废损失(万元),--,--,0,--,--,--,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,7891,0,0,--,--,--,--,--,--,--,--,0,0,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 财务费用(万元),--,--,0,--,--,--,--,--,--,--,-53,--,--,--,-28,--,28,--,186,--,--,--,103,--,73,--,231,--,--,--,338,--,--,--,476,--,0,--,204,0,1,--,20012,--,2214,--,7249,--,--,0,8355,--,547, 
 投资损失(万元),--,--,-1965,--,--,--,-150,--,--,--,-3,--,1,--,-1142,--,-4,--,-23,--,-12,--,16,--,-8,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,-18944,--,--,--,--,--,--,--,--,0,4531,--,--, 
 递延所得税资产减少(万元),--,--,78,--,--,--,--,--,--,--,--,--,--,--,6,--,--,--,--,--,--,--,76,--,--,--,-108,--,--,--,--,--,--,--,--,--,0,--,12930,0,0,--,21784,--,--,--,31,--,--,0,0,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,--,--,--,--,--,0,0,--,--, 
 存货的减少(万元),1324,--,8307,--,6480,--,10732,--,5452,--,25688,--,14079,--,-10283,--,11215,--,-32597,--,-6758,--,-15905,--,-15768,--,1921,--,-1681,--,-2196,--,-262,--,-645,--,0,--,-1092,0,0,--,4536,--,161,--,9708,--,8928,0,9662,--,6065, 
 经营性应收项目的减少(万元),-1202,--,-5898,--,2724,--,634,--,1763,--,1218,--,-113,--,1726,--,1593,--,3168,--,1968,--,-13286,--,490,--,-1269,--,-74,--,1123,--,-1372,--,-2918,--,3,--,11781,0,9422,0,28765,0,527,--,1963,--,5526,0,-12371,--,-4039, 
 经营性应付项目的增加(万元),3639,--,2243,--,-5562,--,-14360,--,-4087,--,-21679,--,-6446,--,15152,--,-11375,--,18830,--,2344,--,-1572,--,-189,--,5525,--,2706,--,50,--,-63,--,-396,--,347,--,1077,0,-32134,0,-11887,0,-268,--,9996,--,-2441,0,4310,--,-3023, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,29010,0,0,--,-108310,--,--,--,--,--,--,0,0,--,--, 
 经营活动产生现金流量净额(万元),1425,--,3457,--,3393,--,-8455,--,2869,--,5448,--,7685,--,1981,--,3236,--,-13433,--,-3984,--,-20455,--,-16257,--,-439,--,236,--,-53,--,-2065,--,-3227,--,0,--,-692,0,24,--,-477,--,74,--,-1126,--,232,0,-1764,--,2924, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 现金的期末余额(万元),5370,3996,3351,2894,3084,5117,6811,16286,15360,15313,12697,13078,13353,8941,8454,7666,6620,2139,3558,3108,6934,4169,7798,10134,8405,10723,8155,5456,157,245,552,223,76,156,972,0,6,2,6,44,66,-40,45,58,702,1008,632,726,1020,393,800,540,934, 
 现金的期初余额(万元),3351,3351,6811,6811,6811,6811,12697,12697,12697,12697,8454,8454,8454,8454,3558,3558,3558,3558,7798,7798,7798,7798,8155,8155,8155,8155,57,552,552,552,972,972,972,972,6,--,6,0,45,45,45,0,632,632,632,632,800,800,800,800,407,407,407, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 现金及现金等价物的净增加额(万元),2019,645,-3459,-3917,-3727,-1694,-5886,3589,2663,2616,4243,4624,4899,487,4896,4107,3062,-1419,-4240,-4690,-864,-3630,-356,1979,250,2569,8097,4904,-395,-307,-421,-750,-896,-816,966,0,0,2,-39,-1,22,-40,-587,-574,70,377,-169,-75,220,-407,394,134,527, 

