 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),57,115,98,75,38,148,95,67,42,125,107,82,51,88,64,51,37,137,47,40,16,138,83,62,55,147,117,89,53,800,780,759,717,221,179,128,1597,1233,649,210,494, 
 经营活动现金流入小计(万元),57,148,98,75,38,183,96,72,44,149,161,84,95,298,176,77,57,173,77,61,21,205,144,99,76,310,225,145,77,893,816,787,736,480,333,249,1948,3090,2805,1073,1840, 
 购买商品、接受劳务支付的现金(万元),7,4,6,6,3,10,0,0,1,9,51,2,44,169,105,21,16,26,19,17,3,56,52,32,21,106,59,7,6,23,19,69,15,92,66,58,163,493,524,627,1093, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),14,83,46,29,16,121,53,40,28,65,44,32,17,26,16,10,6,19,14,10,5,24,15,7,4,54,35,22,19,85,80,12,51,116,80,44,85,148,100,71,57, 
 支付的各项税费(万元),9,31,21,14,7,24,18,13,5,20,11,6,5,31,20,15,6,29,21,15,5,18,6,5,0,32,22,19,1,31,27,22,4,45,39,30,61,271,207,41,60, 
 支付的其他与经营活动有关的现金(万元),24,36,36,31,21,57,25,19,10,70,66,60,42,75,35,32,28,100,21,18,8,111,66,54,53,116,108,96,47,772,720,695,64,215,158,116,1697,2165,2157,304,30138, 
 经营活动现金流出小计(万元),54,154,108,80,48,212,96,72,43,163,173,101,109,300,176,78,55,172,76,60,22,209,140,98,77,308,224,143,73,912,845,798,134,467,342,247,2007,3077,2989,1043,31347, 
 经营活动产生的现金流量净额(万元),2,-6,-10,-5,-10,-29,-0,0,1,-14,-12,-16,-14,-1,0,-1,1,1,1,1,-1,-4,3,1,-1,2,1,2,4,-19,-30,-11,602,13,-9,2,-59,13,-183,31,-29507, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,200,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,11, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,14,14,14,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,17,2,--,0,--,--,20,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,2,0,0,0,0,20,0,200,0,11, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,0,--,--,--,0,0,--,--,6,1,--,6,1,26,17,1, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,6,1,26,17,1, 
 投资活动产生的现金流量净额(万元),0,-0,0,0,0,0,0,0,0,14,14,14,14,0,0,0,0,-0,-0,-0,0,-0,-0,-0,0,-0,0,0,0,1,17,2,0,-6,-1,0,14,-1,174,-17,10, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,13,10, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,--,--,--,21,0,16, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,13,26, 
 筹资活动产生的现金流量净额(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-21,-13,-26, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),2,-6,-10,-5,-10,-29,-0,0,1,-0,2,-2,0,-1,0,-1,1,0,1,1,-1,-5,3,1,-1,2,1,2,4,-17,-13,-9,602,5,-10,2,-45,12,-30,0,-29523, 
 加:期初现金及现金等价物余额(万元),9,--,15,15,15,44,44,44,44,44,44,44,44,46,46,46,46,45,45,45,45,50,50,50,50,48,48,48,48,66,66,66,66,61,61,61,105,93,124,123,29647, 
 期末现金及现金等价物余额(万元),12,--,5,10,5,15,44,44,45,44,47,42,44,44,46,44,47,46,46,46,44,45,53,51,49,50,49,50,52,48,53,57,668,66,51,63,61,105,93,124,123, 
 净利润(万元),--,-144,--,-134,--,-214,--,-130,--,-326,--,-248,--,-229,--,-154,--,-1050,--,-973,--,-1938,--,-1020,--,-2123,--,-1004,--,-1689,--,-1104,--,-2340,--,-1143,-3009,-3383,-3088,-3395,-46871, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-57,--,--,--,-34,--,--,--,-31,--,--,--,-59,--,--,--,-56,--,--,--,-70,--,--,--,149,--,--,--,-368,--,--,--,64,--,--,-1541,86,252,80,41346, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,80,--,40,--,81,--,41,--,84,--,40,--,91,--,47,--,92,--,46,--,93,--,46,--,94,--,48,--,109,--,86,--,114,--,95,754,893,918,891,1072, 
 无形资产摊销(万元),--,3,--,3,--,8,--,5,--,3,--,3,--,5,--,3,--,5,--,3,--,5,--,3,--,5,--,3,--,5,--,3,--,5,--,3,5,5,5,5,5, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--,--,--,--,--,--,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,--,45,--,0,--,--,1269,--,5,23,4, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,23,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,818,--,818,--,1636,--,818,--,1636,--,818,--,1636,--,818,--,1785,--,855,1799,1929,1922,2021,2043, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,-189,--,-11, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-1,--,--,--,1,--,0,--,110,--,109,--,10,--,-2,--,-13,--,-3,--,24,--,22,--,-17,--,0,--,11,--,3,--,10,--,-20,571,1061,624,-88,231, 
 经营性应收项目的减少(万元),--,483,--,80,--,121,--,80,--,63,--,30,--,-2,--,18,--,53,--,59,--,121,--,84,--,209,--,138,--,842,--,729,--,321,--,205,3564,-508,-1161,167,-28229, 
 经营性应付项目的增加(万元),--,-370,--,5,--,9,--,3,--,64,--,30,--,183,--,87,--,151,--,52,--,124,--,48,--,49,--,-1,--,-595,--,-590,--,53,--,8,-3493,-70,529,327,-680, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-5,--,--,--,0,--,--,--,--,--,--,1582, 
 经营活动产生现金流量净额(万元),--,-6,--,-5,--,-29,--,0,--,-14,--,-16,--,-1,--,-1,--,1,--,1,--,-4,--,1,--,2,--,2,--,-19,--,-11,--,13,--,2,-59,13,-183,31,-29507, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 现金的期末余额(万元),12,--,5,10,5,15,44,44,45,44,47,42,44,44,46,44,47,46,46,46,44,45,53,51,49,50,49,50,52,48,53,57,668,66,51,63,61,105,93,124,123, 
 现金的期初余额(万元),9,--,15,15,15,44,44,44,44,44,44,44,44,46,46,46,46,45,45,45,45,50,50,50,50,48,48,48,48,66,66,66,66,61,61,61,105,93,124,123,29647, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),2,-6,-10,-5,-10,-29,-0,0,1,-0,2,-2,0,-1,0,-1,1,0,1,1,-1,-5,3,1,-1,2,1,2,4,-17,-13,-9,602,5,-10,2,-45,12,-30,0,-29523, 

