 报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,391,--,741,--,199,0,261,--,179,0,254,--,77,--,1463,--,143,--,255,--,80,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,0,--,--,0,0,--,--,--,--,4,--,--,--,10,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 财务费用(万元),--,4096,--,13967,--,6381,0,12100,--,6064,0,13889,--,9537,--,10141,--,4809,--,7420,--,5497,--, 
 投资损失(万元),--,-205,--,-269,--,-145,0,-107,--,66,0,-16,--,170,--,449,--,-78,--,969,--,-521,--, 
 递延所得税资产减少(万元),--,313,--,-1939,--,-4,0,-435,--,-384,0,712,--,-562,--,-902,--,-47,--,190,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,0,-146,--,-51,0,139,--,-9,--,-7,--,--,--,17,--,--,--, 
 存货的减少(万元),--,-6821,--,9971,--,4581,0,-11900,--,-6912,0,-6852,--,-12818,--,9921,--,20520,--,45323,--,18361,--, 
 经营性应收项目的减少(万元),--,6411,--,-37506,--,-38466,0,-12818,--,-18874,0,-13670,--,-11371,--,-19345,--,-10944,--,-11672,--,-5360,--, 
 经营性应付项目的增加(万元),--,-8839,--,4477,--,12827,0,-6775,--,13772,0,-3085,--,7980,--,-1834,--,-5245,--,-22638,--,8844,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 其他(万元),--,--,--,-249,--,--,0,--,--,-1098,0,--,--,63,--,0,--,-1666,--,0,--,-1432,--, 
 经营活动产生现金流量净额(万元),--,9290,--,32504,--,11264,0,11781,--,10598,0,30129,--,14270,--,36413,--,18696,--,40591,--,32024,--, 
 债务转为资本(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 现金的期末余额(万元),57498,48682,51246,49945,52358,41826,58008,61624,73411,85639,91393,79647,64479,79030,88011,95679,80351,95364,80432,57770,55624,95063,86924, 
 现金的期初余额(万元),49945,49945,49945,61624,61624,61624,61624,79647,79647,79647,79647,95260,94711,95679,95679,57770,57770,57770,57770,88220,88220,88220,88220, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 现金及现金等价物的净增加额(万元),7553,-1262,1301,-11679,-9266,-19798,-3616,-18023,-6236,5992,11746,-15613,-30232,-16649,-7668,37909,22580,37594,22662,-30450,-32597,6842,-1297, 

