 报告日期,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 支付的各项税费(万元),265544,47458,291252,269698,146955,54869,310885,256252,156620,65761,227679,190679,99230,37784,179410,145375,71680,23431,132148,90405,58443,13374,63171,54074,28210,7851,40304,33437,23031,4115, 
 支付的其他与经营活动有关的现金(万元),543709,215112,875534,611517,451947,168160,994219,911000,660499,183271,832432,597424,347183,148852,560599,353117,211850,70061,480223,354012,223784,71907,384046,268918,150298,65579,267948,159007,97549,56047, 
 经营活动现金流出小计(万元),2648206,1414382,5391640,3855040,2215319,1435968,4821223,3744256,2545877,1449489,3478454,2715630,1805614,702287,2634929,1974459,1200193,473363,2760761,2102222,1501087,606239,1970717,1802283,1100896,354957,931653,826323,855704,248782, 
 经营活动产生的现金流量净额(万元),466343,163187,430655,81404,53912,-232157,295892,202787,177105,12681,544572,869109,520265,12437,205647,317958,245130,78239,375285,307200,174313,24704,163353,127691,136740,-2321,104322,145939,158334,5125, 
 收回投资所收到的现金(万元),100,100,--,--,--,--,12720,--,--,--,--,--,0,0,1441,0,0,--,3100,364,364,69,29150,28950,--,0,728,816,--,0, 
 取得投资收益所收到的现金(万元),21368,9423,34592,30073,17780,8098,39687,31132,19836,6223,10806,6639,2815,626,4698,5782,4313,--,4061,4876,4870,0,3000,3000,3000,0,0,0,--,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3033,175,1450,869,639,13,5131,3025,2452,1473,3232,2177,1661,1446,15905,1989,1343,133,2431,1263,293,4,7327,5546,845,39,14305,13,13,8, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,0,3447,-303,-303,-303,1770,--,0,0,3863,3749,373,--,722,34,0,0,0,0,--,0,0,0,--,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,158,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,--,0,0,0,--,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),24500,9698,36042,30942,18419,8111,61143,33854,21986,7393,15807,8816,4476,2072,25907,11520,6029,133,10314,6537,5527,73,39477,37496,3845,39,15033,829,13,8, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),70218,31773,152409,143335,122825,54255,385252,314688,216326,102910,393718,240078,111875,47131,112311,88986,54411,22189,202785,144627,68491,30122,118577,62050,27065,9726,83235,76721,55956,41535, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,2033,2033,2025,1143,3525,775,775,2275,25362,10304,10436,16247,294,294,--,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,17131,17331,2888,2889,147387,3000,3000,10000,43317,40819,1614,0,22827,2302,2302,--,189196,150965,112393,107950,0,15000,15000,0,3646,0,--,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,--,0,0,0,--,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),70218,31773,169540,160666,125713,57144,532638,317688,219326,112910,437035,280898,113489,47131,137171,93321,58738,23332,395506,296367,181659,140347,143939,87354,52500,25973,87176,77015,55956,41535, 
 投资活动产生的现金流量净额(万元),-45718,-22075,-133498,-129724,-107294,-49033,-471495,-283834,-197341,-105516,-421228,-272081,-109013,-45059,-111264,-81801,-52709,-23199,-385193,-289830,-176132,-140274,-104462,-49858,-48656,-25934,-72143,-76186,-55943,-41526, 
 吸收投资收到的现金(万元),--,--,9215,9215,2835,0,430437,430015,430015,430015,5199,--,0,0,326690,316129,13519,--,4536,2825,1138,569,0,0,--,0,0,0,--,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,9215,9215,2835,--,--,--,--,--,5199,--,0,0,35375,24814,13519,--,--,--,1138,569,0,0,--,--,0,0,--,0, 
 取得借款收到的现金(万元),928460,454873,1142390,1092282,737367,222756,1211984,955271,528183,289553,300075,198901,145251,67893,266424,208890,196251,79248,716205,513632,393267,231029,141739,38009,38009,29315,204658,186258,173108,26655, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,--,0,0,0,--,0, 
 筹资活动现金流入小计(万元),928460,454873,1151604,1101497,740202,222756,1642422,1385286,958198,719568,305274,198901,145251,67893,593114,525019,209770,79248,720742,516457,394405,231597,141739,38009,38009,29315,204658,186258,173108,26655, 
 偿还债务支付的现金(万元),596682,139235,1087146,699702,371300,164728,898439,578072,360618,117696,241807,164597,113167,46804,448486,410943,288135,99513,613885,441996,244579,61530,115200,51703,51703,15076,216464,211755,158150,15000, 
 分配股利、利润或偿付利息所支付的现金(万元),231016,11728,224682,212505,191475,2741,91949,79569,67493,2604,44958,40747,21526,637,70259,67130,50940,25947,80502,80468,59564,1488,47421,41423,40820,709,39771,34034,27178,1490, 
 其中：子公司支付给少数股东的股利、利润(万元),19987,6886,43568,36894,23859,--,48115,38226,27967,--,20123,19373,0,0,43782,38357,27145,--,--,--,6067,--,22507,17656,17656,--,20718,0,--,0, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,0,--,0,0,0,--,0, 
 筹资活动现金流出小计(万元),827698,150963,1311828,912208,562775,167469,990387,657641,428111,120301,286765,205344,134692,47440,518746,478074,339075,125460,694386,522464,304143,63018,162621,93126,92523,15785,256235,245789,185328,16490, 
 筹资活动产生的现金流量净额(万元),100762,303911,-160224,189289,177426,55287,652034,727645,530087,599267,18509,-6443,10558,20453,74368,46945,-129304,-46211,26356,-6008,90262,168580,-20882,-55117,-54514,13530,-51577,-59531,-12220,10165, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,-96,--,0,0,--,0,--,0,--,0, 
 现金及现金等价物净增加额(万元),521388,445022,136933,140969,124045,-225903,476430,646598,509851,506432,141853,590585,421811,-12169,168751,283103,63117,8829,16448,11362,88346,53010,38009,22715,33570,-14725,-19398,10223,90170,-26237, 
 加:期初现金及现金等价物余额(万元),1080377,1080377,943444,943444,943444,943444,467013,467013,467013,467013,325160,325950,325950,325950,157199,157199,157199,157199,140751,159244,130511,130511,89300,112462,112462,112462,108698,124361,124361,124361, 
 期末现金及现金等价物余额(万元),1601764,1525398,1080377,1084413,1067488,717541,943444,1113612,976864,973445,467013,916535,747761,313781,325950,440301,220316,166027,157199,170606,218857,183520,127309,135177,146032,97737,89300,134584,214532,98124, 
 净利润(万元),306866,--,412885,--,240243,--,454096,--,249027,--,404324,--,220485,0,251387,0,146996,0,155110,0,138308,--,119347,--,102518,0,80407,--,49831,0, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,48090,--,--,--,--,--,--,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 资产减值准备(万元),15197,--,5829,--,26056,--,4239,--,33729,--,-1605,--,19247,0,16863,0,14287,--,10933,--,13040,--,2446,--,14968,0,829,--,5416,0, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),76165,--,136934,--,66124,--,117724,--,50266,--,77466,--,35976,0,65312,0,31250,0,56500,0,23272,--,37703,--,18035,0,27018,--,14271,0, 
 无形资产摊销(万元),3879,--,6792,--,3673,--,4318,--,2318,--,3462,--,1802,0,3375,0,1757,--,2816,--,1137,--,1150,--,651,0,944,--,548,0, 
 长期待摊费用摊销(万元),13255,--,31842,--,14770,--,20528,--,10610,--,13569,--,9930,0,16011,0,10451,--,13159,--,7482,--,11058,--,4924,0,12118,--,4519,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),1037,--,-34,--,-1281,--,472,--,-779,--,1447,--,1124,0,2907,0,1871,--,2070,--,804,--,2785,--,225,0,1484,--,0,0, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,729,--,0,0,188,0,0,--,--,--,0,--,0,--,0,0,0,--,10,0, 
 公允价值变动损失(万元),-22542,--,7582,--,12592,--,-3874,--,254,--,-11807,--,-4054,0,-2713,0,-1209,--,2213,--,0,--,-5349,--,-373,0,0,--,0,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 财务费用(万元),10917,--,28906,--,15321,--,10167,--,2105,--,4009,--,699,0,7553,0,5385,--,18949,--,6289,--,2775,--,1271,0,3331,--,1828,0, 
 投资损失(万元),-21239,--,-34810,--,-18990,--,-72231,--,-20992,--,-13431,--,-5516,0,-3212,0,-2112,--,-3913,--,-1521,--,-18010,--,-8831,0,-1679,--,-1366,0, 
 递延所得税资产减少(万元),-117110,--,-7918,--,-10066,--,36919,--,30019,--,-3471,--,-61828,0,-38239,0,-28309,--,-10419,--,-27761,--,-6314,--,1323,0,-7767,--,-1300,0, 
 递延所得税负债增加(万元),1329,--,-644,--,-1328,--,-2544,--,-2020,--,312,--,123,0,138,0,-59,0,-497,0,5588,--,0,--,101,0,0,--,0,0, 
 存货的减少(万元),325178,--,243102,--,387245,--,-63152,--,225629,--,-460874,--,167383,0,-69473,0,210517,--,271622,--,139343,--,-246287,--,135568,0,-65039,--,153655,0, 
 经营性应收项目的减少(万元),-251798,--,-279038,--,-795438,--,-493577,--,-1559648,--,73335,--,-676158,0,-580914,0,-586522,0,-58222,0,-447859,--,-122560,--,-400231,0,-34897,--,-220700,0, 
 经营性应付项目的增加(万元),-97515,--,-255529,--,3707,--,227176,--,842150,--,368296,--,474791,0,344904,0,213794,0,-140008,0,178602,--,293423,--,128439,0,50418,--,119760,0, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,--, 
 其他(万元),222726,--,134755,--,111285,--,55633,--,314437,--,88812,--,336259,0,191562,0,227033,--,54971,--,137587,--,43097,--,138151,0,37153,--,31858,0, 
 经营活动产生现金流量净额(万元),466343,--,430655,--,53912,--,295892,--,177105,--,544572,--,520265,0,205647,0,245130,--,375285,--,174313,--,163353,--,136740,0,104322,--,158334,0, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,0,0,--,--,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,0,0,--,--,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,0,0,--,--,0,0, 
 现金的期末余额(万元),1601764,1525398,1080377,1084413,1067488,717541,943444,1113612,976864,973445,467013,916535,747761,313781,325950,440301,220316,166027,157199,170606,218857,183520,127309,135177,146032,97737,89300,134584,214532,98124, 
 现金的期初余额(万元),1080377,1080377,943444,943444,943444,943444,467013,467013,467013,467013,325160,325950,325950,325950,157199,157199,157199,157199,140751,159244,130511,130511,89300,112462,112462,112462,108698,124361,124361,124361, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,0,0,--,--,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,0,--,--,--,0, 
 现金及现金等价物的净增加额(万元),521388,445022,136933,140969,124045,-225903,476430,646598,509851,506432,141853,590585,421811,-12169,168751,283103,63117,8829,16448,11362,88346,53010,38009,22715,33570,-14725,-19398,10223,90170,-26237, 

