 报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2007-12-31, 
 经营活动产生的现金流量净额(万元),-241524,1475644,-1138204,-1133551,-771062,488678,-1009707,-490056,-454209,190433,-547540,-444139,-135626,-251469,-1017540,-858203,-688244,90491,-215692,-306612,-357740,92503,261242,349622,-79827,372832,46294, 
 收回投资所收到的现金(万元),401246,338408,102076,82016,30309,93485,45032,45032,--,200,200,--,--,2989,2273,2273,1309,5264,5264,0,0,34234,12848,12848,220,27096,133, 
 取得投资收益所收到的现金(万元),7380,18858,7067,4087,1207,6071,12470,10087,1228,9442,6694,2733,359,10258,6813,2862,--,10422,1188,1188,2,11026,5247,5247,120,6699,9237, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),550,3709,1401,1167,342,4912,2873,2587,482,4508,4226,2987,923,4622,3376,3376,750,7529,6105,4812,950,8798,2855,2855,213,14444,28543, 
 处置子公司及其他营业单位收到的现金净额(万元),--,677,677,677,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1428,0,0,--,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),--,6683,3530,3530,--,21965,6110,6110,50,51042,13915,13915,430,10540,--,--,--,21442,2377,0,0,0,--,0,41,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 投资活动现金流入小计(万元),409176,368336,114752,91478,31858,126433,66485,63816,1760,65192,25035,19636,1712,28409,12462,8511,2060,44657,14934,7427,952,54058,20949,20949,594,48238,37913, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),88327,475228,286939,184794,110127,532684,473611,281817,100448,609836,398376,299201,108152,756834,398494,354746,168080,727863,398975,223047,90560,328658,261144,109052,41774,231178,259655, 
 投资所支付的现金(万元),146190,892191,152677,143906,108509,173485,83752,78752,3584,55987,815,815,--,48527,47681,47681,6913,29041,48840,3332,0,9686,9000,9000,359,27000,17010, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,4709,--,--,371,--,--,--,6418,0,--,--,100280,51143,51143,43930,2568,--,0,0,30156,30155,30156,0,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,2,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 投资活动现金流出小计(万元),234517,1367420,444325,328701,218637,706540,557362,360569,104032,672242,399191,300016,108152,905641,497317,453569,218923,759471,447815,226380,90560,368499,300299,148207,42135,258178,276665, 
 投资活动产生的现金流量净额(万元),174660,-999084,-329573,-237223,-186779,-580107,-490878,-296753,-102272,-607050,-374156,-280381,-106440,-877232,-484856,-445059,-216863,-714814,-432881,-218952,-89609,-314441,-279350,-127258,-41541,-209940,-238752, 
 吸收投资收到的现金(万元),1584,787368,785218,785218,2130,9199,3058,--,--,707931,687931,687931,687931,5635,5635,5635,--,3063,2890,390,0,1364459,335,335,0,299804,3051, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,5140,2990,2990,2130,9199,3058,--,--,20000,0,--,--,5635,5635,5635,--,2890,2890,390,0,400,335,0,0,0,0, 
 取得借款收到的现金(万元),557896,7804515,4101584,3146513,2425000,6954685,3412393,2640631,749778,3802463,2357961,2090399,1376514,4260341,3731452,2267632,1259709,2324265,1408984,352634,273774,1895865,1628223,480857,288455,2810354,1217521, 
 发行债券收到的现金(万元),--,2698800,2700000,2000000,1600000,1600000,1400000,1000000,600000,1397800,1198250,400000,--,798400,398400,398400,398400,398600,--,0,0,0,--,0,0,270000,0, 
 收到其他与筹资活动有关的现金(万元),--,1272,--,--,--,--,--,--,--,--,--,--,--,80905,80905,80905,--,--,129,129,0,1116,--,0,53,102,11100, 
 筹资活动现金流入小计(万元),559480,11291955,7586802,5931731,4027130,8563884,4815450,3640631,1349778,5908194,4244143,3178330,2064446,5145281,4216392,2752572,1658109,2725928,1412003,353153,273774,3261440,1628558,481192,288508,3380260,1231672, 
 偿还债务支付的现金(万元),1414649,9940086,5374352,3865482,2906599,8364906,3498249,3126550,934626,4969444,3252568,2204880,1111482,3808445,2574153,1416783,400263,2656489,1246736,204448,375980,2075824,1623797,617885,177011,3499212,748737, 
 分配股利、利润或偿付利息所支付的现金(万元),65093,336062,311319,64459,46039,228256,183540,60099,17597,187783,136430,65531,36067,133866,97724,64912,8876,47501,40258,13686,8168,67247,59101,43077,13015,154104,34186, 
 其中：子公司支付给少数股东的股利、利润(万元),--,2219,1858,1622,--,5554,4670,4670,74,62459,6415,6415,--,10574,3522,3522,--,5457,1271,1271,6045,5092,5092,0,0,0,0, 
 支付其他与筹资活动有关的现金(万元),3402,23518,16980,15041,2400,3772,1950,1950,1666,85721,3878,3315,1532,6495,912,912,--,2179,2179,2179,2071,6830,--,0,306,1080,11329, 
 筹资活动现金流出小计(万元),1483144,10299666,5702651,3944982,2955037,8596934,3683739,3188599,953889,5242948,3392876,2273726,1149081,3948805,2672789,1482606,409139,2706169,1289173,220312,386219,2149901,1682899,660962,190332,3654396,1005253, 
 筹资活动产生的现金流量净额(万元),-923664,992289,1884151,1986749,1072093,-33050,1131711,452033,395889,665247,851267,904605,915365,1196476,1543602,1269965,1248970,19759,122830,132840,-112445,1111539,-54340,-179771,98176,-274136,226419, 
 汇率变动对现金及现金等价物的影响(万元),849,-4283,-1398,-796,882,-2056,-3209,-1832,-370,242,235,-1038,849,-2766,-5279,-3519,-868,1509,-3528,-3528,21,-32,-130,34,-364,221,-289, 
 现金及现金等价物净增加额(万元),-989679,1464566,414976,615180,115134,-126535,-372083,-336608,-160963,248871,-70195,179047,674148,65009,35928,-36816,342994,-603055,-529270,-396251,-559772,889569,-72578,42627,-23556,-111024,33673, 
 加:期初现金及现金等价物余额(万元),2176007,711441,711441,711441,711441,837975,837705,837705,837705,588835,588835,588835,588927,523825,523825,523825,516616,1119671,1119671,1119671,1119689,230103,230103,230103,223271,341126,307453, 
 期末现金及现金等价物余额(万元),1186328,2176007,1126417,1326621,826575,711441,465623,501097,676743,837705,518640,767882,1263075,588835,559753,487009,859610,516616,590401,723420,559917,1119671,157525,272729,199715,230103,341126, 
 净利润(万元),--,568996,--,239869,--,422600,--,162910,--,353569,--,172505,--,310499,--,166668,--,202967,--,69759,0,141351,--,42044,0,127458,90851, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 资产减值准备(万元),--,132815,--,23689,--,113902,--,24144,--,23463,--,4211,--,25226,--,4352,--,8454,--,1995,0,451,--,-884,0,6091,8771, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,213185,--,100269,--,195370,--,90777,--,146699,--,68018,--,122176,--,60592,--,95267,--,43905,0,80370,--,37632,0,70263,61416, 
 无形资产摊销(万元),--,31945,--,15356,--,24594,--,13007,--,25422,--,12473,--,22875,--,10613,--,19240,--,8751,0,16179,--,7809,0,15557,3528, 
 长期待摊费用摊销(万元),--,484,--,70,--,187,--,100,--,224,--,224,--,249,--,278,--,634,--,328,0,232,--,93,0,260,1146, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-235,--,-1650,--,1061,--,179,--,1594,--,251,--,555,--,-120,--,1164,--,-652,0,75,--,-822,0,-6895,-6652, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 公允价值变动损失(万元),--,33,--,95,--,607,--,305,--,-151,--,72,--,-3081,--,-4953,--,4113,--,3407,0,0,--,0,0,0,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 财务费用(万元),--,144793,--,61676,--,109450,--,38290,--,98825,--,46762,--,91690,--,35066,--,17058,--,9467,0,36248,--,23393,0,63476,33037, 
 投资损失(万元),--,-40655,--,-14468,--,-25144,--,-8348,--,-23799,--,-10069,--,-23923,--,-16955,--,-13727,--,-2813,0,-48955,--,-13019,0,-16490,-7756, 
 递延所得税资产减少(万元),--,-32502,--,-7428,--,-16509,--,-1479,--,-3589,--,823,--,-9081,--,-2532,--,1753,--,967,0,-1279,--,18,0,-1225,7558, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1481,--,541,--,-1481,--,-1155,0,0,--,0,0,0,0, 
 存货的减少(万元),--,-1093823,--,-1063305,--,592994,--,-103284,--,652174,--,95746,--,-674980,--,-1145473,--,-1076993,--,-396094,0,-360985,--,-145064,0,-242644,-188003, 
 经营性应收项目的减少(万元),--,362143,--,-1036959,--,-1795327,--,-859585,--,-872885,--,-1106851,--,-389375,--,-486915,--,-160649,--,-570211,0,-708060,--,-159178,0,68109,-651263, 
 经营性应付项目的增加(万元),--,1168316,--,544983,--,840205,--,141901,--,-229671,--,271697,--,274223,--,520635,--,992692,--,525735,0,936878,--,557597,0,288873,687684, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 经营活动产生现金流量净额(万元),--,1475644,--,-1133551,--,488678,--,-490056,--,190433,--,-444139,--,-251469,--,-858203,--,90491,--,-306612,0,92503,--,349622,0,372832,46294, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 现金的期末余额(万元),1186328,2176007,1126417,1326621,826575,711441,465623,501097,676743,837705,518640,767882,1263075,588835,559753,487009,859610,516616,590401,723420,559917,1119671,157525,272729,199715,230103,341126, 
 现金的期初余额(万元),2176007,711441,711441,711441,711441,837975,837705,837705,837705,588835,588835,588835,588927,523825,523825,523825,516616,1119671,1119671,1119671,1119689,230103,230103,230103,223271,341126,307453, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 现金及现金等价物的净增加额(万元),-989679,1464566,414976,615180,115134,-126535,-372083,-336608,-160963,248871,-70195,179047,674148,65009,35928,-36816,342994,-603055,-529270,-396251,-559772,889569,-72578,42627,-23556,-111024,33673, 

