 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,20,12,--,--,0,0,0,0,1,--,--,--,43,436,378,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),130,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,224,--,--,--,--,--,--,--,--,--,--,--,--,154,--,30,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),579,235,21,12,0,0,13,0,0,0,1,0,0,0,829,778,723,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1026,167,279,140,105,54,690,553,534,523,663,117,22,8,158,106,82,--,--,--, 
 投资所支付的现金(万元),--,--,--,--,--,--,1100,1439,700,--,1534,250,--,50,655,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,486,348,--,--,6095,--,--,--,--,1187,1068,416,--,655,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,63,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1026,167,765,488,105,54,7886,1992,1234,523,2197,1555,1091,474,813,824,82,0,0,0, 
 投资活动产生的现金流量净额(万元),-447,68,-744,-477,-105,-54,-7873,-1992,-1233,-523,-2196,-1555,-1091,-474,15,-47,641,0,0,0, 
 吸收投资收到的现金(万元),2497,219,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),3064,139,9135,6434,3600,549,8653,6743,4067,1294,7311,6829,4767,3300,6971,6352,4951,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,1900,1900,1080,--,--,--,--,--,1350,1350,1350,--,8176,--,--,--,--,--, 
 筹资活动现金流入小计(万元),5561,358,11035,8334,4680,549,8653,6743,4067,1294,8661,8179,6117,3300,15147,6352,4951,0,0,0, 
 偿还债务支付的现金(万元),2237,1588,12621,8110,5945,861,2444,1978,1271,215,13003,8943,5752,3866,7911,7037,6136,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),76,34,664,599,527,75,151,81,30,6,994,699,667,67,506,160,199,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,397,--,--,--,--,--,--,--,246,--,--,--,73,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),373,--,321,--,--,--,1964,5,--,--,1708,1580,1020,--,--,1,--,--,--,--, 
 筹资活动现金流出小计(万元),2686,1622,13606,8708,6472,936,4559,2064,1300,222,15705,11222,7439,3933,8417,7199,6335,0,0,0, 
 筹资活动产生的现金流量净额(万元),2875,-1264,-2571,-374,-1792,-386,4094,4679,2767,1072,-7044,-3043,-1322,-633,6730,-847,-1385,0,0,0, 
 汇率变动对现金及现金等价物的影响(万元),37,-43,-26,122,15,-66,-114,10,-26,-10,-38,4,-1,-3,-13,8,-6,--,--,--, 
 现金及现金等价物净增加额(万元),490,-1550,-817,-766,-3609,-2431,2642,3602,2310,850,-6083,-8188,-4680,-4045,6918,-1909,-3097,79,0,0, 
 加:期初现金及现金等价物余额(万元),10295,10295,11112,11112,11112,11112,8471,8471,8471,8554,14554,14554,14554,14554,7636,7740,7636,3,3,3, 
 期末现金及现金等价物余额(万元),10786,8745,10295,10347,7503,8681,11112,12073,10781,9404,8471,6366,9873,10509,14554,5831,4539,82,3,3, 
 净利润(万元),2942,--,3079,--,496,--,3350,--,692,--,3888,--,719,--,2871,--,706,26,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),295,--,601,--,76,--,367,--,53,--,303,--,34,--,-7,--,47,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),99,--,247,--,97,--,108,--,82,--,131,--,59,--,219,--,79,--,--,--, 
 无形资产摊销(万元),117,--,280,--,125,--,155,--,51,--,5,--,2,--,5,--,3,--,--,--, 
 长期待摊费用摊销(万元),14,--,24,--,16,--,32,--,16,--,64,--,14,--,33,--,13,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,-10,--,3,--,--,--,0,--,-0,--,0,--,-37,--,-0,--,--,--, 
 固定资产报废损失(万元),3,--,7,--,--,--,3,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),112,--,427,--,108,--,192,--,30,--,394,--,249,--,451,--,312,--,--,--, 
 投资损失(万元),-1304,--,-1,--,--,--,-32,--,--,--,--,--,--,--,-215,--,-215,--,--,--, 
 递延所得税资产减少(万元),-237,--,125,--,32,--,-93,--,-5,--,279,--,-56,--,85,--,-2,--,--,--, 
 递延所得税负债增加(万元),-9,--,-12,--,-4,--,-1,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),-2466,--,-467,--,-380,--,-385,--,-25,--,1321,--,-1343,--,-1455,--,-1438,--,--,--, 
 经营性应收项目的减少(万元),-3903,--,-1546,--,-1024,--,4413,--,3456,--,-5935,--,-1018,--,1452,--,-5201,-588,--,-168, 
 经营性应付项目的增加(万元),2244,--,-229,--,-1271,--,-1575,--,-3546,--,2747,--,-927,--,-3217,--,3349,642,--,168, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-1975,--,2524,--,-1727,--,6533,--,803,--,3195,--,-2267,--,185,--,-2348,79,--,0, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),10786,8745,10295,10347,7503,8681,11112,12073,10781,9404,8471,6366,9873,10509,14554,5831,4539,82,3,3, 
 现金的期初余额(万元),10295,10295,11112,11112,11112,11112,8471,8471,8471,8554,14554,14554,14554,14554,7636,7740,7636,3,3,3, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),490,-1550,-817,-766,-3609,-2431,2642,3602,2310,850,-6083,-8188,-4680,-4045,6918,-1909,-3097,79,--,0, 

