 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2010-03-31,2009-12-31,2009-06-30, 
 质押贷款净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,0,--,--,--,1210,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 投资活动现金流出小计(万元),0,20,1,1,0,1226,1221,1221,1200,5,0,0,0,23,0,0,0,0,0,0,0,1,1,1,6,2,0,1,1,0,23,0,--,0,0, 
 投资活动产生的现金流量净额(万元),0,-16,9,9,0,-1226,-1221,-1221,-1200,-5,0,0,0,-23,0,0,0,0,0,0,0,-1,-1,-1,-6,-2,0,-1,-1,-0,-23,60,--,0,0, 
 吸收投资收到的现金(万元),--,0,--,--,--,--,--,--,--,1261,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 取得借款收到的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,153,--,--,--,117,0,--,--,--,--,--, 
 发行债券收到的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,0,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,117,0,0,0,--,0,0, 
 偿还债务支付的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,264,--,--,4,20,20,56,56,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,0,52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 筹资活动现金流出小计(万元),0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,4,20,20,56,56,--,0,0, 
 筹资活动产生的现金流量净额(万元),0,0,-52,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111,0,0,-4,97,-20,-56,-56,--,0,0, 
 汇率变动对现金及现金等价物的影响(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-252,15,-212,-232,-157,-2493,-2434,-1839,-1697,2543,-171,206,253,187,0,-0,0,-1,-1,-1,-0,-13,-12,-13,-0,10,-4,12,2,3,2,1,-0,-6,-2, 
 加:期初现金及现金等价物余额(万元),253,237,237,237,237,2730,2730,2730,2730,187,187,187,187,0,0,0,0,1,1,1,1,14,14,14,15,15,15,3,3,3,1,1,1,7,7, 
 期末现金及现金等价物余额(万元),0,253,25,5,80,237,296,891,1034,2730,16,393,440,187,0,0,0,0,0,0,1,1,2,1,14,25,11,15,5,6,3,2,0,1,4, 
 净利润(万元),--,531,180,98,60,829,266,89,55,2448,748,207,16,2234,-17,-101,-49,130,-173,-116,-56,66,-344,-210,188,0,3,152,43,-45,738,796,-50,44,-114, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 资产减值准备(万元),--,88,203,--,--,472,-11,--,--,198,--,--,--,36,--,--,--,-23,--,--,--,2,--,--,26,--,--,6,--,0,--,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,50,12,18,9,37,28,19,2,6,4,2,1,5,4,3,1,6,4,3,1,6,4,3,5,2,1,4,1,1,1,--,--,--,--, 
 无形资产摊销(万元),--,81,61,41,20,81,62,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,--,--,--,--,0,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,629,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0,--,--,--,--,0,--,--,--,--,--, 
 固定资产报废损失(万元),--,200,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 财务费用(万元),--,47,6,-15,--,--,--,--,--,--,--,--,--,119,--,--,--,70,26,0,--,14,--,--,46,--,--,18,6,2,113,57,28,113,--, 
 投资损失(万元),--,-10,-4,-4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 递延所得税资产减少(万元),--,133,--,--,--,-122,3,--,--,-50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 存货的减少(万元),--,-8,-8,-14,-49,-13,-12,-1,--,--,--,--,--,--,--,--,0,0,0,0,0,14,14,14,-14,--,--,--,--,0,--,--,--,--,--, 
 经营性应收项目的减少(万元),--,2400,-3379,496,-365,-2065,-625,-1438,271,1578,252,1250,1050,-3055,-2,-10,-1,-80,76,47,25,133,222,94,-61,-542,-62,-244,-55,2,-17,-2,--,-5,--, 
 经营性应付项目的增加(万元),--,-3482,2129,-315,167,-487,-924,672,-825,-2895,-1175,-1253,-811,871,15,108,48,-104,66,65,30,-246,92,86,-31,74,53,85,-9,59,-754,-952,22,-158,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-48,478,2,--,-80,5,--,99,--,--,--, 
 经营活动产生现金流量净额(万元),--,31,-169,-306,-157,-1267,-1213,-619,-497,1287,-171,206,253,209,0,-0,0,-1,-1,-1,-0,-13,-12,-13,116,12,-4,16,-94,23,82,-2,-0,-6,-2, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,217,--,0,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 现金的期末余额(万元),0,253,25,5,80,237,296,891,--,2730,16,393,440,187,0,0,0,0,0,0,1,1,2,1,14,25,11,15,5,6,3,2,0,1,4, 
 现金的期初余额(万元),253,237,237,237,237,2730,2730,2730,--,187,187,187,187,0,0,0,0,1,1,1,1,14,14,14,15,15,15,3,3,3,1,1,1,7,7, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,1034,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,2730,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-252,15,-212,-232,-157,-2493,-2434,-1839,-1697,2543,-171,206,253,187,0,-0,0,-1,-1,-1,-0,-13,-12,-13,-0,10,-4,12,2,3,2,1,-0,-6,-2, 

