 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2013-12-31,2013-03-31,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2011-03-31,2010-12-31, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,3148,598,598,--,4728,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 投资活动现金流出小计(万元),275,0,3152,602,602,3,4732,1,0,0,94,93,93,1,3,3,0,0,0,0,--,0,--,--, 
 投资活动产生的现金流量净额(万元),75,350,-3045,-499,-499,-3,-4717,-1,-0,0,-94,-93,190,-1,-3,-3,0,0,0,0,--,0,--,--, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,1554,--,--,--,6926,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 筹资活动现金流入小计(万元),0,0,1554,0,0,0,6926,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,--, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,820,--,2,--,4038,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 筹资活动现金流出小计(万元),0,0,820,0,2,0,4038,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,--, 
 筹资活动产生的现金流量净额(万元),0,0,734,0,-2,0,2889,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,--, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 现金及现金等价物净增加额(万元),-20,8,83,-352,-364,-89,-2463,-1507,2021,-2472,2405,59,67,-67,-212,0,0,0,0,0,0,0,--,-1, 
 加:期初现金及现金等价物余额(万元),101,101,12,548,548,548,2475,2475,2475,2475,70,70,70,70,282,0,0,0,0,0,0,0,9,11, 
 期末现金及现金等价物余额(万元),82,109,94,196,184,459,12,968,4496,3,2475,129,136,3,70,0,0,0,0,0,0,0,9,9, 
 净利润(万元),161,--,1174,--,177,--,1094,--,556,--,8048,--,-176,--,332,39,--,-322,--,--,-2761,-33,--,-691, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 资产减值准备(万元),-0,--,1,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2420,0,--,188, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),9,--,21,--,11,--,19,--,10,--,10,--,1,--,1,--,--,--,--,--,--,0,--,22, 
 无形资产摊销(万元),0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 固定资产报废损失(万元),--,--,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 财务费用(万元),--,--,--,--,--,--,--,--,--,--,62,--,47,--,107,80,--,240,--,--,240,0,--,343, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-200,--,--,--,--,--,0,--,--, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 存货的减少(万元),-241,--,29,--,-37,--,-25,--,-5,--,103,--,74,--,-72,--,--,--,--,--,1147,0,--,8, 
 经营性应收项目的减少(万元),601,--,25,--,-128,--,-1010,--,-3161,--,-2577,--,-35,--,-492,--,--,--,--,--,171,0,--,-38, 
 经营性应付项目的增加(万元),-626,--,1142,--,-382,--,-713,--,4621,--,-3148,--,-33,--,-85,84,--,82,--,--,-1226,33,--,166, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 经营活动产生现金流量净额(万元),-96,--,2393,--,-358,--,-635,--,2021,--,2499,--,-123,--,-209,3,--,--,--,--,-9,0,--,-1, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,2005,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 现金的期末余额(万元),82,109,94,196,184,459,12,968,4496,3,2475,129,136,3,70,0,0,0,0,0,0,0,9,9, 
 现金的期初余额(万元),101,101,12,548,548,548,2475,2475,2475,2475,70,70,70,70,282,0,0,0,0,0,9,0,9,11, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 现金及现金等价物的净增加额(万元),-20,8,83,-352,-364,-89,-2463,-1507,2021,-2472,2405,59,67,-67,-212,0,0,--,0,0,-9,0,--,-1, 

