 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2011-03-31,2010-12-31,2010-09-30, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,2694,2556,1446,--,--,--,--,0,--,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,244,--,--,--,--,--,0,--,--,0,0,--,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 投资活动现金流出小计(万元),362,134,1174,-119,195,6,3029,2603,1446,194,256,189,0,0,11,0, 
 投资活动产生的现金流量净额(万元),-362,-134,-1049,119,-195,119,-3029,-2603,-1446,4306,-256,-189,281,0,-11,0, 
 吸收投资收到的现金(万元),--,--,142,--,--,--,--,--,--,200,200,200,--,0,38,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,200,200,200,--,0,--,0, 
 取得借款收到的现金(万元),2496,1296,6939,4100,2100,2000,80,80,80,490,--,--,--,0,--,0, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,9800,10800,10800,2860,0,--,0, 
 筹资活动现金流入小计(万元),2496,1296,7081,4100,2100,2000,80,80,80,10490,11000,11000,2860,0,38,0, 
 偿还债务支付的现金(万元),1200,800,6270,4000,--,1000,2000,--,--,490,--,--,--,0,--,0, 
 分配股利、利润或偿付利息所支付的现金(万元),79,35,188,--,--,5,538,132,45,312,75,41,--,0,--,0, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 支付其他与筹资活动有关的现金(万元),--,--,--,2,2,--,115,--,--,4287,1000,1000,1233,0,--,0, 
 筹资活动现金流出小计(万元),1279,835,6458,4002,2,1005,2653,132,45,5089,1075,1041,1233,0,--,0, 
 筹资活动产生的现金流量净额(万元),1217,461,623,98,2098,995,-2573,-52,35,5401,9925,9959,1627,0,38,0, 
 汇率变动对现金及现金等价物的影响(万元),0,-0,-1,--,--,--,-4,--,--,--,--,--,--,0,--,0, 
 现金及现金等价物净增加额(万元),531,58,-68,-203,-320,2080,-442,-262,-101,-486,-577,1608,1440,-36,-309,-276, 
 加:期初现金及现金等价物余额(万元),468,468,537,537,537,537,979,979,979,1465,1465,1465,25,171,391,459, 
 期末现金及现金等价物余额(万元),999,526,468,333,216,2617,537,717,878,979,888,3073,1465,135,82,183, 
 净利润(万元),1755,--,3333,--,1915,--,5023,--,2831,5454,--,450,107855,-196,-7125,-1382, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,-10,14,-5, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,130,0, 
 资产减值准备(万元),--,--,137,--,--,--,49,--,232,6,--,156,54,0,-70,0, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),466,--,1616,--,329,--,658,--,81,235,--,191,5,13,73,55, 
 无形资产摊销(万元),246,--,274,--,3,--,172,--,--,267,--,133,--,6,33,25, 
 长期待摊费用摊销(万元),144,--,307,--,108,--,291,--,128,222,--,111,--,0,13,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,62,-5435,1288, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,57,--,67,--,2,--,--,--,--,0,2,0,-141,0, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 财务费用(万元),334,--,381,--,162,--,616,--,120,545,--,98,--,0,1332,1, 
 投资损失(万元),--,--,-49,--,--,--,1116,--,947,-3887,--,-1119,-4451,31,--,-16, 
 递延所得税资产减少(万元),--,--,-32,--,--,--,316,--,270,-1,--,-39,-13,0,--,0, 
 递延所得税负债增加(万元),--,--,-880,--,--,--,-42,--,--,--,--,--,--,0,--,0, 
 存货的减少(万元),2681,--,-819,--,2667,--,-2248,--,-12,64,--,244,84,-175,-89,-39, 
 经营性应收项目的减少(万元),-25265,--,2759,--,-2878,--,-11747,--,-13978,-14169,--,-7905,3635,-143,-518,-274, 
 经营性应付项目的增加(万元),20477,--,-7059,--,-1470,--,10959,--,13673,1072,--,-481,-107637,376,11446,71, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 其他(万元),-1161,--,335,--,-3128,--,--,--,-2983,--,--,--,--,0,--,0, 
 经营活动产生现金流量净额(万元),-324,--,359,--,-2223,--,5164,--,1310,-10193,--,-8161,-468,-36,-336,-276, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 现金的期末余额(万元),999,526,468,333,216,2617,537,717,878,979,888,3073,1465,135,82,183, 
 现金的期初余额(万元),468,468,537,537,537,537,979,979,979,1465,1465,1465,25,171,391,459, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 现金及现金等价物的净增加额(万元),531,58,-68,-203,-320,2080,-442,-262,-101,-486,-577,1608,1440,-36,-309,-276, 

