 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),3,--,7,--,4,--,6,1,2,1,2,1,1,1,1,1,24,24,6,0,66, 
 无形资产摊销(万元),0,--,0,--,0,--,0,0,0,--,--,0,0,0,0,0,0,--,--,--,0, 
 长期待摊费用摊销(万元),0,--,0,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),0,--,0,--,0,--,0,--,0,--,--,0,0,--,0,0,0,--,--,--,0, 
 固定资产报废损失(万元),0,--,0,--,0,--,0,0,0,--,--,0,0,--,0,0,0,--,--,--,0, 
 公允价值变动损失(万元),0,--,0,--,0,--,0,0,0,--,--,0,0,--,0,0,0,--,--,--,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,651,1302,660,1319, 
 财务费用(万元),0,--,0,--,0,--,0,0,0,748,--,0,16,162,324,162,324,162,324,162,324, 
 投资损失(万元),0,--,-11,--,-11,--,-50,-50,0,--,--,0,0,0,0,0,0,--,--,--,0, 
 递延所得税资产减少(万元),0,--,0,--,0,--,0,0,0,--,--,0,0,0,0,0,0,--,--,--,0, 
 递延所得税负债增加(万元),0,--,0,--,0,--,0,0,0,--,--,0,0,0,0,0,0,--,--,--,0, 
 存货的减少(万元),-70,--,-19,--,-12,--,-140,-79,-44,-15,-6,-63,-28,0,0,0,0,--,--,--,0, 
 经营性应收项目的减少(万元),-10,--,-150,--,74,--,-1414,-397,157,-1116,-270,-174,8,-294,-1,73,13,6,17,11,-1, 
 经营性应付项目的增加(万元),-17,--,13,--,-13,--,305,-599,602,53,-34133,-509,-1770,402,164,7,112,50,2,15,94, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 其他(万元),0,--,0,--,0,--,0,0,0,--,-49571,-1478,87,651,1292,651,1302,--,--,--,0, 
 经营活动产生现金流量净额(万元),-103,--,-120,--,-54,--,-1086,-880,1609,-148,-4554,-2344,-1564,9,3,2,3,7,-2,-0,4, 
 债务转为资本(万元),0,--,0,--,0,--,0,0,0,--,--,0,--,--,0,--,0,--,--,--,0, 
 一年内到期的可转换公司债券(万元),0,--,0,--,0,--,0,0,0,--,--,0,--,--,0,--,--,--,--,--,0, 
 融资租入固定资产(万元),0,--,0,--,0,--,0,0,0,--,--,0,--,--,0,--,0,--,--,--,0, 
 现金的期末余额(万元),159,169,262,314,321,415,364,372,1315,99,248,2083,527,21,15,14,12,17,10,1612,1612, 
 现金的期初余额(万元),262,262,364,364,364,364,1315,1315,248,248,527,527,15,15,12,12,10,10,12,1612,1610, 
 现金等价物的期末余额(万元),0,--,0,--,0,--,0,0,0,--,--,0,0,0,0,0,0,--,--,--,0, 
 现金等价物的期初余额(万元),0,--,0,--,0,--,0,0,0,--,--,0,0,0,0,0,0,--,--,--,0, 
 现金及现金等价物的净增加额(万元),-103,-93,-103,-50,-43,50,-951,-943,1067,-149,-279,1556,512,6,2,2,2,7,-2,-0,2, 

