 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 其他(万元),--,--,--,5030,-2785,--,--,44,0,0,0,0,0, 
 经营活动产生现金流量净额(万元),-2000,-12537,-20331,-6277,-2371,8821,-3904,-1092,8456,3357,6879,4187,1648, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 现金的期末余额(万元),6939,25689,49860,15739,15973,30031,24994,34461,43469,38551,8297,5749,2074, 
 现金的期初余额(万元),25689,53130,15739,15973,30031,24994,34461,44909,38551,8297,5749,2074,835, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 现金及现金等价物的净增加额(万元),-18750,-27441,34121,-235,-14058,5037,-9467,-10448,4918,30254,2548,3675,1239, 

