 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 经营活动产生现金流量净额(万元),66235800,40613600,18208100,67209400,12691800,22284000,26392400,21435700,30899700,-12009300,42476700,5138300,3140600,1388300,-10073800,-6069900, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 现金的期末余额(万元),168860000,95875200,101924700,105207800,114815100,115056600,107228300,101736800,76937100,58631900,92140700,52893700,51994400,39711200,36614200,44895000, 
 现金的期初余额(万元),95875200,101924700,105207800,114815100,115056600,107228300,101736800,76937100,58631900,92140700,52893700,51994400,39711200,36614200,44895000,32862600, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0, 
 现金及现金等价物的净增加额(万元),72984800,-6049500,-3283100,-9607300,-241500,7828300,5491500,24799700,18305200,-33508800,39247000,899300,12283200,3097000,-8280800,12032400, 

