报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
其他非流动资产(万元),2821,4336,50,--,--,--,--,
非流动资产合计(万元),41743,35242,31683,29564,32541,35461,36714,
资产总计(万元),100689,95247,84724,59576,56611,55480,59356,
短期借款(万元),--,--,--,--,--,1500,5500,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,200,159,601,1083,1993,262,
应付账款(万元),3338,6560,4083,4124,4183,4815,4730,
预收账款(万元),136,12,--,--,--,--,1,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),771,737,662,674,660,735,976,
应交税费(万元),1113,1374,1012,898,770,632,1042,
应付利息(万元),--,--,--,--,--,--,--,
应付股利(万元),--,--,19,--,--,5000,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),1290,2,557,--,1,93,60,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),6647,8884,6491,6296,6698,14769,12571,
长期借款(万元),--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),10,10,10,10,10,10,10,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),316,354,421,488,556,613,359,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),326,364,431,498,566,623,369,
负债合计(万元),6974,9248,6922,6795,7264,15392,12940,
实收资本(或股本)(万元),42351,42156,42156,37940,18970,18970,18970,
资本公积(万元),15059,13165,13165,104,104,104,104,
减:库存股(万元),2990,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),8518,7457,6548,5634,8085,7179,6224,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),30274,22720,15934,9103,22188,13836,21119,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),93213,85498,77802,52781,49347,40088,46417,
少数股东权益(万元),503,501,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),93715,85999,77802,52781,49347,40088,46417,
负债和所有者权益(或股东权益)总计(万元),100689,95247,84724,59576,56611,55480,59356,		
  
