报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2000-12-31,1999-12-31,1998-12-31,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
买入返售金融资产(万元),1079000,5462600,17080400,13856100,13576500,28676700,6908200,16221100,14763200,18520300,5769800,11804600,4481100,4026500,722500,--,--,--,
存货(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
发放贷款及垫款(万元),351565000,310598400,280238400,246828300,213633200,189992100,162757600,141077900,124602600,105047900,65135200,56586600,45338100,35802400,29161300,11971500,7517300,5928900,
可供出售金融资产(万元),--,63169000,53453300,37377000,20940400,17782900,19671700,13438700,13697600,9423100,8520300,4384300,3150300,3187600,4074900,--,--,--,
持有至到期投资(万元),77823800,21658600,21749800,17993000,17795700,15484900,13501400,10846800,12904100,10746600,10515100,10939100,6819600,6772700,6137000,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
长期股权投资(万元),388100,234100,111100,97600,87000,230700,226600,234300,238600,225400,11400,11400,--,--,--,13900,18700,9800,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
投资性房地产(万元),44300,29500,30500,32500,28000,27700,33300,27200,24800,16100,0,0,--,--,--,--,--,--,
固定资产原值(万元),3401200,3340900,2829700,2496100,2231600,2010200,1699900,1470000,1379400,1351600,1038700,961500,940200,907500,775000,324500,314400,--,
累计折旧(万元),1262700,1207900,1046300,897800,757800,636800,547900,458400,382000,319500,174200,117100,100900,60000,194600,62000,47000,--,
固定资产净值(万元),2138500,2133000,1783400,1598300,1473800,1373400,1152000,1011600,997400,1032100,864500,844400,839300,847500,580400,262500,267400,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
固定资产(万元),2138500,2133000,1783400,1598300,1473800,1373400,1152000,1011600,997400,1032100,864500,844400,839300,847500,580400,262500,267400,213500,
在建工程(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
无形资产(万元),287200,216300,189400,165300,128300,126300,96600,86900,83800,79500,76200,38900,37000,36000,23400,--,--,--,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
商誉(万元),89600,84900,91400,85400,79500,79200,81700,81800,85700,88700,0,0,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,50900,39700,33600,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
递延所得税资产(万元),2317400,2182500,1269700,798100,931700,843400,609100,297100,256500,209500,206800,95400,224100,408200,542400,--,--,--,
其他非流动资产(万元),3646000,5681900,5760000,3929000,3589000,1004900,707600,579300,443200,356200,240900,225700,173200,196400,207600,464500,328000,280200,
非流动资产合计(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
资产总计(万元),606671400,567769100,593105000,512229200,413881500,364119300,295993900,276588100,208131400,177503100,118783700,101123600,70685900,59499300,49340200,23463600,15733400,13360800,
短期借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
向中央银行借款(万元),28643000,23760000,18405000,3750000,5005000,--,--,--,--,0,0,0,16000,24000,30000,--,--,--,
吸收存款及同业存放(万元),443187500,420564300,462073600,425131900,353786600,321134500,262524900,250359700,187247900,161697600,105444000,88382000,64973300,55649100,46245800,18788600,13099600,11570900,
拆入资金(万元),11535800,7759500,8372300,4924800,1964800,4195200,1789400,467600,707200,455300,96300,63900,314200,74800,217800,903100,--,--,
交易性金融负债(万元),96200,--,--,--,57300,--,--,--,1072900,275500,13900,0,7900,--,11100,--,--,--,
衍生金融负债(万元),3164600,6493700,4505900,1141800,734700,685300,341200,376400,412600,362800,557900,191400,57600,31400,31400,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,1069500,834700,531500,
预收账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
卖出回购金融资产款(万元),12031500,13450000,12034200,7116800,4160900,794900,1173200,980600,438100,410000,95700,1575400,174400,135500,857400,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付职工薪酬(万元),1054900,883800,881900,830200,1152100,1050000,1057800,886100,785300,698700,517000,299600,133700,93600,62000,--,--,--,
应交税费(万元),492000,885800,636400,469300,598500,435500,455800,401500,259800,100400,378800,418700,170600,145000,132200,40000,33400,48100,
应付利息(万元),--,3932300,3715500,3815900,3731100,2814300,2149900,1359900,856900,653800,642700,409200,317800,246800,204300,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
流动负债合计(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
长期借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
应付债券(万元),55248300,44124400,38694600,28913500,13348800,7686900,5640200,3373000,3491500,1842200,1200000,1200000,1200000,600000,600000,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
预计非流动负债(万元),501300,39400,24400,200,500,7100,9300,3600,3600,5000,5000,4000,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,
递延所得税负债(万元),1600,800,1100,1000,--,--,--,--,--,0,0,1300,14100,7100,--,--,--,--,
其他非流动负债(万元),5406100,4631800,5310500,4165200,2606600,2243100,543600,501600,401800,301000,297800,164000,123300,120200,76200,-57100,1300,2100,
非流动负债合计(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
负债合计(万元),561362800,526525800,554655400,480260600,387146900,341046800,275685300,258710000,195677600,166802300,109249100,92709500,67502900,57127500,48468200,22607300,14929900,12562700,
实收资本(或股本)(万元),4893500,4893500,4893500,4893500,4678700,4678700,4678700,4678700,3903300,3903300,3903300,3903300,3111300,2666100,1779000,680900,655900,605900,
资本公积(万元),5897700,5897700,5863600,5863600,4929600,4473400,4930300,4970500,3094200,3131900,3679500,3681800,-1400,325600,700,-3900,-3900,-4000,
减:库存股(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,
盈余公积(万元),3445000,3118300,2726300,2336200,1939400,1549500,1170900,869100,561800,353500,216100,82900,--,--,--,86900,75500,54300,
一般风险准备(万元),7425500,7425100,7391100,6455500,5044700,4434000,3532600,2082500,1569800,1256200,771600,373100,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,
未分配利润(万元),17982000,16312100,13666600,11866800,9558600,7669000,5735100,5062200,3057600,1772100,964500,373000,72600,-620400,-908100,92400,76000,141900,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,-620400,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,-244500,-212000,-213400,-169200,-137200,-700,-500,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),43666100,39963800,37922400,31774000,25967700,22560100,19835600,17449600,12017500,10279800,9534300,8413600,3182500,2371300,871600,856300,803500,798100,
少数股东权益(万元),1642500,1279500,527200,194600,766900,512400,473000,428500,436300,421000,300,500,500,500,400,--,--,--,
所有者权益(或股东权益)合计(万元),45308600,41243300,38449600,31968600,26734600,23072500,20308600,17878100,12453800,10700800,9534600,8414100,3183000,2371800,872000,856300,803500,798100,
负债和所有者权益(或股东权益)总计(万元),606671400,567769100,593105000,512229200,413881500,364119300,295993900,276588100,208131400,177503100,118783700,101123600,70685900,59499300,49340200,23463600,15733400,13360800,		
  
