报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
商誉(万元),138100,138100,138100,138100,138100,138100,138100,--,--,0,0,0,--,--,--,--,0,0,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
递延所得税资产(万元),11329300,9775100,8318700,8154800,7864000,7407500,5694900,4569800,3147000,1965900,1710700,1152400,--,--,--,--,0,0,
其他非流动资产(万元),7208700,5367200,10919300,8475200,3975700,3710200,3479500,2902700,1392600,917400,564300,1211300,4962800,5711100,6301000,7401300,7313800,14731200,
非流动资产合计(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
资产总计(万元),2260947100,2105338200,1957006100,1779139300,1597415200,1456210200,1324434200,1167757700,1033740600,888258800,701435100,530550600,534394300,477101900,401376900,349401600,297656600,252799000,
短期借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
向中央银行借款(万元),56119500,46594700,29105200,6059900,8012100,10400,6600,5000,3000,5800,31400,15086700,15066000,15073800,15170600,15189600,15295800,15380600,
吸收存款及同业存放(万元),1847061200,1716900900,1619404500,1476026100,1336453800,1254076500,1164728700,1023730700,941415500,807156700,638720000,558381200,491707400,423705500,362918900,313594000,262074600,218987200,
拆入资金(万元),32554100,28006100,30202100,31575900,22492300,17436300,14972100,10895500,5670200,2631200,3413100,3037500,2620600,2220600,2504200,1735400,2190300,1446900,
交易性金融负债(万元),28630300,39177200,30117000,43044300,37249300,30625900,15874500,20841000,3501300,11389900,2267700,1048800,--,--,--,--,0,0,
衍生金融负债(万元),3455400,3087200,2075800,1219200,724000,763500,551400,1028400,1237800,769000,1153400,729400,--,--,--,--,0,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应付账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
预收账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
卖出回购金融资产款(万元),15710100,31978900,20583200,8880400,13102100,2678700,763100,9207900,3746700,10081200,3509000,7339100,--,--,--,--,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应付职工薪酬(万元),4528500,4022200,3990200,3989000,4051100,4557300,4769700,4061700,3458400,2993800,6814400,5834900,--,--,--,--,0,0,
应交税费(万元),5681600,4016400,2157800,4521400,4887300,5175500,4845300,4499200,2177800,944500,2617300,3280400,--,--,--,--,0,0,
应付利息(万元),--,22880500,22911500,22538300,19287600,16332800,13374400,9114300,7377100,6676200,6651200,4468600,--,--,--,--,0,0,
应付股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
其他应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
流动负债合计(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
长期借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
应付债券(万元),78067300,47501700,38821500,38274200,32516700,26626100,19263900,11939000,6234400,5517900,515000,415400,--,--,--,--,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
预计非流动负债(万元),2588300,1070900,1359000,1768200,1390200,472300,409000,336900,390100,504700,578400,539500,--,--,--,--,0,0,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
递延所得税负债(万元),13900,8700,5800,11100,4300,800,1500,2700,8200,0,0,0,--,--,--,--,0,0,
其他非流动负债(万元),19058200,17153100,24113400,20042800,13982500,13000400,9738600,7116600,4296500,5295400,6110100,3149600,16600100,28141300,12976900,5085700,4491900,3668400,
非流动负债合计(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
负债合计(万元),2093468400,1962398500,1824847000,1657950800,1494153300,1371756500,1249298800,1102778900,979517000,853966300,672381000,603311100,525994100,469141200,393570600,335604700,284052600,239483100,
实收资本(或股本)(万元),34998300,32479400,32479400,32479400,32479400,32479400,32479400,32479400,32479400,26000000,26000000,12161200,--,--,--,--,0,12926700,
资本公积(万元),17355600,9877300,9877300,9877300,9877300,7600100,9787200,10009700,9660200,462400,1729200,-466600,--,--,--,--,0,318400,
减:库存股(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
盈余公积(万元),15425700,13434800,11513600,9674800,7859400,6063200,4399600,2950900,1724200,767600,118700,0,--,--,--,--,0,0,
一般风险准备(万元),23919000,23075000,19830500,17560600,15670700,13920400,7534900,6485400,5833500,1077200,6400,5700,--,--,--,--,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
未分配利润(万元),65294400,57757300,49608300,41200500,32998900,24348200,20848800,13108600,4548400,5981700,1202200,-84462000,--,--,--,--,0,70800,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,
外币报表折算差额(万元),--,--,--,--,--,-100500,-68400,-73900,-38600,-7000,-12000,1200,--,--,--,--,0,0,
归属于母公司股东权益合计(万元),167029400,142641500,131819300,121009100,103106600,84310800,74981500,64960100,54207100,34281900,29044500,-72760500,8400200,7960700,7806300,13796900,13604000,13315900,
少数股东权益(万元),449300,298200,339800,179400,155300,142900,153900,18700,16500,10600,9600,0,--,--,--,--,0,0,
所有者权益(或股东权益)合计(万元),167478700,142939700,132159100,121188500,103261900,84453700,75135400,64978800,54223600,34292500,29054100,-72760500,8400200,7960700,7806300,13796900,13604000,13315900,
负债和所有者权益(或股东权益)总计(万元),2260947100,2105338200,1957006100,1779139300,1597415200,1456210200,1324434200,1167757700,1033740600,888258800,701435100,530550600,534394300,477101900,401376900,349401600,297656600,252799000,		
  
