报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
一般风险准备(万元),--,--,0,--,--,--,--,--,--,0,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
未分配利润(万元),8844,57448,54600,35389,14999,15509,16127,17346,15123,15267,9377,4140,4290,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
外币报表折算差额(万元),--,--,-12,--,--,--,--,--,--,0,0,0,0,
归属于母公司股东权益合计(万元),36934,85521,81713,61001,85290,85649,86015,86818,84071,83680,16596,10777,7703,
少数股东权益(万元),55,56,46,--,--,--,--,--,--,0,0,0,0,
所有者权益(或股东权益)合计(万元),36989,85577,81759,61001,85290,85649,86015,86818,84071,83680,16596,10777,7703,
负债和所有者权益(或股东权益)总计(万元),164433,265639,212621,94148,97585,99883,96485,94102,89117,87799,20836,15741,17484,		
  
