报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
无形资产(万元),141639,153574,39634,41308,31437,21191,8868,4590,1248,1276,1302,1330,
开发支出(万元),2898,--,--,--,--,--,--,--,--,0,0,0,
商誉(万元),65730,69253,35931,35931,35931,--,--,--,--,0,0,0,
长期待摊费用(万元),685,704,502,411,466,--,--,--,--,12,24,36,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税资产(万元),1404,1463,1451,985,639,309,179,147,78,72,78,124,
其他非流动资产(万元),--,--,--,761,361,--,782,--,--,0,0,0,
非流动资产合计(万元),467387,480689,260417,233440,204136,92456,65823,42990,20598,15957,17338,18170,
资产总计(万元),793801,753652,398380,369120,283889,178579,171259,99585,81363,27996,27935,28786,
短期借款(万元),47219,42598,11803,4688,35086,9578,4322,3426,--,3110,7945,10960,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,56,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付票据(万元),12026,2880,992,1611,300,--,--,--,--,0,0,0,
应付账款(万元),68685,65589,21872,14471,25068,6043,5015,8732,3504,1706,1548,2519,
预收账款(万元),1683,1812,979,489,493,132,302,605,221,289,189,36,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付职工薪酬(万元),2882,3022,2824,2892,1826,841,887,856,811,831,584,449,
应交税费(万元),8088,6901,2250,2237,1154,476,456,-39,414,262,42,206,
应付利息(万元),12,74,10,26,107,29,8,55,--,4,16,21,
应付股利(万元),221,219,17,12,7,2282,--,--,--,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他应付款(万元),2109,2694,672,78,57,2073,48,25,56,10,53,227,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动负债(万元),--,--,388,356,610,245,195,--,--,0,0,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
流动负债合计(万元),142926,125790,41805,26860,64707,21699,11233,13716,5007,6212,10377,14419,
长期借款(万元),--,--,--,--,--,355,600,--,--,0,0,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,
长期递延收益(万元),4439,4830,4800,2269,1246,--,--,--,--,0,0,0,
递延所得税负债(万元),9598,10288,94,131,414,532,874,1057,1347,1623,1702,1688,
其他非流动负债(万元),--,--,--,407,764,789,371,26,30,34,37,0,
非流动负债合计(万元),14037,15118,4895,2808,2424,1676,1845,1083,1377,1657,1739,1688,
负债合计(万元),156963,140908,46700,29668,67131,23375,13078,14799,6383,7868,12117,16106,
实收资本(或股本)(万元),94606,94717,70885,70992,58136,49837,24918,13400,6700,5000,5000,5000,
资本公积(万元),477667,476529,219906,220670,121400,75363,100515,42039,48739,2016,2016,1961,
减:库存股(万元),--,388,388,764,1018,--,--,--,--,0,0,0,
专项储备(万元),1217,610,--,--,--,--,--,--,--,0,0,0,
盈余公积(万元),6197,3743,4463,4117,3777,3672,2740,2254,1362,897,600,395,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,
未分配利润(万元),42172,22341,48863,38352,29846,26332,25739,22736,14850,9495,5774,3131,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,0,0,0,
归属于母公司股东权益合计(万元),621859,597552,343729,333367,212141,155204,153912,80428,71651,17407,13390,10487,
少数股东权益(万元),14979,15192,7950,6085,4617,--,4269,4357,3329,2720,2429,2192,
所有者权益(或股东权益)合计(万元),636838,612744,351679,339453,216758,155204,158181,84785,74979,20127,15819,12679,
负债和所有者权益(或股东权益)总计(万元),793801,753652,398380,369120,283889,178579,171259,99585,81363,27996,27935,28786,		
  
