报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
固定资产净值(万元),16999800,17009800,17059100,16003200,15211100,13616600,11438400,9468900,8391900,7519600,6448000,5693500,5210200,4940900,4762400,
固定资产减值准备(万元),42400,41900,49600,50100,50400,48800,43800,46700,48500,50300,52300,51400,51100,58900,37300,
固定资产(万元),16957400,16967900,17009500,15953100,15160700,13567800,11394600,9422200,8343400,7469300,6395700,5642100,5159100,4882000,4725100,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
无形资产(万元),1799500,1729700,1734100,1733400,1780100,1778400,1829300,1811700,1823200,2018300,1854800,1878400,1919500,1942800,1995500,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
商誉(万元),276600,275100,294700,214000,269600,161000,165100,166200,153400,159000,152700,162400,174300,0,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
递延所得税资产(万元),5873000,4618900,3106200,2537900,3943600,3844800,2705100,2141000,1782500,1079000,785500,3500,270100,42000,--,
其他非流动资产(万元),12937400,7141600,7599800,4351400,2601400,2601100,2333500,1814300,1530100,1368900,1280800,1586300,960900,838200,3535000,
非流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
资产总计(万元),2322269300,2212438300,2096370500,1834948900,1674413000,1536321000,1397282800,1228183400,1081031700,962335500,755545200,659817700,544851100,458574200,390992000,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
向中央银行借款(万元),55439200,54728700,43933900,4204800,9121600,7915700,628100,222000,178100,600,600,600,2100,2100,222200,
吸收存款及同业存放(万元),1853615400,1770074900,1701591000,1510792800,1390279300,1291513200,1232056600,1095367900,975890600,877610800,682337900,585687900,493577100,413184100,357997500,
拆入资金(万元),42022100,38363900,32254600,32171200,20240200,15591700,12025600,7872500,6627200,3812000,4310800,3092400,2554800,1754000,2308500,
交易性金融负债(万元),43133400,41414800,39659100,30264900,29600900,38038000,3725100,3365600,1528700,799200,397500,0,0,0,--,
衍生金融负债(万元),4852500,7986700,9033300,2794200,1237300,1987200,1154100,1331000,935800,857500,1856500,795200,271500,249000,181600,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应付账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
预收账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
卖出回购金融资产款(万元),3076500,7427900,19058000,26801200,18152800,6187300,236000,1046100,492200,--,86400,10954100,514000,2118900,12500,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应付职工薪酬(万元),3621300,3263200,3387000,3319000,3453500,3408000,3270800,3593100,3136900,2742500,2515300,2274700,1626200,1512600,1295200,
应交税费(万元),7788300,5410600,4490000,4941100,6264400,6020900,5327100,4718900,3424100,2584000,3553800,3351400,2207100,917900,452200,
应付利息(万元),--,19958800,21133000,20568400,18587400,15362700,12321500,8055400,6565900,5948700,5969500,3890200,3430500,2613200,2348000,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
其他应付款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
流动负债合计(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应付债券(万元),77578500,59652600,45155400,41554400,43165200,35754000,26299100,16831200,9331500,9864400,5381000,3992800,3991700,3990700,3989600,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
预计非流动负债(万元),3792800,1058100,927600,710800,706800,501400,505800,518000,339900,134400,180600,165600,163700,180200,210700,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
递延所得税负债(万元),48500,38900,57000,62400,40100,13800,33200,35800,24300,21600,500,77100,2500,0,38800,
其他非流动负债(万元),28141400,23476500,16725200,12255400,8327200,6594200,4738900,3559800,2466000,2057800,2198600,2379200,2793800,2740900,2006000,
非流动负债合计(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
负债合计(万元),2123109900,2032855600,1937405100,1690440600,1549176700,1428888100,1302321900,1146517300,1010941200,906433500,708789000,617589600,511830700,429806500,371436900,
实收资本(或股本)(万元),25001100,25001100,25001100,25001100,25001100,25001100,25001100,25001100,25001100,23368900,23368900,23368900,22468900,22468900,19423000,
资本公积(万元),13453700,13453700,13454300,13491100,13511800,11623300,13830400,13517800,13513600,9026600,9024100,10664900,4085200,4127400,-27600,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
盈余公积(万元),22323100,19861300,17544500,15303200,13051500,10797000,8671800,6757600,5068100,3742100,2692200,1784500,1113300,650100,51400,
一般风险准备(万元),27972500,25968000,21119300,18642200,16949600,15383500,8048300,6734200,6134700,4680600,4662800,3154800,1034300,1033200,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
未分配利润(万元),99087200,88692100,78686000,67215400,55870500,44408400,39103400,28926600,19595000,13611200,5959300,3216400,4309200,478300,104800,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
外币报表折算差额(万元),--,--,--,--,--,-618200,-481800,-461500,-303900,-198200,-226300,-91800,0,0,--,
归属于母公司股东权益合计(万元),197646300,177976000,157650000,143402000,124217900,106595100,94173200,81114100,69679200,55547500,46596600,42097700,33010900,28757900,19551600,
少数股东权益(万元),1513100,1606700,1315400,1106300,1018400,837800,787700,552000,411300,354500,159600,130400,9500,9800,3500,
所有者权益(或股东权益)合计(万元),199159400,179582700,158965400,144508300,125236300,107432900,94960900,81666100,70090500,55902000,46756200,42228100,33020400,28767700,19555100,
负债和所有者权益(或股东权益)总计(万元),2322269300,2212438300,2096370500,1834948900,1674413000,1536321000,1397282800,1228183400,1081031700,962335500,755545200,659817700,544851100,458574200,390992000,		
  
