报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,0,0,0,6397,
固定资产(万元),9262,10503,10942,11393,12230,38418,14735,7726,2084,2101,2159,2182,22768,
在建工程(万元),--,3,0,660,--,0,0,79,79,14875,4218,4473,3,
工程物资(万元),--,--,--,0,--,0,0,0,--,0,0,0,0,
固定资产清理(万元),--,--,--,0,--,0,0,0,--,0,0,0,0,
生产性生物资产(万元),--,--,--,0,--,0,0,0,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
油气资产(万元),--,--,--,0,--,0,0,--,--,0,0,0,0,
无形资产(万元),570,23,2,746,776,803,832,852,869,894,918,0,0,
开发支出(万元),--,--,--,0,--,0,0,--,--,0,0,0,0,
商誉(万元),1093,3941,3941,3941,3941,3941,3941,3941,3941,3941,3941,3941,0,
长期待摊费用(万元),1465,1366,951,7,14,25,35,19,24,0,0,0,191,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
递延所得税资产(万元),23086,19346,9710,7799,4951,6434,2139,1851,4710,2169,698,492,77,
其他非流动资产(万元),--,--,--,0,--,0,0,--,--,0,0,0,0,
非流动资产合计(万元),157315,153860,108418,95010,92358,96102,64356,65111,63242,51950,40811,37630,28532,
资产总计(万元),967630,1030226,839497,661576,513295,529135,461773,470614,472053,390661,331036,100381,86926,
短期借款(万元),48000,--,--,0,--,0,0,0,--,0,1300,3000,9665,
向中央银行借款(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
吸收存款及同业存放(万元),--,--,--,0,--,0,0,--,--,0,--,--,0,
拆入资金(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
交易性金融负债(万元),--,--,--,0,--,0,0,0,--,0,0,0,0,
衍生金融负债(万元),--,--,--,0,--,--,--,--,--,0,--,--,0,
应付票据(万元),--,--,--,0,--,0,0,0,--,0,0,0,0,
应付账款(万元),34427,41808,52265,48937,33265,42007,71384,43006,26168,14152,11436,5238,6136,
预收账款(万元),129547,211498,126087,71438,44069,97205,33757,44111,88039,57672,12907,9944,3971,
卖出回购金融资产款(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
应付手续费及佣金(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
应付职工薪酬(万元),1896,1483,1027,1288,257,328,268,202,139,107,92,74,576,
应交税费(万元),7965,8589,11148,-2978,-3577,-5815,583,-2895,-708,972,945,1022,1643,
应付利息(万元),802,2214,2094,1614,--,36,0,41,34,6,28,0,0,
应付股利(万元),--,--,--,0,--,0,0,0,--,0,29,44,68,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
其他应付款(万元),2415,4417,8423,5471,4291,110197,108446,108777,115922,121111,117081,14527,13433,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
预计流动负债(万元),--,--,--,0,--,0,--,--,--,0,--,--,0,
应付分保账款(万元),--,--,--,0,--,0,0,--,--,0,--,--,0,
保险合同准备金(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
代理买卖证券款(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
代理承销证券款(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动负债(万元),9351,--,--,238,--,0,0,0,--,0,0,0,0,
其他流动负债(万元),90657,43152,9651,14216,9692,4677,1937,17386,1771,2056,1352,3082,107,
流动负债合计(万元),325060,313161,210694,140222,87996,248635,216375,210627,231365,196075,145169,36929,35599,
长期借款(万元),37592,45000,--,0,--,20000,0,25840,29500,5000,12000,0,0,
应付债券(万元),83061,159745,159537,79720,--,0,0,0,--,0,0,0,0,
长期应付款(万元),--,--,--,0,--,0,0,0,--,0,0,0,0,
专项应付款(万元),--,--,--,0,--,0,0,0,--,0,0,0,0,
预计非流动负债(万元),--,--,--,--,--,--,0,45,--,0,0,0,0,
长期递延收益(万元),38,149,260,371,--,--,--,--,--,0,--,--,--,
递延所得税负债(万元),--,--,582,490,86,0,0,0,--,0,0,0,0,
其他非流动负债(万元),--,--,--,0,--,0,170,170,--,0,0,0,1416,
非流动负债合计(万元),120692,204894,160379,80581,86,20000,170,26055,29500,5000,12000,0,1416,
负债合计(万元),445751,518055,371073,220804,88082,268635,216545,236682,260865,201075,157169,36929,37015,
实收资本(或股本)(万元),110983,100894,100894,100894,100894,69234,69234,46156,46156,46156,30771,23871,23871,
资本公积(万元),183379,193274,189402,189402,189402,81343,81343,107949,108290,108326,123711,31136,31080,
减:库存股(万元),--,--,--,0,--,0,0,--,--,0,--,--,0,
专项储备(万元),--,--,--,0,--,0,0,--,--,0,--,--,--,
盈余公积(万元),23945,13350,11804,11521,10537,5480,4842,4447,3803,3283,2458,2154,2154,
一般风险准备(万元),--,--,--,0,--,0,0,0,--,0,--,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
未分配利润(万元),202661,204654,166323,138955,124380,104443,89810,74311,49761,28864,13900,2738,-7822,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,0,0,0,--,0,0,0,0,
归属于母公司股东权益合计(万元),520967,512171,468424,440773,425213,260500,245228,232863,208010,186630,170840,59899,49282,
少数股东权益(万元),911,--,--,0,--,0,0,1070,3177,2956,3026,3554,628,
所有者权益(或股东权益)合计(万元),521878,512171,468424,440773,425213,260500,245228,233933,211187,189586,173866,63452,49910,
负债和所有者权益(或股东权益)总计(万元),967630,1030226,839497,661576,513295,529135,461773,470614,472053,390661,331036,100381,86926,		
  
