报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,0,--,
一年内到期的非流动负债(万元),14017,1772,2875,2663,--,--,--,--,--,2000,2000,1000,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,
流动负债合计(万元),181205,145052,78230,49756,51260,39691,32585,33704,32604,32857,32409,32868,
长期借款(万元),43566,--,--,--,--,--,--,--,--,4000,6000,8000,
应付债券(万元),--,--,--,--,--,--,--,--,--,0,0,--,
长期应付款(万元),28699,--,1655,4393,--,--,--,--,--,0,0,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,0,0,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,
长期递延收益(万元),572,516,365,--,--,--,--,--,--,0,0,--,
递延所得税负债(万元),4831,1849,1990,--,--,--,--,--,--,0,0,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,
非流动负债合计(万元),77668,2365,4011,4393,0,0,0,0,0,4000,6000,8000,
负债合计(万元),258873,147417,82241,54149,51260,39691,32585,33704,32604,36857,38409,40868,
实收资本(或股本)(万元),83432,49078,49078,19800,19800,19800,13200,13200,13200,9900,9000,7200,
资本公积(万元),381794,416149,413703,42608,42608,42608,49208,49208,49208,6595,6595,7315,
减:库存股(万元),7350,--,--,--,--,--,--,--,--,0,0,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,0,0,--,
盈余公积(万元),9014,3398,3398,3316,2749,2275,1878,1510,1199,881,558,266,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,0,0,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,--,
未分配利润(万元),70404,63846,35284,22380,20561,18201,14760,12206,9233,6369,3725,1631,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,0,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,0,0,--,
归属于母公司股东权益合计(万元),537301,532413,501505,88105,85718,82885,79046,76124,72840,23745,19879,16412,
少数股东权益(万元),28243,1860,4913,--,--,--,--,--,--,0,0,--,
所有者权益(或股东权益)合计(万元),565543,534273,506419,88105,85718,82885,79046,76124,72840,23745,19879,16412,
负债和所有者权益(或股东权益)总计(万元),824416,681689,588660,142254,136978,122575,111631,109828,105444,60602,58287,57281,		
  
