报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
资本公积(万元),4388500,4388500,2623600,2612800,2612800,2238248,2582450,1590507,1566927,1636477,1711246,1465605,205847,205847,75191,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
盈余公积(万元),1563700,1364600,1180100,1004500,837000,681073,544545,428238,338691,270619,214275,160101,126619,118276,243329,
一般风险准备(万元),3068200,2855400,2606700,2299500,1813600,1598557,1334893,684493,496209,364549,297800,207800,76561,31432,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
未分配利润(万元),6161600,5211900,4530300,3825200,3269900,2413507,1819775,1712339,1230016,861541,533344,210533,70600,-65912,-307059,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
归属于母公司股东权益合计(万元),19245000,17484400,14212000,11655100,9590300,7811401,7161679,5038334,4254598,3755942,3379421,2666795,984029,784168,347504,
少数股东权益(万元),168400,187000,165900,26300,24100,19210,7393,5018,2090,1836,1942,0,--,--,0,
所有者权益(或股东权益)合计(万元),19413400,17671400,14377900,11681400,9614400,7830611,7169071,5043352,4256688,3757777,3381363,2666795,984029,784168,347504,
负债和所有者权益(或股东权益)总计(万元),257286500,232980500,211633900,184490900,152443700,133676385,111996893,95649868,73321050,53346932,41702102,35422294,27296889,23304382,20293998,		
  
