报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
长期股权投资(万元),2336900,1718000,1405900,1084300,1437900,1336800,1238200,1329300,1263100,1066800,737600,677900,593100,1539300,807400,801700,--,84164500,296200,549600,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
投资性房地产(万元),2208600,2102600,2165900,2328100,1865300,2027100,1714200,1461600,1383900,1595200,963700,998600,822100,--,--,0,--,--,0,--,
固定资产原值(万元),33765300,30908200,28998000,26913800,25099800,23138800,21359200,19282800,17132300,15196500,12668300,11585400,11404300,10642800,10773900,10822100,--,9351400,0,--,
累计折旧(万元),10923000,10236900,9401800,8568100,7760500,7121300,6208200,5354700,4669100,4091300,3662900,3348700,3032600,3195400,2899200,2318400,--,2143900,0,--,
固定资产净值(万元),22842300,20671300,19596200,18345700,17339300,16017500,15151000,13928100,12463200,11105200,9005400,8236700,8371700,7447400,7874700,8503700,--,7207500,0,--,
固定资产减值准备(万元),102900,109900,106500,142600,119600,120700,118600,104700,106400,109800,115600,125900,189400,149600,216100,419600,--,--,0,--,
固定资产(万元),22739400,20561400,19489700,18203100,17219700,15896800,15032400,13823400,12356800,10995400,8889800,8110800,8182300,7297800,7658600,8084100,6780300,7207500,5241100,4262400,
在建工程(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,334200,271600,323300,765900,752600,0,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
无形资产(万元),1945200,1883500,1454200,1385400,1321700,1281900,1235800,1195500,1136500,1191000,1225000,--,--,--,--,0,--,--,0,--,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
商誉(万元),262000,248100,247300,244900,195300,198200,179600,175200,185100,192900,187700,--,--,--,--,0,--,--,0,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
递延所得税资产(万元),3820400,4648700,3434100,2224600,2504300,2292800,2129200,1951600,2404100,2351800,1606700,1620200,1924400,1756100,1962800,1251500,--,--,0,--,
其他非流动资产(万元),24516400,22870500,21054500,17903400,16008700,15626600,14267700,10434100,8750000,7221900,6182500,8211600,6447100,1881000,2306000,3806500,11968400,5809800,5729400,7113700,
非流动资产合计(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
资产总计(万元),2126727500,1946742400,1814888900,1681559700,1525138200,1387429900,1268061500,1183006600,1045986500,875194300,695569400,599555300,533202500,474280600,427044300,397996500,353616900,336161900,316801100,290392200,
短期借款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
向中央银行借款(万元),90752100,103579700,86709400,41570900,34827100,20093900,13002200,8145600,7341500,6161500,5559600,9048500,4237400,3005500,6959700,7784100,9500300,9863000,2229700,8987000,
吸收存款及同业存放(万元),1661480500,1508318600,1436027500,1349349100,1266547000,1164941000,1072718700,1018890400,881496700,758921500,577674500,472495900,426989500,370377700,334247700,303595600,275030500,247714300,283365300,251042700,
拆入资金(万元),32724900,24169200,18641700,26444600,18826900,26790500,24354300,23119800,15555700,10479600,19765400,--,14690800,--,--,0,--,--,0,--,
交易性金融负债(万元),1432700,2037200,1195800,862900,1300000,768100,1406100,210600,21587400,4423400,6754900,8665500,9872500,9117400,9376000,5097700,--,--,0,--,
衍生金融负债(万元),9925400,11109500,10710900,6916000,4073400,3621200,3245700,3547300,3571100,2322300,5948200,2726200,1432300,--,--,0,--,--,0,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应付账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,7872300,7785000,7635200,
预收账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
卖出回购金融资产款(万元),28501800,25840000,11637500,18349800,3706100,7136000,6946100,3464000,7524400,8184700,140200,--,--,--,--,0,--,--,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应付职工薪酬(万元),3382200,3191000,3125600,3096600,3072400,2974400,2883300,2602400,2420100,2100600,1839400,723100,744400,--,--,0,--,--,0,--,
应交税费(万元),2789400,3452100,2805500,3798200,4163600,4003100,3499400,2935300,2277500,1780100,2482700,2104500,1814900,--,--,0,--,--,0,--,
应付利息(万元),--,19022600,18351600,17425600,16322800,13205200,10748600,7535200,5866500,4955500,5299900,--,--,2702400,2267400,2276600,2559400,--,0,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
其他应付款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
流动负债合计(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
长期借款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
应付债券(万元),78212700,49912800,36231800,28292900,27804500,22470400,19913300,16990200,13188700,7679800,6539300,6439100,6017300,6017900,2625300,382300,382300,616400,726800,865000,
长期应付款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,5216400,6954900,7722900,--,--,0,--,
预计非流动负债(万元),2201000,294100,606500,336200,261600,213900,209100,239600,137200,151000,250300,--,--,--,--,0,--,--,0,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
递延所得税负债(万元),454800,401800,450100,429100,428700,338500,383800,448600,391900,338600,209300,289400,302900,18400,98100,94000,--,--,0,--,
其他非流动负债(万元),42330300,37745900,35437000,29242300,25461300,24726000,22596700,19288200,17012800,13156300,13715600,18284300,15345900,13466500,12499800,19628900,9651000,2080800,3540500,4198200,
非流动负债合计(万元),--,--,--,--,--,--,--,--,--,0,0,--,28005900,--,--,0,--,--,0,--,
负债合计(万元),1954187800,1789074500,1666179700,1545799200,1406795400,1291282200,1181907300,1107417200,978371500,820654900,646179300,554056000,491470000,448018600,403770500,375048900,329994400,314052800,300454900,275554000,
实收资本(或股本)(万元),29438800,29438800,29438800,29438800,28873100,27936500,27914700,27914700,27914700,25383900,25383900,25383900,25383900,20942700,18639000,18639000,14210000,14210000,10450000,10450000,
资本公积(万元),14213500,14188000,14197200,14009800,13079700,11777300,12272700,11900100,11900300,8146000,8340900,7652400,7654900,397800,--,4340800,1295700,6841200,5438200,3945800,
减:库存股(万元),6800,10200,5300,8600,2500,2800,1500,2500,13800,4300,1700,4500,21600,--,--,0,--,--,0,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
盈余公积(万元),15746400,14133400,12571400,11151100,9610500,8022500,6536200,5216500,4022700,3039100,2342900,1544800,1038000,598700,314000,0,4929100,--,0,--,
一般风险准备(万元),23152500,20781700,19346200,17948500,15934100,14445000,13190900,8124300,7119500,6032800,4097300,2491100,1393400,510900,41900,0,--,--,0,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
未分配利润(万元),68640500,64655800,56033900,48218100,40783600,32367300,24289900,20981600,14835500,10075800,7934900,6522300,3518600,1258500,1737300,-2662400,1033100,790800,458000,442400,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,--,0,--,
外币报表折算差额(万元),--,--,--,--,--,-2154200,-1735200,-1818500,-1362400,-1174100,-1271000,-890500,-368900,-186400,34400,0,474700,--,0,--,
归属于母公司股东权益合计(万元),161298000,149601600,141168200,130494600,114085900,92391600,82467700,72316200,64416500,51499200,46827200,42476600,38728600,23384200,20535100,20375200,21942600,21842000,16346200,14838200,
少数股东权益(万元),11241700,8066300,7541000,5265900,4256900,3756100,3686500,3273200,3198500,3040200,2562900,3022700,3003900,2877800,2738700,2572400,1679900,267100,0,--,
所有者权益(或股东权益)合计(万元),172539700,157667900,148709200,135760500,118342800,96147700,86154200,75589400,67615000,54539400,49390100,45499300,41732500,26262000,23273800,22947600,23622500,22109100,16346200,14838200,
负债和所有者权益(或股东权益)总计(万元),2126727500,1946742400,1814888900,1681559700,1525138200,1387429900,1268061500,1183006600,1045986500,875194300,695569400,599555300,533202500,474280600,427044300,397996500,353616900,336161900,316801100,290392200,		
  
