报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),24,51,74,49,38,3873,2652,1835,1876,1917,1901,493,
开发支出(万元),--,--,--,--,--,--,761,404,--,--,--,--,
商誉(万元),--,--,--,--,--,314,314,--,--,--,--,--,
长期待摊费用(万元),--,8116,8400,9326,10259,60,5,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),23061,20594,12752,5892,3487,389,337,125,75,58,59,--,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),25797,31785,22892,16655,14488,44766,36243,25692,24018,23321,24214,14210,
资产总计(万元),460195,491947,598861,414113,257022,94992,86395,77129,77358,48185,44799,32990,
短期借款(万元),5000,7420,42957,--,6999,15700,9000,1200,1270,7680,11768,9325,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),2213,3878,--,--,--,264,96,--,--,6000,3800,--,
应付账款(万元),277992,306196,374944,279612,159431,9237,5302,3955,3865,3542,3948,3215,
预收账款(万元),7870,12610,4963,2081,4969,124,114,120,88,12,73,58,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1901,38,32,22,16,440,305,252,220,200,253,145,
应交税费(万元),8861,10248,24213,16123,11559,179,436,212,434,747,259,213,
应付利息(万元),--,21,29,225,--,30,18,2,2,17,48,21,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),19505,16924,42629,24801,5673,409,559,60,98,249,253,196,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),40146,39314,--,--,--,--,--,--,--,--,2000,--,
流动负债合计(万元),363487,396650,489767,322864,188647,26383,15831,5801,5977,18447,22403,13173,
长期借款(万元),--,--,--,--,--,--,--,--,--,2950,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,1130,1174,3727,3974,2676,600,--,
非流动负债合计(万元),0,0,0,0,0,1130,1174,3727,3974,5626,600,0,
负债合计(万元),363487,396650,489767,322864,188647,27513,17004,9528,9951,24073,23003,13173,
实收资本(或股本)(万元),7599,7599,7599,7542,4902,13910,10700,10700,10700,8000,8000,8000,
资本公积(万元),18667,18667,18667,18724,21364,38129,41339,41339,41339,3984,3984,3984,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),3022,3022,2963,2116,1281,2788,2788,2729,2504,2182,1835,1538,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),66575,65134,79865,62866,40828,10655,12462,12834,12864,9946,7977,6296,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),95863,94422,109095,91249,68375,65483,67290,67602,67407,24112,21796,19818,
少数股东权益(万元),844,875,--,--,--,1996,2100,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),96708,95297,109095,91249,68375,67479,69390,67602,67407,24112,21796,19818,
负债和所有者权益(或股东权益)总计(万元),460195,491947,598861,414113,257022,94992,86395,77129,77358,48185,44799,32990,		
  
